科室,原始行,发货单号,包名,包数,原单价,处理后单价,原总价,处理后总价,规则覆盖,匹配规则,说明
手术室,12,1611174,哈巴狗止血夹-1/z1026,4.0,8.0,6.4,32.0,25.6,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(8)计费；处理后按标准价(6.4)计费
手术室,13,1611174,开口器1 舌钳子1 压舌板1/z1530,1.0,16.5,9.0,16.5,9.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(16.5)计费；处理后按标准价(9)计费
手术室,14,1611174,插管包,4.0,77.0,42.0,308.0,168.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(77)计费；处理后按标准价(42)计费
手术室,15,1611174,插管包二,1.0,55.0,30.0,55.0,30.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(55)计费；处理后按标准价(30)计费
手术室,16,1611174,内瘘器械包（一）,2.0,181.5,99.0,363.0,198.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(181.5)计费；处理后按标准价(99)计费
手术室,17,1611174,持物钳罐-3件/w6050,6.0,16.5,9.0,99.0,54.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(16.5)计费；处理后按标准价(9)计费
手术室,18,1612771,开口器1 舌钳子1 压舌板1/z1530,1.0,16.5,9.0,16.5,9.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(16.5)计费；处理后按标准价(9)计费
手术室,19,1612771,内瘘器械包（一）,2.0,187.0,102.0,374.0,204.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(187)计费；处理后按标准价(102)计费
手术室,20,1612771,持物钳罐-3件/w6050,2.0,16.5,9.0,33.0,18.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(16.5)计费；处理后按标准价(9)计费
手术室,21,1614534,哈巴狗止血夹-1/z1026,2.0,8.0,6.4,16.0,12.8,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(8)计费；处理后按标准价(6.4)计费
手术室,22,1614534,插管包二,2.0,55.0,30.0,110.0,60.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(55)计费；处理后按标准价(30)计费
手术室,23,1614534,内瘘器械包（一）,2.0,187.0,102.0,374.0,204.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(187)计费；处理后按标准价(102)计费
手术室,24,1614534,持物钳罐-3件/w6050,3.0,16.5,9.0,49.5,27.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(16.5)计费；处理后按标准价(9)计费
手术室,25,1615585,插管包二,1.0,55.0,30.0,55.0,30.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(55)计费；处理后按标准价(30)计费
手术室,26,1615585,内瘘器械包（一）,2.0,187.0,102.0,374.0,204.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(187)计费；处理后按标准价(102)计费
手术室,27,1615585,持物钳罐-3件/w6050,1.0,16.5,9.0,16.5,9.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(16.5)计费；处理后按标准价(9)计费
手术室,28,1615585,腹透包-34件（临时）/W9050,1.0,187.0,102.0,187.0,102.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(187)计费；处理后按标准价(102)计费
