月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
1月,手术室,字段不一致-单价,内瘘器械包,1568219,单价,143.0,78.0,12,11,原始按器械数×基础单价(143)计费；处理后按标准价(78)计费
1月,手术室,字段不一致-总价,内瘘器械包,1568219,总价,286.0,156.0,12,11,原始按器械数×基础单价(143)计费；处理后按标准价(78)计费
1月,手术室,字段不一致-单价,套管-1/Z7537,1568219,单价,8.0,6.4,13,12,原始按器械数×基础单价(8)计费；处理后按标准价(6.4)计费
1月,手术室,字段不一致-总价,套管-1/Z7537,1568219,总价,8.0,6.4,13,12,原始按器械数×基础单价(8)计费；处理后按标准价(6.4)计费
1月,手术室,字段不一致-单价,插管包二,1568219,单价,55.0,30.0,14,13,原始按器械数×基础单价(55)计费；处理后按标准价(30)计费
1月,手术室,字段不一致-总价,插管包二,1568219,总价,220.0,120.0,14,13,原始按器械数×基础单价(55)计费；处理后按标准价(30)计费
1月,手术室,字段不一致-单价,持物钳罐-3件/w6050,1568219,单价,16.5,9.0,15,14,原始按器械数×基础单价(16.5)计费；处理后按标准价(9)计费
1月,手术室,字段不一致-总价,持物钳罐-3件/w6050,1568219,总价,49.5,27.0,15,14,原始按器械数×基础单价(16.5)计费；处理后按标准价(9)计费
1月,手术室,字段不一致-单价,临时包-4件/w6050,1568219,单价,22.0,12.0,16,15,原始按器械数×基础单价(22)计费；处理后按标准价(12)计费
1月,手术室,字段不一致-总价,临时包-4件/w6050,1568219,总价,22.0,12.0,16,15,原始按器械数×基础单价(22)计费；处理后按标准价(12)计费
1月,手术室,字段不一致-单价,内瘘器械包,1571798,单价,143.0,78.0,17,16,原始按器械数×基础单价(143)计费；处理后按标准价(78)计费
1月,手术室,字段不一致-总价,内瘘器械包,1571798,总价,429.0,234.0,17,16,原始按器械数×基础单价(143)计费；处理后按标准价(78)计费
1月,手术室,字段不一致-单价,哈巴狗止血夹-1/z1026,1571798,单价,8.0,6.4,18,17,原始按器械数×基础单价(8)计费；处理后按标准价(6.4)计费
1月,手术室,字段不一致-总价,哈巴狗止血夹-1/z1026,1571798,总价,8.0,6.4,18,17,原始按器械数×基础单价(8)计费；处理后按标准价(6.4)计费
1月,手术室,字段不一致-单价,插管包二,1571798,单价,55.0,30.0,19,18,原始按器械数×基础单价(55)计费；处理后按标准价(30)计费
1月,手术室,字段不一致-总价,插管包二,1571798,总价,385.0,210.0,19,18,原始按器械数×基础单价(55)计费；处理后按标准价(30)计费
1月,手术室,字段不一致-单价,持物钳罐-3件/w6050,1571798,单价,16.5,9.0,20,19,原始按器械数×基础单价(16.5)计费；处理后按标准价(9)计费
1月,手术室,字段不一致-总价,持物钳罐-3件/w6050,1571798,总价,66.0,36.0,20,19,原始按器械数×基础单价(16.5)计费；处理后按标准价(9)计费
1月,手术室,汇总不一致-总价,手术室,,总价,1473.5,807.8,11,10,
2月,手术室,字段不一致-单价,内瘘器械包,1577460,单价,143.0,78.0,12,11,原始按器械数×基础单价(143)计费；处理后按标准价(78)计费
2月,手术室,字段不一致-总价,内瘘器械包,1577460,总价,429.0,234.0,12,11,原始按器械数×基础单价(143)计费；处理后按标准价(78)计费
2月,手术室,字段不一致-单价,开口器-2件/z1530,1577460,单价,16.5,6.0,13,12,原始按器械数×基础单价(16.5)计费；处理后按标准价(6)计费
2月,手术室,字段不一致-总价,开口器-2件/z1530,1577460,总价,16.5,6.0,13,12,原始按器械数×基础单价(16.5)计费；处理后按标准价(6)计费
2月,手术室,字段不一致-单价,开口器-3/z1526,1577460,单价,16.5,9.0,14,13,原始按器械数×基础单价(16.5)计费；处理后按标准价(9)计费
2月,手术室,字段不一致-总价,开口器-3/z1526,1577460,总价,33.0,18.0,14,13,原始按器械数×基础单价(16.5)计费；处理后按标准价(9)计费
2月,手术室,字段不一致-单价,插管包二,1577460,单价,55.0,30.0,15,14,原始按器械数×基础单价(55)计费；处理后按标准价(30)计费
2月,手术室,字段不一致-总价,插管包二,1577460,总价,55.0,30.0,15,14,原始按器械数×基础单价(55)计费；处理后按标准价(30)计费
2月,手术室,字段不一致-单价,持物钳罐-3件/w6050,1577460,单价,16.5,9.0,16,15,原始按器械数×基础单价(16.5)计费；处理后按标准价(9)计费
2月,手术室,字段不一致-总价,持物钳罐-3件/w6050,1577460,总价,49.5,27.0,16,15,原始按器械数×基础单价(16.5)计费；处理后按标准价(9)计费
2月,手术室,字段不一致-单价,内瘘器械包,1580496,单价,143.0,78.0,17,16,原始按器械数×基础单价(143)计费；处理后按标准价(78)计费
2月,手术室,字段不一致-总价,内瘘器械包,1580496,总价,429.0,234.0,17,16,原始按器械数×基础单价(143)计费；处理后按标准价(78)计费
2月,手术室,字段不一致-单价,插管包二,1580496,单价,55.0,30.0,18,17,原始按器械数×基础单价(55)计费；处理后按标准价(30)计费
2月,手术室,字段不一致-总价,插管包二,1580496,总价,110.0,60.0,18,17,原始按器械数×基础单价(55)计费；处理后按标准价(30)计费
