科室,原始行,发货单号,包名,包数,原单价,处理后单价,原总价,处理后总价,说明
妇科手术室,13,1601299,宫腔镜,1.0,192.5,170.5,192.5,170.5,原始按器械数×基础单价(192.5)计费；处理后按标准价(170.5)计费
妇科手术室,14,1601299,盆2盘1杯1(腹腔镜里的)/w9050,2.0,22.0,32.0,44.0,64.0,原始按器械数×基础单价(22)计费；处理后按标准价(32)计费
注射室,9,1607609,弯盘-2/Z2032,1.0,16.5,16.0,16.5,16.0,原始按器械数×基础单价(16.5)计费；处理后按标准价(16)计费
计划生育,11,1600504,取环器-1/z1535,1.0,11.0,8.0,11.0,8.0,原始按器械数×基础单价(11)计费；处理后按标准价(8)计费
计划生育,33,1605585,宫颈钳-1/Z1535,1.0,11.0,8.0,11.0,8.0,原始按器械数×基础单价(11)计费；处理后按标准价(8)计费
计划生育,35,1605585,取环器-1/z1535,1.0,11.0,8.0,11.0,8.0,原始按器械数×基础单价(11)计费；处理后按标准价(8)计费
计划生育,44,1606887,扩棒（4 4.5 5）-3/z7526,1.0,16.5,24.0,16.5,24.0,原始按器械数×基础单价(16.5)计费；处理后按标准价(24)计费
计划生育,45,1606887,取环器-1/z1535,1.0,11.0,8.0,11.0,8.0,原始按器械数×基础单价(11)计费；处理后按标准价(8)计费
计划生育,50,1607608,取环器-1/z1535,1.0,11.0,8.0,11.0,8.0,原始按器械数×基础单价(11)计费；处理后按标准价(8)计费
门诊妇科,10,1602764,纱布/Z1526,15.0,2.5,2.3,37.5,34.5,
