月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
5月,妇科手术室,字段不一致-单价,宫腔镜,1601299,单价,192.5,170.5,13,12,原始按器械数×基础单价(192.5)计费；处理后按标准价(170.5)计费
5月,妇科手术室,字段不一致-总价,宫腔镜,1601299,总价,192.5,170.5,13,12,原始按器械数×基础单价(192.5)计费；处理后按标准价(170.5)计费
5月,妇科手术室,字段不一致-单价,盆2盘1杯1(腹腔镜里的)/w9050,1601299,单价,22.0,32.0,14,13,原始按器械数×基础单价(22)计费；处理后按标准价(32)计费
5月,妇科手术室,字段不一致-总价,盆2盘1杯1(腹腔镜里的)/w9050,1601299,总价,44.0,64.0,14,13,原始按器械数×基础单价(22)计费；处理后按标准价(32)计费
5月,妇科手术室,汇总不一致-总价,妇科手术室,,总价,675.0,673.0,11,10,
5月,注射室,字段不一致-单价,弯盘-2/Z2032,1607609,单价,16.5,16.0,9,9,原始按器械数×基础单价(16.5)计费；处理后按标准价(16)计费
5月,注射室,字段不一致-总价,弯盘-2/Z2032,1607609,总价,16.5,16.0,9,9,原始按器械数×基础单价(16.5)计费；处理后按标准价(16)计费
5月,注射室,汇总不一致-总价,注射室,,总价,16.5,16.0,8,8,
5月,计划生育,字段不一致-单价,取环器-1/z1535,1600504,单价,11.0,8.0,11,11,原始按器械数×基础单价(11)计费；处理后按标准价(8)计费
5月,计划生育,字段不一致-总价,取环器-1/z1535,1600504,总价,11.0,8.0,11,11,原始按器械数×基础单价(11)计费；处理后按标准价(8)计费
5月,计划生育,字段不一致-单价,宫颈钳-1/Z1535,1605585,单价,11.0,8.0,33,33,原始按器械数×基础单价(11)计费；处理后按标准价(8)计费
5月,计划生育,字段不一致-总价,宫颈钳-1/Z1535,1605585,总价,11.0,8.0,33,33,原始按器械数×基础单价(11)计费；处理后按标准价(8)计费
5月,计划生育,字段不一致-单价,取环器-1/z1535,1605585,单价,11.0,8.0,35,35,原始按器械数×基础单价(11)计费；处理后按标准价(8)计费
5月,计划生育,字段不一致-总价,取环器-1/z1535,1605585,总价,11.0,8.0,35,35,原始按器械数×基础单价(11)计费；处理后按标准价(8)计费
5月,计划生育,字段不一致-单价,扩棒（4 4.5 5）-3/z7526,1606887,单价,16.5,24.0,44,44,原始按器械数×基础单价(16.5)计费；处理后按标准价(24)计费
5月,计划生育,字段不一致-总价,扩棒（4 4.5 5）-3/z7526,1606887,总价,16.5,24.0,44,44,原始按器械数×基础单价(16.5)计费；处理后按标准价(24)计费
5月,计划生育,字段不一致-单价,取环器-1/z1535,1606887,单价,11.0,8.0,45,45,原始按器械数×基础单价(11)计费；处理后按标准价(8)计费
5月,计划生育,字段不一致-总价,取环器-1/z1535,1606887,总价,11.0,8.0,45,45,原始按器械数×基础单价(11)计费；处理后按标准价(8)计费
5月,计划生育,字段不一致-单价,取环器-1/z1535,1607608,单价,11.0,8.0,50,50,原始按器械数×基础单价(11)计费；处理后按标准价(8)计费
5月,计划生育,字段不一致-总价,取环器-1/z1535,1607608,总价,11.0,8.0,50,50,原始按器械数×基础单价(11)计费；处理后按标准价(8)计费
5月,计划生育,汇总不一致-总价,计划生育,,总价,2741.0,2733.5,8,8,
5月,门诊妇科,字段不一致-单价,纱布/Z1526,1602764,单价,2.5,2.3,10,10,
5月,门诊妇科,字段不一致-总价,纱布/Z1526,1602764,总价,37.5,34.5,10,10,
5月,门诊妇科,汇总不一致-总价,门诊妇科,,总价,53.5,50.5,8,8,
