sheet	row	orderNo	packName	packCount	unitPrice	ruleUnit	status	pricingRule
处置室	12	1608553	处置包（6件）	3	33.0	33.0	warning	special_only 未命中特色规则
处置室	13	1608553	处置包新（6件）	1	33.0	33.0	warning	special_only 未命中特色规则
处置室	14	1609964	针刀-1/Z7526	1	8.0	8.0	warning	special_only 未命中特色规则
处置室	15	1609964	处置包（6件）	1	33.0	33.0	warning	special_only 未命中特色规则
处置室	16	1610704	换药缸-1/Z2530	1	16.0	16.0	warning	special_only 未命中特色规则
处置室	17	1610704	镊子-1/Z7534	1	8.0	8.0	warning	special_only 未命中特色规则
处置室	18	1610704	处置包（6件）	1	33.0	33.0	warning	special_only 未命中特色规则
处置室	19	1610704	咬骨钳-1/W6050	1	16.5	16.5	warning	special_only 未命中特色规则
处置室	20	1612664	带盖方盘-1/Z3044	3	16.0	16.0	warning	special_only 未命中特色规则
处置室	21	1613440	换药缸-1/Z2530	1	16.0	16.0	warning	special_only 未命中特色规则
处置室	22	1613440	处置包（6件）	6	33.0	33.0	warning	special_only 未命中特色规则
处置室	23	1615722	处置包（6件）	2	33.0	33.0	warning	special_only 未命中特色规则
妇产科2楼	9	1609965	人流包（21件）	4	121.0	121.0	warning	special_only 未命中特色规则
妇产科2楼	10	1609965	人流包（23件）	1	132.0	132.0	warning	special_only 未命中特色规则
手术室	9	1608554	骨科包	1	154.0	154.0	warning	special_only 未命中特色规则
手术室	11	1608554	骨锉-1/Z7534	1	8.0	8.0	warning	special_only 未命中特色规则
手术室	12	1608554	镊子缸-2/Z2044	3	16.5	16.5	warning	special_only 未命中特色规则
手术室	13	1608554	线锯-1/Z1026	1	8.0	8.0	warning	special_only 未命中特色规则
手术室	14	1608554	弯盘-2盆-2/W9050	1	22.0	22.0	warning	special_only 未命中特色规则
手术室	15	1608747	单极线-1/Z3040	1	35.0	35.0	warning	special_only 未命中特色规则
手术室	16	1608747	光源线-1/Z3040	1	35.0	35.0	warning	special_only 未命中特色规则
手术室	17	1609313	骨科包	2	154.0	154.0	warning	special_only 未命中特色规则
手术室	18	1609313	剥离子-1/Z7534	2	8.0	8.0	warning	special_only 未命中特色规则
手术室	19	1609313	刮匙-1/Z7537	2	8.0	8.0	warning	special_only 未命中特色规则
手术室	20	1609504	灯把-1/Z2535	2	30.0	30.0	warning	special_only 未命中特色规则
手术室	21	1609966	剥离子-1/Z7534	2	8.0	8.0	warning	special_only 未命中特色规则
手术室	22	1609966	开力-1/Z1029	2	8.0	8.0	warning	special_only 未命中特色规则
手术室	23	1609966	螺丝刀-1/Z1029	6	8.0	8.0	warning	special_only 未命中特色规则
手术室	24	1609966	钻头-1/Z7520	4	8.0	8.0	warning	special_only 未命中特色规则
手术室	25	1609966	闭胸器-1/W6050	1	16.5	16.5	warning	special_only 未命中特色规则
手术室	26	1609966	胃钳-3/W6050	1	16.5	16.5	warning	special_only 未命中特色规则
手术室	27	1609966	直角钳-6/W6050	1	33.0	33.0	warning	special_only 未命中特色规则
手术室	29	1610705	盆-1碗-1盘-2/W9050	1	22.0	22.0	warning	special_only 未命中特色规则
手术室	30	1610742	单极线-1/Z3040	1	35.0	35.0	warning	special_only 未命中特色规则
手术室	31	1610742	光源线-1/Z3040	1	35.0	35.0	warning	special_only 未命中特色规则
手术室	32	1611445	骨科包	1	154.0	154.0	warning	special_only 未命中特色规则
手术室	33	1611445	剥离子-1/Z7534	1	8.0	8.0	warning	special_only 未命中特色规则
手术室	34	1612004	测针-1/Z7537	2	8.0	8.0	warning	special_only 未命中特色规则
手术室	35	1612004	钢丝-1/Z1526	1	11.0	11.0	warning	special_only 未命中特色规则
手术室	36	1612004	巾钳子-1/Z1026	1	8.0	8.0	warning	special_only 未命中特色规则
手术室	37	1612004	克氏针-2/Z7537	6	8.0	8.0	warning	special_only 未命中特色规则
手术室	38	1612004	阑尾钳-1/Z1029	1	8.0	8.0	warning	special_only 未命中特色规则
手术室	39	1612004	探子-1/Z7526	2	8.0	8.0	warning	special_only 未命中特色规则
手术室	40	1612004	套筒-1/Z7520	1	13.5	13.5	warning	special_only 未命中特色规则
手术室	41	1612004	吸引器-1/Z7530	1	8.0	8.0	warning	special_only 未命中特色规则
手术室	42	1612004	植皮刀-1/z1035	1	8.0	8.0	warning	special_only 未命中特色规则
手术室	43	1612004	爪钩-1/Z1535	2	11.0	11.0	warning	special_only 未命中特色规则
手术室	44	1612004	钻头-1/Z7520	4	8.0	8.0	warning	special_only 未命中特色规则
手术室	45	1612004	钻头-2/Z7520	1	13.5	13.5	warning	special_only 未命中特色规则
手术室	46	1612004	S拉钩(中)-1/W6050	2	16.5	16.5	warning	special_only 未命中特色规则
手术室	47	1612004	大剪刀-1/W905060	1	16.5	16.5	warning	special_only 未命中特色规则
手术室	48	1612004	拉勾-6/W6050	1	33.0	33.0	warning	special_only 未命中特色规则
手术室	49	1612013	克氏针-2/Z7537	1	8.0	8.0	warning	special_only 未命中特色规则
手术室	50	1612026	电刀头-1/Z7520	1	22.0	22.0	warning	special_only 未命中特色规则
手术室	51	1612026	光源线-1/Z3040	1	35.0	35.0	warning	special_only 未命中特色规则
手术室	52	1612665	骨科包	1	154.0	154.0	warning	special_only 未命中特色规则
手术室	54	1612665	剥离子-1/Z7534	1	8.0	8.0	warning	special_only 未命中特色规则
手术室	55	1612665	肌钩-2/Z7526	1	13.5	13.5	warning	special_only 未命中特色规则
手术室	56	1612665	螺丝刀-1/Z1029	1	8.0	8.0	warning	special_only 未命中特色规则
手术室	57	1612665	螺丝刀-1/Z7530	2	8.0	8.0	warning	special_only 未命中特色规则
手术室	58	1612665	锤子-1/W6050	1	16.5	16.5	warning	special_only 未命中特色规则
手术室	59	1612665	克丝钳-1/W6050	1	16.5	16.5	warning	special_only 未命中特色规则
手术室	60	1612665	咬骨钳-1/W6050	1	16.5	16.5	warning	special_only 未命中特色规则
手术室	61	1612665	凿子-1/W6050	1	16.5	16.5	warning	special_only 未命中特色规则
手术室	62	1613439	镊子缸-2/Z2044	1	16.5	16.5	warning	special_only 未命中特色规则
手术室	64	1614458	刮匙-1/Z7537	1	8.0	8.0	warning	special_only 未命中特色规则
