月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
1月,全部科室(汇总对比),多余行,刀柄-1/Z7520,1575297,整行,,6.0/8.0/48.0,,6,
1月,全部科室(汇总对比),多余行,肛门镜-1/z2032,1575297,整行,,1.0/13.0/13.0,,7,
1月,全部科室(汇总对比),多余行,剪刀-1/Z1026,1575297,整行,,4.0/8.0/32.0,,8,
1月,全部科室(汇总对比),多余行,蚊式-1/z1026,1575297,整行,,1.0/8.0/8.0,,9,
1月,全部科室(汇总对比),多余行,包皮切开包,1575297,整行,,12.0/55.0/660.0,,10,
2月,全部科室(汇总对比),缺失行,刀柄-1/Z7520,1575297,整行,6.0/8.0/48.0,,12,,
2月,全部科室(汇总对比),缺失行,肛门镜-1/z2032,1575297,整行,1.0/13.0/13.0,,13,,
2月,全部科室(汇总对比),缺失行,剪刀-1/Z1026,1575297,整行,4.0/8.0/32.0,,15,,
2月,全部科室(汇总对比),缺失行,蚊式-1/z1026,1575297,整行,1.0/8.0/8.0,,16,,
2月,全部科室(汇总对比),缺失行,包皮切开包,1575297,整行,12.0/55.0/660.0,,17,,
2月,全部科室(汇总对比),汇总不一致-总价,手术室,,总价,1757.5,336.0,11,10,
6月,全部科室(汇总对比),汇总不一致-总价,手术室,,总价,1663.0,980.0,11,10,
