月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
1月,手术室,字段不一致-单价,ICL器械-8件（盒1）/W6050,1573683,单价,49.5,24.75,15,14,原始按器械数×基础单价(49.5)计费；处理后按标准价(24.75)计费
1月,手术室,字段不一致-总价,ICL器械-8件（盒1）/W6050,1573683,总价,99.0,49.5,15,14,原始按器械数×基础单价(49.5)计费；处理后按标准价(24.75)计费
1月,手术室,字段不一致-单价,ICL器械-9件（盒1）/W6050,1573683,单价,55.0,27.5,16,15,原始按器械数×基础单价(55)计费；处理后按标准价(27.5)计费
1月,手术室,字段不一致-总价,ICL器械-9件（盒1）/W6050,1573683,总价,110.0,55.0,16,15,原始按器械数×基础单价(55)计费；处理后按标准价(27.5)计费
1月,手术室,字段不一致-单价,虹膜恢复器-10件/W6050,1573683,单价,55.0,27.5,17,16,原始按器械数×基础单价(55)计费；处理后按标准价(27.5)计费
1月,手术室,字段不一致-总价,虹膜恢复器-10件/W6050,1573683,总价,55.0,27.5,17,16,原始按器械数×基础单价(55)计费；处理后按标准价(27.5)计费
1月,手术室,字段不一致-单价,屈光器械盘（钩镊）-17盒1/W6050,1573683,单价,93.5,46.75,18,17,原始按器械数×基础单价(93.5)计费；处理后按标准价(46.75)计费
1月,手术室,字段不一致-总价,屈光器械盘（钩镊）-17盒1/W6050,1573683,总价,93.5,46.75,18,17,原始按器械数×基础单价(93.5)计费；处理后按标准价(46.75)计费
1月,手术室,字段不一致-单价,屈光器械盘（周）-15盒1/W6050,1573683,单价,88.0,44.0,19,18,原始按器械数×基础单价(88)计费；处理后按标准价(44)计费
1月,手术室,字段不一致-总价,屈光器械盘（周）-15盒1/W6050,1573683,总价,176.0,88.0,19,18,原始按器械数×基础单价(88)计费；处理后按标准价(44)计费
1月,手术室,汇总不一致-总价,手术室,,总价,794.5,527.75,11,10,
2月,手术室,字段不一致-单价,小药杯-3件/Z1526,1575610,单价,16.5,8.25,13,13,原始按器械数×基础单价(16.5)计费；处理后按标准价(8.25)计费
2月,手术室,字段不一致-总价,小药杯-3件/Z1526,1575610,总价,66.0,33.0,13,13,原始按器械数×基础单价(16.5)计费；处理后按标准价(8.25)计费
2月,手术室,字段不一致-单价,ICL器械-8件（盒1）/W6050,1575610,单价,49.5,24.75,14,14,原始按器械数×基础单价(49.5)计费；处理后按标准价(24.75)计费
2月,手术室,字段不一致-总价,ICL器械-8件（盒1）/W6050,1575610,总价,247.5,123.75,14,14,原始按器械数×基础单价(49.5)计费；处理后按标准价(24.75)计费
2月,手术室,字段不一致-单价,ICL器械-9件（盒1）/W6050,1575610,单价,55.0,27.5,15,15,原始按器械数×基础单价(55)计费；处理后按标准价(27.5)计费
2月,手术室,字段不一致-总价,ICL器械-9件（盒1）/W6050,1575610,总价,55.0,27.5,15,15,原始按器械数×基础单价(55)计费；处理后按标准价(27.5)计费
2月,手术室,字段不一致-单价,小药杯-3件/Z1526,1578442,单价,16.5,8.25,21,21,原始按器械数×基础单价(16.5)计费；处理后按标准价(8.25)计费
2月,手术室,字段不一致-总价,小药杯-3件/Z1526,1578442,总价,66.0,33.0,21,21,原始按器械数×基础单价(16.5)计费；处理后按标准价(8.25)计费
2月,手术室,字段不一致-单价,ICL器械-8件（盒1）/W6050,1578442,单价,49.5,24.75,22,22,原始按器械数×基础单价(49.5)计费；处理后按标准价(24.75)计费
2月,手术室,字段不一致-总价,ICL器械-8件（盒1）/W6050,1578442,总价,247.5,123.75,22,22,原始按器械数×基础单价(49.5)计费；处理后按标准价(24.75)计费
2月,手术室,字段不一致-单价,ICL器械-9件（盒1）/W6050,1578442,单价,55.0,27.5,23,23,原始按器械数×基础单价(55)计费；处理后按标准价(27.5)计费
2月,手术室,字段不一致-总价,ICL器械-9件（盒1）/W6050,1578442,总价,55.0,27.5,23,23,原始按器械数×基础单价(55)计费；处理后按标准价(27.5)计费
2月,手术室,字段不一致-单价,白内障器械-13件（盒1）/W6050,1578442,单价,77.0,38.5,24,24,原始按器械数×基础单价(77)计费；处理后按标准价(38.5)计费
2月,手术室,字段不一致-总价,白内障器械-13件（盒1）/W6050,1578442,总价,77.0,38.5,24,24,原始按器械数×基础单价(77)计费；处理后按标准价(38.5)计费
2月,手术室,字段不一致-单价,小药杯-3件/Z1526,1580094,单价,16.5,8.25,30,30,原始按器械数×基础单价(16.5)计费；处理后按标准价(8.25)计费
