月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
4月,全部科室(汇总对比),字段不一致-单价,胆囊包18件（盒1）,1596235,单价,388.0,300.0,19,15,原始按器械数×基础单价(388)计费；处理后按标准价(300)计费
4月,全部科室(汇总对比),字段不一致-总价,胆囊包18件（盒1）,1596235,总价,388.0,300.0,19,15,原始按器械数×基础单价(388)计费；处理后按标准价(300)计费
4月,全部科室(汇总对比),字段不一致-单价,胃肠阑尾,1596235,单价,209.0,165.0,20,16,原始按器械数×基础单价(209)计费；处理后按标准价(165)计费
4月,全部科室(汇总对比),字段不一致-总价,胃肠阑尾,1596235,总价,209.0,165.0,20,16,原始按器械数×基础单价(209)计费；处理后按标准价(165)计费
4月,全部科室(汇总对比),字段不一致-单价,胃肠阑尾,1598239,单价,209.0,165.0,44,37,原始按器械数×基础单价(209)计费；处理后按标准价(165)计费
4月,全部科室(汇总对比),字段不一致-总价,胃肠阑尾,1598239,总价,209.0,165.0,44,37,原始按器械数×基础单价(209)计费；处理后按标准价(165)计费
4月,全部科室(汇总对比),字段不一致-单价,克氏针-3/z7534,1599731,单价,16.5,8.0,94,87,原始按器械数×基础单价(16.5)计费；处理后按标准价(8)计费
4月,全部科室(汇总对比),字段不一致-总价,克氏针-3/z7534,1599731,总价,16.5,8.0,94,87,原始按器械数×基础单价(16.5)计费；处理后按标准价(8)计费
4月,全部科室(汇总对比),字段不一致-单价,胃肠阑尾,1600392,单价,209.0,165.0,100,25,原始按器械数×基础单价(209)计费；处理后按标准价(165)计费
4月,全部科室(汇总对比),字段不一致-总价,胃肠阑尾,1600392,总价,209.0,165.0,100,25,原始按器械数×基础单价(209)计费；处理后按标准价(165)计费
4月,全部科室(汇总对比),字段不一致-单价,普外腔镜器械包,1600680,单价,366.0,300.0,115,106,原始按器械数×基础单价(366)计费；处理后按标准价(300)计费
4月,全部科室(汇总对比),字段不一致-总价,普外腔镜器械包,1600680,总价,366.0,300.0,115,106,原始按器械数×基础单价(366)计费；处理后按标准价(300)计费
4月,全部科室(汇总对比),字段不一致-单价,胃肠阑尾,1602685,单价,209.0,165.0,135,34,原始按器械数×基础单价(209)计费；处理后按标准价(165)计费
4月,全部科室(汇总对比),字段不一致-总价,胃肠阑尾,1602685,总价,209.0,165.0,135,34,原始按器械数×基础单价(209)计费；处理后按标准价(165)计费
4月,全部科室(汇总对比),多余行,张航瑞-锁骨骨折  1/2,1598116,整行,,None/469.5/None,,9,
4月,全部科室(汇总对比),多余行,张航瑞-锁骨骨折  2/2,1598116,整行,,None/16.5/None,,10,
4月,全部科室(汇总对比),汇总不一致-总价,手术室,,总价,12085.5,10188.0,8,8,
5月,全部科室(汇总对比),字段不一致-单价,车针架1针4/Z1026,1609874,单价,30.0,13.5,101,101,原始按器械数×基础单价(30)计费；处理后按标准价(13.5)计费
5月,全部科室(汇总对比),字段不一致-总价,车针架1针4/Z1026,1609874,总价,30.0,13.5,101,101,原始按器械数×基础单价(30)计费；处理后按标准价(13.5)计费
5月,全部科室(汇总对比),字段不一致-单价,驱血带-1/z2032,1607610,单价,13.0,4.0,94,85,原始按器械数×基础单价(13)计费；处理后按标准价(4)计费
5月,全部科室(汇总对比),字段不一致-总价,驱血带-1/z2032,1607610,总价,13.0,4.0,94,85,原始按器械数×基础单价(13)计费；处理后按标准价(4)计费
5月,全部科室(汇总对比),缺失行,4K镜头30度-1/Z2060,1609815,整行,1.0/28.0/28.0,,125,,
5月,全部科室(汇总对比),缺失行,胃肠阑尾,1609907,整行,1.0/165.0/165.0,,126,,
5月,全部科室(汇总对比),字段不一致-单价,康基胸腹腔镜镜头/Z2060,1610563,单价,36.0,35.0,148,132,原始按器械数×基础单价(36)计费；处理后按标准价(35)计费
5月,全部科室(汇总对比),字段不一致-总价,康基胸腹腔镜镜头/Z2060,1610563,总价,36.0,35.0,148,132,原始按器械数×基础单价(36)计费；处理后按标准价(35)计费
5月,全部科室(汇总对比),多余行,4K镜头30度-1/Z2060,1609815,整行,,1.0/28.0/28.0,,36,
5月,全部科室(汇总对比),多余行,胃肠阑尾,1609907,整行,,1.0/165.0/165.0,,37,
5月,全部科室(汇总对比),多余行,尚明远-肱骨骨折  1/3,1605867,整行,,None/200.0/None,,13,
5月,全部科室(汇总对比),多余行,尚明远-肱骨骨折  2/3,1605867,整行,,None/50.0/None,,14,
5月,全部科室(汇总对比),多余行,尚明远-肱骨骨折  3/3,1605867,整行,,None/357.5/None,,15,
5月,全部科室(汇总对比),多余行,杨帆-尺骨骨折1/1,1607026,整行,,None/431.0/None,,16,
5月,全部科室(汇总对比),多余行,顾宏亮-复发性髌骨脱位3/3,1611192,整行,,1.0/368.5/368.5,,6,
5月,全部科室(汇总对比),多余行,顾宏亮-复发性髌骨脱位1/3,1611192,整行,,1.0/16.5/16.5,,7,
5月,全部科室(汇总对比),多余行,顾宏亮-复发性髌骨脱位2/3,1611208,整行,,1.0/88.0/88.0,,8,
5月,全部科室(汇总对比),多余行,刘敬东-关节游离体1/1,1611208,整行,,1.0/88.0/88.0,,9,
5月,全部科室(汇总对比),汇总不一致-总价,口腔科（4楼金华）,,总价,3558.0,3541.5,8,8,
5月,全部科室(汇总对比),汇总不一致-总价,手术室,,总价,14459.0,12812.0,8,8,
6月,全部科室(汇总对比),字段不一致-单价,种植盒-23件 盒1/w6050,1616100,单价,132.0,27.5,20,20,原始按器械数×基础单价(132)计费；处理后按标准价(27.5)计费
6月,全部科室(汇总对比),字段不一致-总价,种植盒-23件 盒1/w6050,1616100,总价,132.0,27.5,20,20,原始按器械数×基础单价(132)计费；处理后按标准价(27.5)计费
6月,全部科室(汇总对比),字段不一致-总价,换药碗-1/z2032,1620066,总价,11.0,13.0,10,10,
6月,全部科室(汇总对比),字段不一致-总价,胆囊包10件（盒1）,1619512,总价,300.0,165.0,167,35,
6月,全部科室(汇总对比),汇总不一致-总价,口腔科（种植诊室）,,总价,1475.5,1371.0,8,8,
6月,全部科室(汇总对比),汇总不一致-总价,内三,,总价,195.0,197.0,8,8,
6月,全部科室(汇总对比),汇总不一致-总价,手术室,,总价,13523.5,11992.5,8,8,
