sheet	row	orderNo	packName	packCount	unitPrice	ruleUnit	status	pricingRule
住院处手术室	9	1613438	外科包	1	80.85	115.5	warning	高温无纺布计费
住院处手术室	10	1613438	弯盘-2/Z2032	1	11.55	16.5	warning	高温纸塑袋20cm计费
住院处手术室	11	1613438	折弯器-2/Z1535	1	11.55	3.85	warning	PDF纸塑袋15cm
住院处手术室	12	1613438	持物钳罐-3 /W7050	1	11.55	16.5	warning	高温无纺布计费
住院处手术室	13	1613438	锤子-1/W6050	1	11.55	16.5	warning	高温无纺布计费
住院处手术室	14	1613438	大盆1小盆1/W9050	1	11.55	16.5	warning	高温无纺布计费
住院处手术室	15	1613438	蚊式-6/W6050	1	23.1	33.0	warning	高温无纺布计费
住院处手术室	16	1613438	眼科包(弯盘1巾钳子2)/W6050	2	11.55	16.5	warning	高温无纺布计费
住院处手术室	17	1613438	棉球/Z1020	1	1.75	10.5	warning	PDF敷料小20x20x15
住院处手术室	18	1613438	腔镜纱布/Z1026	5	1.75	10.5	warning	PDF敷料小20x20x15
住院处手术室	19	1613438	眼科纱布/Z1026	1	1.75	10.5	warning	PDF敷料小20x20x15
住院处手术室	20	1613612	刷手服（男）/W1250	1	24.5	10.5	warning	PDF敷料小20x20x15
住院处手术室	21	1615191	外科包	1	80.85	115.5	warning	高温无纺布计费
住院处手术室	22	1615191	蚊氏包	1	80.85	115.5	warning	高温无纺布计费
住院处手术室	23	1615191	阑尾钳 -1/Z1026	1	5.6	3.56	warning	PDF纸塑袋10cm
住院处手术室	24	1615191	弯盘-2/Z2032	2	11.55	16.5	warning	高温纸塑袋20cm计费
住院处手术室	25	1615191	S钩（小）-2件/W6050	1	11.55	16.5	warning	高温无纺布计费
住院处手术室	26	1615191	持物钳罐-3 /W7050	2	11.55	16.5	warning	高温无纺布计费
住院处手术室	27	1615191	大盆1小盆1/W9050	1	11.55	16.5	warning	高温无纺布计费
住院处手术室	28	1615191	棉球/Z1020	2	1.75	10.5	warning	PDF敷料小20x20x15
住院处手术室	29	1615239	科服/W1250	1	24.5	10.5	warning	PDF敷料小20x20x15
住院处手术室	30	1615239	刷手服（男）/W1250	2	24.5	10.5	warning	PDF敷料小20x20x15
住院处手术室	31	1615720	外科包	1	80.85	115.5	warning	高温无纺布计费
住院处手术室	32	1615720	弯盘-2/Z2032	1	11.55	16.5	warning	高温纸塑袋20cm计费
住院处手术室	33	1615720	持物钳罐-3 /W7050	1	11.55	16.5	warning	高温无纺布计费
住院处手术室	34	1615720	大盆1小盆1/W9050	1	11.55	16.5	warning	高温无纺布计费
住院处手术室	35	1615720	棉球/Z1020	1	1.75	10.5	warning	PDF敷料小20x20x15
住院处手术室	36	1616382	外科包	2	80.85	115.5	warning	高温无纺布计费
住院处手术室	37	1616382	刷手服（男）/W1250	2	24.5	10.5	warning	PDF敷料小20x20x15
住院处手术室	38	1616382	持物钳罐-3 /W7050	2	11.55	16.5	warning	高温无纺布计费
住院处手术室	39	1616382	棉球/Z1020	2	1.75	10.5	warning	PDF敷料小20x20x15
外科（住院处）	9	1608552	切开包	3	26.95	115.5	warning	高温无纺布计费
