月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
1月,MECT科室,字段不一致-单价,牙垫-1/z1530,1567563,单价,11.0,8.0,12,11,原始按器械数×基础单价(11)计费；处理后按标准价(8)计费
1月,MECT科室,字段不一致-总价,牙垫-1/z1530,1567563,总价,11.0,8.0,12,11,原始按器械数×基础单价(11)计费；处理后按标准价(8)计费
1月,MECT科室,字段不一致-单价,牙垫-4/z1535,1571253,单价,27.5,8.0,14,13,原始按器械数×基础单价(27.5)计费；处理后按标准价(8)计费
1月,MECT科室,字段不一致-总价,牙垫-4/z1535,1571253,总价,27.5,8.0,14,13,原始按器械数×基础单价(27.5)计费；处理后按标准价(8)计费
1月,MECT科室,字段不一致-单价,牙垫-1/z1530,1573225,单价,11.0,8.0,16,15,原始按器械数×基础单价(11)计费；处理后按标准价(8)计费
1月,MECT科室,字段不一致-总价,牙垫-1/z1530,1573225,总价,11.0,8.0,16,15,原始按器械数×基础单价(11)计费；处理后按标准价(8)计费
1月,MECT科室,汇总不一致-总价,MECT科室,,总价,241.5,216.0,11,10,
2月,全部科室(汇总对比),缺失行,牙垫-5/z1535,1576960,整行,8.0/8.0/64.0,,12,,
2月,全部科室(汇总对比),缺失行,牙垫-2/z1530,1576996,整行,1.0/8.0/8.0,,13,,
2月,全部科室(汇总对比),缺失行,牙垫-2/z1530,1578736,整行,1.0/8.0/8.0,,14,,
2月,全部科室(汇总对比),缺失行,牙垫-5/z1535,1578736,整行,6.0/8.0/48.0,,15,,
2月,全部科室(汇总对比),缺失行,牙垫-1/z1530,1580818,整行,2.0/8.0/16.0,,16,,
2月,全部科室(汇总对比),缺失行,牙垫-5/z1535,1580818,整行,3.0/8.0/24.0,,17,,
2月,全部科室(汇总对比),缺失行,开口器舌钳子压舌板-3/Z1526,1578737,整行,2.0/16.5/33.0,,9,,
2月,全部科室(汇总对比),多余行,牙垫-4/Z1535,1576961,整行,,1.0/8.0/8.0,,11,
2月,全部科室(汇总对比),多余行,牙垫-5/z1535,1576961,整行,,14.0/8.0/112.0,,12,
2月,全部科室(汇总对比),多余行,牙垫-1/z1530,1576995,整行,,1.0/8.0/8.0,,13,
2月,全部科室(汇总对比),多余行,牙垫-4/Z1535,1578738,整行,,1.0/8.0/8.0,,14,
2月,全部科室(汇总对比),多余行,牙垫-5/z1535,1578738,整行,,9.0/8.0/72.0,,15,
2月,全部科室(汇总对比),多余行,牙垫-4/Z1535,1580819,整行,,1.0/8.0/8.0,,16,
2月,全部科室(汇总对比),多余行,牙垫-5/z1535,1580819,整行,,8.0/8.0/64.0,,17,
4月,全部科室(汇总对比),缺失行,牙垫-5/z1535,1598040,整行,10.0/8.0/80.0,,12,,
4月,全部科室(汇总对比),缺失行,牙垫-5/z1535,1599375,整行,9.0/8.0/72.0,,13,,
4月,全部科室(汇总对比),缺失行,开口器舌钳子压舌板-3/Z1526,1598056,整行,2.0/16.5/33.0,,9,,
4月,全部科室(汇总对比),多余行,牙垫-1/z1530,1598039,整行,,1.0/8.0/8.0,,11,
4月,全部科室(汇总对比),多余行,牙垫-5/z1535,1598039,整行,,13.0/8.0/104.0,,12,
4月,全部科室(汇总对比),多余行,牙垫-2/z1530,1599376,整行,,1.0/8.0/8.0,,13,
4月,全部科室(汇总对比),多余行,牙垫-5/z1535,1599376,整行,,6.0/8.0/48.0,,14,
5月,MECT科,多余行,牙垫-2/z1530,1601447,整行,,1.0/8.0/8.0,,11,
5月,MECT科,多余行,牙垫-3/z1535,1601447,整行,,1.0/8.0/8.0,,12,
5月,MECT科,多余行,牙垫-5/z1535,1601447,整行,,7.0/8.0/56.0,,13,
5月,MECT科,多余行,牙垫-1/z1530,1603617,整行,,1.0/8.0/8.0,,14,
5月,MECT科,多余行,牙垫-5/z1535,1603617,整行,,10.0/8.0/80.0,,15,
5月,MECT科,多余行,牙垫-1/z1530,1605670,整行,,1.0/8.0/8.0,,16,
5月,MECT科,多余行,牙垫-3/z1535,1605670,整行,,1.0/8.0/8.0,,17,
5月,MECT科,多余行,牙垫-5/z1535,1605670,整行,,12.0/8.0/96.0,,18,
5月,MECT科,多余行,牙垫-5/z1535,1607674,整行,,10.0/8.0/80.0,,19,
5月,MECT科室,缺失行,牙垫-1/z1530,1601448,整行,1.0/8.0/8.0,,12,,
5月,MECT科室,缺失行,牙垫-5/z1535,1601448,整行,11.0/8.0/88.0,,13,,
5月,MECT科室,缺失行,牙垫-1/z1530,1603642,整行,1.0/8.0/8.0,,14,,
5月,MECT科室,缺失行,牙垫-3/z1535,1603642,整行,1.0/8.0/8.0,,15,,
5月,MECT科室,缺失行,牙垫-5/z1535,1603642,整行,9.0/8.0/72.0,,16,,
5月,MECT科室,缺失行,牙垫-3/z1535,1605669,整行,2.0/8.0/16.0,,17,,
5月,MECT科室,缺失行,牙垫-5/z1535,1605669,整行,12.0/8.0/96.0,,18,,
