月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
1月,供应室,缺失行,市二院外来-128（只消毒）,1567960,整行,1.0/0.0/0.0,,9,,
1月,供应室,缺失行,市二院外来-124（只消毒）,1569878,整行,1.0/0.0/0.0,,10,,
1月,供应室,缺失行,市二院外来-47件（只消毒）,1569878,整行,1.0/0.0/0.0,,11,,
1月,供应室,缺失行,市二院外来-4件（只消毒）,1570249,整行,1.0/0.0/0.0,,12,,
1月,供应室,缺失行,市二院外来-132（只消毒）,1572521,整行,1.0/0.0/0.0,,13,,
1月,供应室,缺失行,市二院外来-143（只消毒）,1573275,整行,1.0/0.0/0.0,,14,,
1月,供应室,缺失行,市二院外来-47件（只消毒）,1573275,整行,1.0/0.0/0.0,,15,,
1月,供应室,缺失行,市二院外来-7件（只消毒）,1574116,整行,1.0/0.0/0.0,,16,,
1月,供应室,缺失行,市二院外来-132（只消毒）,1574475,整行,1.0/0.0/0.0,,17,,
1月,供应室,缺失行,市二院外来一套145（只消毒）,1574475,整行,1.0/0.0/0.0,,18,,
1月,供应室,缺失行,市二院外来-105（只消毒）,1574856,整行,1.0/0.0/0.0,,19,,
1月,供应室,缺失行,市二院外来-84件（只消毒）,1575185,整行,1.0/0.0/0.0,,20,,
1月,供应室（手术室）,多余行,市二院外来-128（只消毒）,1567960,整行,,1.0/0.0/0.0,,37,
1月,供应室（手术室）,多余行,市二院外来-124（只消毒）,1569878,整行,,1.0/0.0/0.0,,38,
1月,供应室（手术室）,多余行,市二院外来-47件（只消毒）,1569878,整行,,1.0/0.0/0.0,,39,
1月,供应室（手术室）,多余行,市二院外来-4件（只消毒）,1570249,整行,,1.0/0.0/0.0,,40,
1月,供应室（手术室）,多余行,市二院外来-132（只消毒）,1572521,整行,,1.0/0.0/0.0,,41,
1月,供应室（手术室）,多余行,市二院外来-143（只消毒）,1573275,整行,,1.0/0.0/0.0,,42,
1月,供应室（手术室）,多余行,市二院外来-47件（只消毒）,1573275,整行,,1.0/0.0/0.0,,43,
1月,供应室（手术室）,多余行,市二院外来-7件（只消毒）,1574116,整行,,1.0/0.0/0.0,,44,
1月,供应室（手术室）,多余行,市二院外来-132（只消毒）,1574475,整行,,1.0/0.0/0.0,,45,
1月,供应室（手术室）,多余行,市二院外来一套145（只消毒）,1574475,整行,,1.0/0.0/0.0,,46,
1月,供应室（手术室）,多余行,市二院外来-105（只消毒）,1574856,整行,,1.0/0.0/0.0,,47,
1月,供应室（手术室）,多余行,市二院外来-84件（只消毒）,1575185,整行,,1.0/0.0/0.0,,48,
1月,口腔修复诊室,字段不一致-单价,窦瓣-5/z7520,1569874,单价,8.0,5.5,30,30,原始按器械数×基础单价(8)计费；处理后按标准价(5.5)计费
1月,口腔修复诊室,字段不一致-总价,窦瓣-5/z7520,1569874,总价,8.0,5.5,30,30,原始按器械数×基础单价(8)计费；处理后按标准价(5.5)计费
1月,口腔修复诊室,汇总不一致-总价,口腔修复诊室,,总价,479.5,477.0,8,8,
1月,口腔科(内),字段不一致-单价,窦瓣-5/z7520,1574452,单价,8.0,5.5,338,338,原始按器械数×基础单价(8)计费；处理后按标准价(5.5)计费
1月,口腔科(内),字段不一致-总价,窦瓣-5/z7520,1574452,总价,8.0,5.5,338,338,原始按器械数×基础单价(8)计费；处理后按标准价(5.5)计费
1月,口腔科(内),汇总不一致-总价,口腔科(内),,总价,3427.0,3424.5,8,8,
1月,大博,多余行,顾金刚-股骨头缺血性坏死  1/6,1572173,整行,,1.0/0.0/0.0,,5,
1月,大博,多余行,顾金刚-股骨头缺血性坏死  2/6,1572173,整行,,1.0/0.0/0.0,,6,
1月,大博,多余行,顾金刚-股骨头缺血性坏死  3/6,1572173,整行,,1.0/0.0/0.0,,7,
1月,大博,多余行,顾金刚-股骨头缺血性坏死  4/6,1572173,整行,,1.0/0.0/0.0,,8,
1月,大博,多余行,顾金刚-股骨头缺血性坏死  5/6,1572173,整行,,1.0/0.0/0.0,,9,
1月,大博,多余行,顾金刚-股骨头缺血性坏死  6/6,1572173,整行,,1.0/1750.0/1750.0,,10,
1月,大博,多余行,王永菊-单侧膝关节骨性关节病  1/7,1574032,整行,,1.0/0.0/0.0,,11,
