科室,原始行,发货单号,包名,包数,原单价,处理后单价,原总价,处理后总价,规则覆盖,匹配规则,说明
妇产科,10,1606421,张长青超声刀线-2件/Z2535,1.0,66.0,44.0,66.0,44.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(66)计费；处理后按标准价(44)计费
骨科（送一手）,55,1607242,骨四1 宋晓辉韧带咬钳 2件/W605060,1.0,11.0,16.5,11.0,11.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(11)计费；处理后按标准价(16.5)计费
（一）手术室,25,1601577,AR水管-2件/双/Z1530,1.0,24.0,16.5,24.0,16.5,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(24)计费；处理后按标准价(16.5)计费
（一）手术室,213,1602075,德美2号刨刀-1/双/Z2550,1.0,26.5,16.5,26.5,16.5,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(26.5)计费；处理后按标准价(16.5)计费
（一）手术室,226,1602077,半月板缝合器械-4/Z1020,2.0,24.5,22.0,49.0,44.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(24.5)计费；处理后按标准价(22)计费
（一）手术室,534,1603207,德美2号刨刀-1/双/Z2550,1.0,26.5,16.5,26.5,16.5,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(26.5)计费；处理后按标准价(16.5)计费
（一）手术室,606,1603473,西山骨动力1号-1/双/Z2530,1.0,26.5,16.5,26.5,16.5,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(26.5)计费；处理后按标准价(16.5)计费
（一）手术室,672,1603773,西山骨动力1号-1/双/Z2530,1.0,26.5,16.5,26.5,16.5,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(26.5)计费；处理后按标准价(16.5)计费
（一）手术室,762,1604048,西山骨动力1号-1/双/Z2530,1.0,26.5,16.5,26.5,16.5,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(26.5)计费；处理后按标准价(16.5)计费
（一）手术室,889,1604680,西山骨动力1号-1/双/Z2530,1.0,26.5,16.5,26.5,16.5,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(26.5)计费；处理后按标准价(16.5)计费
（一）手术室,1121,1605259,德美2号刨刀-1/双/Z2550,1.0,26.5,16.5,26.5,16.5,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(26.5)计费；处理后按标准价(16.5)计费
（一）手术室,1122,1605451,半月板缝合器械-4/Z1020,1.0,24.5,22.0,24.5,22.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(24.5)计费；处理后按标准价(22)计费
（一）手术室,1133,1605451,德美4K1号刨刀-1/W6050,1.0,35.0,16.5,35.0,16.5,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(35)计费；处理后按标准价(16.5)计费
（一）手术室,1328,1606169,胸腔镜-17件（筐1）,1.0,121.0,99.0,121.0,99.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(121)计费；处理后按标准价(99)计费
（一）手术室,1330,1606169,试用肩镜-2件/双/Z2030,1.0,29.0,16.5,29.0,16.5,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(29)计费；处理后按标准价(16.5)计费
（一）手术室,1401,1606508,德美2号刨刀-1/双/Z2550,1.0,26.5,16.5,26.5,16.5,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(26.5)计费；处理后按标准价(16.5)计费
（一）手术室,1477,1606842,德美2号刨刀-1/双/Z2550,1.0,26.5,16.5,26.5,16.5,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(26.5)计费；处理后按标准价(16.5)计费
