sheet	row	orderNo	packName	packCount	unitPrice	ruleUnit	status	pricingRule
（一）手术室	18	1601576	拇外翻工具-2/双Z1020	1	16.5	16.0	warning	高温纸塑袋(双)10cm计费
（一）手术室	25	1601577	AR水管-2件/双/Z1530	1	24.0	16.5	warning	校正价16.5
（一）手术室	39	1601577	DMD光源3号-1/W905060	1	28.0	35.0	warning	市五export DMD光源3号35
（一）手术室	85	1601690	DMD光源1号-1/W905060	1	22.0	35.0	warning	市五export DMD光源1号35
（一）手术室	166	1601870	穿刺针（带芯）-2/Z7520	1	13.5	8.0	warning	高温纸塑袋10cm计费
（一）手术室	202	1602017	DMD光源1号-1/W905060	1	22.0	35.0	warning	市五export DMD光源1号35
（一）手术室	213	1602075	德美2号刨刀-1/双/Z2550	1	26.5	16.5	warning	校正价16.5
（一）手术室	226	1602077	半月板缝合器械-4/Z1020	2	24.5	22.0	warning	校正价22.0
（一）手术室	261	1602097	骨四（2）邹天彪磨头-4件/Z1026	1	38.5	88.0	warning	市五export 磨头Z102688
（一）手术室	267	1602097	DMD光源3号-1/W905060	1	28.0	35.0	warning	市五export DMD光源3号35
（一）手术室	273	1602288	穿刺针（带芯）-2/Z7520	2	13.5	8.0	warning	高温纸塑袋10cm计费
（一）手术室	331	1602384	胸外软镜-2件（盒1）/W15050	1	300.0	35.0	warning	低温无纺布阶梯计费
（一）手术室	389	1602642	DMD光源3号-1/W905060	1	28.0	35.0	warning	市五export DMD光源3号35
（一）手术室	460	1602798	DMD光源3号-1/W905060	1	28.0	35.0	warning	市五export DMD光源3号35
（一）手术室	506	1603114	穿刺针（带芯）-2/Z7520	1	13.5	8.0	warning	高温纸塑袋10cm计费
（一）手术室	518	1603167	德美刨刀（高温）-1/Z2044	1	16.5	13.0	warning	高温纸塑袋20cm计费
（一）手术室	534	1603207	德美2号刨刀-1/双/Z2550	1	26.5	16.5	warning	校正价16.5
（一）手术室	538	1603207	DMD光源1号-1/W905060	1	22.0	35.0	warning	市五export DMD光源1号35
（一）手术室	606	1603473	西山骨动力1号-1/双/Z2530	1	26.5	16.5	warning	校正价16.5
（一）手术室	672	1603773	西山骨动力1号-1/双/Z2530	1	26.5	16.5	warning	校正价16.5
（一）手术室	686	1603776	骨四（2）邹天彪磨头-4件/Z1026	1	38.5	88.0	warning	市五export 磨头Z102688
（一）手术室	729	1604014	DMD光源1号-1/W905060	1	22.0	35.0	warning	市五export DMD光源1号35
（一）手术室	753	1604036	DMD光源3号-1/W905060	1	28.0	35.0	warning	市五export DMD光源3号35
（一）手术室	762	1604048	西山骨动力1号-1/双/Z2530	1	26.5	16.5	warning	校正价16.5
（一）手术室	889	1604680	西山骨动力1号-1/双/Z2530	1	26.5	16.5	warning	校正价16.5
（一）手术室	1005	1605095	DMD光源1号-1/W905060	1	22.0	35.0	warning	市五export DMD光源1号35
（一）手术室	1013	1605123	德美刨刀（高温）-1/Z2044	1	16.5	13.0	warning	高温纸塑袋20cm计费
（一）手术室	1016	1605123	骨六业皋电钻-2件/W705060	1	11.0	16.5	warning	市五export 骨六电钻16.5
（一）手术室	1086	1605243	DMD光源3号-1/W905060	1	28.0	35.0	warning	市五export DMD光源3号35
（一）手术室	1121	1605259	德美2号刨刀-1/双/Z2550	1	26.5	16.5	warning	校正价16.5
（一）手术室	1122	1605451	半月板缝合器械-4/Z1020	1	24.5	22.0	warning	校正价22.0
（一）手术室	1133	1605451	德美4K1号刨刀-1/W6050	1	35.0	16.5	warning	校正价16.5
（一）手术室	1178	1605496	DMD光源1号-1/W905060	1	22.0	35.0	warning	市五export DMD光源1号35
（一）手术室	1228	1605819	穿刺针（带芯）-2/Z7520	1	13.5	8.0	warning	高温纸塑袋10cm计费
（一）手术室	1328	1606169	胸腔镜-17件（筐1）	1	121.0	99.0	warning	市五export 胸腔镜99
（一）手术室	1330	1606169	试用肩镜-2件/双/Z2030	1	29.0	16.5	warning	校正价16.5
（一）手术室	1331	1606169	DMD光源1号-1/W905060	1	22.0	35.0	warning	市五export DMD光源1号35
