月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
1月,一手调偏瘫,多余行,偏瘫陈冲显微器械-15件（盒1）,1570102,整行,,1.0/88.0/88.0,,9,
1月,一手调偏瘫,多余行,偏瘫陈冲显微器械-15件（盒1）,1570908,整行,,1.0/88.0/88.0,,10,
1月,一手调偏瘫,多余行,偏瘫陈冲显微器械-15件（盒1）,1571216,整行,,1.0/88.0/88.0,,11,
1月,一手调偏瘫,多余行,偏瘫陈冲显微器械-15件（盒1）,1574013,整行,,1.0/88.0/88.0,,12,
1月,一手调偏瘫,多余行,偏瘫陈冲显微器械-15件（盒1）,1574683,整行,,1.0/88.0/88.0,,13,
1月,一手调偏瘫,多余行,偏瘫陈冲显微器械-15件（盒1）,1575082,整行,,1.0/88.0/88.0,,14,
1月,一手调偏瘫,多余行,偏瘫陈冲显微器械-15件（盒1）,1575928,整行,,1.0/88.0/88.0,,15,
1月,一手调骨一（一）,多余行,聂广辰专用解剖剪-1/Z1029,1569440,整行,,2.0/8.0/16.0,,9,
1月,一手调骨一（一）,多余行,骨一薛岩撑开器-1/Z1526,1569442,整行,,2.0/11.0/22.0,,10,
1月,一手调骨一（一）,多余行,聂广辰专用解剖剪-1/Z1029,1569519,整行,,1.0/8.0/8.0,,11,
1月,一手调骨一（一）,多余行,聂广辰专用解剖剪-1/Z1029,1569683,整行,,1.0/8.0/8.0,,12,
1月,一手调骨一（一）,多余行,聂广辰专用解剖剪-1/Z1029,1570109,整行,,2.0/8.0/16.0,,13,
1月,一手调骨一（一）,多余行,聂广辰专用解剖剪-1/Z1029,1570328,整行,,1.0/8.0/8.0,,14,
1月,一手调骨一（一）,多余行,骨一薛岩撑开器-1/Z1526,1570485,整行,,2.0/11.0/22.0,,15,
1月,一手调骨一（一）,多余行,薛岩手科凿子-5/Z6050,1570862,整行,,1.0/27.5/27.5,,16,
1月,一手调骨一（一）,多余行,聂广辰专用解剖剪-1/Z1029,1570908,整行,,1.0/8.0/8.0,,17,
1月,一手调骨一（一）,多余行,聂广辰专用解剖剪-1/Z1029,1571055,整行,,1.0/8.0/8.0,,18,
1月,一手调骨一（一）,多余行,聂广辰专用解剖剪-1/Z1029,1571209,整行,,1.0/8.0/8.0,,19,
1月,一手调骨一（一）,多余行,聂广辰专用解剖剪-1/Z1029,1571216,整行,,1.0/8.0/8.0,,20,
1月,一手调骨一（一）,多余行,聂广辰专用剪刀-1/Z1029,1571080,整行,,1.0/8.0/8.0,,21,
1月,一手调骨一（一）,多余行,骨一薛岩撑开器-1/Z1526,1571407,整行,,1.0/11.0/11.0,,22,
