sheet	row	orderNo	packName	packCount	unitPrice	ruleUnit	status	pricingRule
ICU病房	12	1608752	简易呼吸器-1/Z3044	1	22.0	22.0	warning	special_only 未命中特色规则
ICU病房	13	1614232	导丝-1/Z1029	2	22.0	22.0	warning	special_only 未命中特色规则
ICU病房	14	1614232	简易呼吸器-1/Z3044	1	22.0	22.0	warning	special_only 未命中特色规则
ICU病房	15	1614232	湿化瓶-1/Z3032	1	22.0	22.0	warning	special_only 未命中特色规则
ICU病房	16	1615676	口垫-1/Z1026	1	22.0	22.0	warning	special_only 未命中特色规则
VIP	9	1615333	诊锤-1/Z1029	1	8.0	8.0	warning	special_only 未命中特色规则
VIP	10	1615333	子痫包-3/Z1526	1	16.5	16.5	warning	special_only 未命中特色规则
产二科	9	1613164	宫颈钳1卵圆钳1剪刀1/W6050	1	16.5	16.5	warning	special_only 未命中特色规则
产二科	10	1615334	宫颈钳1卵圆钳1剪刀1/W6050	1	16.5	16.5	warning	special_only 未命中特色规则
产五科	9	1611112	水囊引产	1	22.0	22.0	warning	special_only 未命中特色规则
产前诊断	9	1608606	擦手巾（棉布）	2	15.0	15.0	warning	敷料包(无纺布包)——未识别规格
产前诊断	10	1608664	持物钳,缸-2/Z2044	4	16.5	16.5	warning	special_only 未命中特色规则
产前诊断	11	1610707	擦手巾（棉布）	2	15.0	15.0	warning	敷料包(无纺布包)——未识别规格
产前诊断	12	1610787	持物钳,缸-2/Z2044	3	16.5	16.5	warning	special_only 未命中特色规则
产前诊断	13	1612716	擦手巾（棉布）	2	15.0	15.0	warning	敷料包(无纺布包)——未识别规格
产前诊断	14	1612751	持物钳,缸-2/Z2044	4	16.5	16.5	warning	special_only 未命中特色规则
产前诊断	15	1614463	擦手巾（棉布）	2	15.0	15.0	warning	敷料包(无纺布包)——未识别规格
产前诊断	16	1614567	持物钳,缸-2/Z2044	4	16.5	16.5	warning	special_only 未命中特色规则
产前诊断	17	1614567	弯盘-1/Z2032	1	13.0	13.0	warning	special_only 未命中特色规则
产前诊断	18	1616368	擦手巾（棉布）	2	15.0	15.0	warning	敷料包(无纺布包)——未识别规格
产四科	9	1608655	球囊置换包-5/W6050	1	27.5	27.5	warning	special_only 未命中特色规则
介入科	9	1610792	剪刀-1/Z1029	1	8.0	8.0	warning	special_only 未命中特色规则
介入科	10	1610810	持物钳罐-2/W6050	1	16.5	16.5	warning	special_only 未命中特色规则
介入科	11	1612387	凹凸钳-1/Z1035	1	8.0	8.0	warning	special_only 未命中特色规则
介入科	12	1615337	剪刀-1/Z1029	1	8.0	8.0	warning	special_only 未命中特色规则
介入科	13	1615337	持物钳罐-2/W6050	1	16.5	16.5	warning	special_only 未命中特色规则
介入科	14	1616108	持物钳罐-2/W6050	1	16.5	16.5	warning	special_only 未命中特色规则
分娩室	9	1608182	产包	9	27.5	27.5	warning	special_only 未命中特色规则
分娩室	10	1608182	产钳-2/W7050	1	16.5	16.5	warning	special_only 未命中特色规则
分娩室	11	1608270	侧切剪-1/Z1029	2	8.0	8.0	warning	special_only 未命中特色规则
分娩室	12	1608270	拉钩-2/Z2032	1	16.5	16.5	warning	special_only 未命中特色规则
分娩室	13	1608270	卵圆钳-2/Z1535	1	16.5	16.5	warning	special_only 未命中特色规则
分娩室	14	1608270	镊子缸-2/Z2044	1	16.5	16.5	warning	special_only 未命中特色规则
分娩室	15	1609013	侧切剪-1/Z1029	4	8.0	8.0	warning	special_only 未命中特色规则
分娩室	16	1609013	拉钩-2/Z2032	2	16.5	16.5	warning	special_only 未命中特色规则
分娩室	17	1609013	卵圆钳-2/Z1535	2	16.5	16.5	warning	special_only 未命中特色规则
分娩室	18	1609013	产包	6	27.5	27.5	warning	special_only 未命中特色规则
分娩室	19	1609779	侧切剪-1/Z1029	2	8.0	8.0	warning	special_only 未命中特色规则
分娩室	20	1609779	拉钩-2/Z2032	2	16.5	16.5	warning	special_only 未命中特色规则
分娩室	21	1609779	卵圆钳-2/Z1535	2	16.5	16.5	warning	special_only 未命中特色规则
分娩室	22	1609779	产包	7	27.5	27.5	warning	special_only 未命中特色规则
分娩室	23	1610351	侧切剪-1/Z1029	5	8.0	8.0	warning	special_only 未命中特色规则
分娩室	24	1610351	拉钩-2/Z2032	1	16.5	16.5	warning	special_only 未命中特色规则
分娩室	25	1610351	产包	12	27.5	27.5	warning	special_only 未命中特色规则
分娩室	26	1611113	侧切剪-1/Z1029	2	8.0	8.0	warning	special_only 未命中特色规则
分娩室	27	1611113	拉钩-2/Z2032	1	16.5	16.5	warning	special_only 未命中特色规则
分娩室	28	1611113	卵圆钳-2/Z1535	1	16.5	16.5	warning	special_only 未命中特色规则
分娩室	29	1611113	产包	8	27.5	27.5	warning	special_only 未命中特色规则
分娩室	30	1611865	侧切剪-1/Z1029	2	8.0	8.0	warning	special_only 未命中特色规则
分娩室	31	1611865	产包	5	27.5	27.5	warning	special_only 未命中特色规则
分娩室	32	1612084	侧切剪-1/Z1029	3	8.0	8.0	warning	special_only 未命中特色规则
分娩室	33	1612084	拉钩-2/Z2032	1	16.5	16.5	warning	special_only 未命中特色规则
分娩室	34	1612084	卵圆钳-2/Z1535	2	16.5	16.5	warning	special_only 未命中特色规则
分娩室	35	1612084	产包	11	27.5	27.5	warning	special_only 未命中特色规则
分娩室	36	1612822	侧切剪-1/Z1029	4	8.0	8.0	warning	special_only 未命中特色规则
分娩室	37	1612822	镊子缸-2/Z2044	1	16.5	16.5	warning	special_only 未命中特色规则
分娩室	38	1612822	产包	9	27.5	27.5	warning	special_only 未命中特色规则
分娩室	39	1613526	侧切剪-1/Z1029	5	8.0	8.0	warning	special_only 未命中特色规则
分娩室	40	1613526	卵圆钳-2/Z1535	1	16.5	16.5	warning	special_only 未命中特色规则
分娩室	41	1613526	产包	7	27.5	27.5	warning	special_only 未命中特色规则
分娩室	42	1613788	侧切剪-1/Z1029	5	8.0	8.0	warning	special_only 未命中特色规则
分娩室	43	1613788	拉钩-2/Z2032	1	16.5	16.5	warning	special_only 未命中特色规则
分娩室	44	1613788	卵圆钳-2/Z1535	1	16.5	16.5	warning	special_only 未命中特色规则
分娩室	45	1613788	产包	14	27.5	27.5	warning	special_only 未命中特色规则
分娩室	46	1614105	侧切剪-1/Z1029	3	8.0	8.0	warning	special_only 未命中特色规则
分娩室	47	1614105	拉钩-2/Z2032	1	16.5	16.5	warning	special_only 未命中特色规则
分娩室	48	1614105	卵圆钳-2/Z1535	1	16.5	16.5	warning	special_only 未命中特色规则
分娩室	49	1614105	产包	9	27.5	27.5	warning	special_only 未命中特色规则
分娩室	50	1614891	侧切剪-1/Z1029	4	8.0	8.0	warning	special_only 未命中特色规则
分娩室	51	1614891	产包	9	27.5	27.5	warning	special_only 未命中特色规则
分娩室	52	1615548	侧切剪-1/Z1029	2	8.0	8.0	warning	special_only 未命中特色规则
分娩室	53	1615548	拉钩-2/Z2032	1	16.5	16.5	warning	special_only 未命中特色规则
分娩室	54	1615548	卵圆钳-2/Z1535	2	16.5	16.5	warning	special_only 未命中特色规则
分娩室	55	1615548	产包	12	27.5	27.5	warning	special_only 未命中特色规则
分娩室	56	1616073	产包	12	27.5	27.5	warning	special_only 未命中特色规则
分娩室	57	1616104	侧切剪-1/Z1029	1	8.0	8.0	warning	special_only 未命中特色规则
分娩室	58	1616104	拉钩-2/Z2032	1	16.5	16.5	warning	special_only 未命中特色规则
分娩室	59	1616104	卵圆钳-2/Z1535	1	16.5	16.5	warning	special_only 未命中特色规则
口腔科	9	1608665	车针-20/Z7520	1	22.0	22.0	warning	special_only 未命中特色规则
