月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
5月,全部科室(汇总对比),字段不一致-单价,根扩针-15/Z7520,1605302,单价,22.0,16.5,108,627,原始按器械数×基础单价(22)计费；处理后按标准价(16.5)计费
5月,全部科室(汇总对比),字段不一致-总价,根扩针-15/Z7520,1605302,总价,22.0,16.5,108,627,原始按器械数×基础单价(22)计费；处理后按标准价(16.5)计费
5月,全部科室(汇总对比),字段不一致-单价,根扩针-15/Z7520,1606284,单价,22.0,16.5,121,640,原始按器械数×基础单价(22)计费；处理后按标准价(16.5)计费
5月,全部科室(汇总对比),字段不一致-总价,根扩针-15/Z7520,1606284,总价,22.0,16.5,121,640,原始按器械数×基础单价(22)计费；处理后按标准价(16.5)计费
5月,全部科室(汇总对比),字段不一致-包数,剖宫包□,1600433,包数,9.0,,44,7,
5月,全部科室(汇总对比),字段不一致-总价,剖宫包□,1600433,总价,1534.5,,44,7,
5月,全部科室(汇总对比),字段不一致-包数,麻杯1换药碗2弯盘1/W6050,1600433,包数,9.0,,45,8,
5月,全部科室(汇总对比),字段不一致-总价,麻杯1换药碗2弯盘1/W6050,1600433,总价,198.0,,45,8,
5月,全部科室(汇总对比),字段不一致-包数,剖宫包□,1601231,包数,7.0,,81,15,
5月,全部科室(汇总对比),字段不一致-总价,剖宫包□,1601231,总价,1193.5,,81,15,
5月,全部科室(汇总对比),字段不一致-包数,麻杯1换药碗2弯盘1/W6050,1601231,包数,7.0,,82,16,
5月,全部科室(汇总对比),字段不一致-总价,麻杯1换药碗2弯盘1/W6050,1601231,总价,154.0,,82,16,
5月,全部科室(汇总对比),字段不一致-包数,剖宫包□,1607201,包数,6.0,,302,23,
5月,全部科室(汇总对比),字段不一致-总价,剖宫包□,1607201,总价,1023.0,,302,23,
5月,全部科室(汇总对比),字段不一致-包数,麻杯1换药碗2弯盘1/W6050,1607201,包数,6.0,,303,24,
5月,全部科室(汇总对比),字段不一致-总价,麻杯1换药碗2弯盘1/W6050,1607201,总价,132.0,,303,24,
5月,全部科室(汇总对比),汇总不一致-总价,哈尔滨红十字妇产医院,,总价,156657.5,152411.5,9,8,
5月,全部科室(汇总对比),汇总不一致-总价,妇三,,总价,358.5,309.0,8,188,
5月,全部科室(汇总对比),汇总不一致-总价,妇一科,,总价,455.0,504.5,8,207,
5月,全部科室(汇总对比),汇总不一致-总价,口腔科,,总价,3880.0,3869.0,8,527,
5月,全部科室(汇总对比),汇总不一致-总价,手术室,,总价,78084.0,73849.0,8,1288,
6月,全部科室(汇总对比),字段不一致-包数,剖宫包□,1608093,包数,9.0,,12,7,
6月,全部科室(汇总对比),字段不一致-总价,剖宫包□,1608093,总价,1534.5,,12,7,
6月,全部科室(汇总对比),字段不一致-包数,麻杯1换药碗2弯盘1/W6050,1608093,包数,9.0,,13,8,
6月,全部科室(汇总对比),字段不一致-总价,麻杯1换药碗2弯盘1/W6050,1608093,总价,198.0,,13,8,
6月,全部科室(汇总对比),字段不一致-包数,剖宫包□,1612610,包数,10.0,,186,15,
6月,全部科室(汇总对比),字段不一致-总价,剖宫包□,1612610,总价,1705.0,,186,15,
6月,全部科室(汇总对比),字段不一致-包数,麻杯1换药碗2弯盘1/W6050,1612610,包数,10.0,,187,16,
6月,全部科室(汇总对比),字段不一致-总价,麻杯1换药碗2弯盘1/W6050,1612610,总价,220.0,,187,16,
6月,全部科室(汇总对比),字段不一致-包数,剖宫包□,1613004,包数,9.0,,204,23,
6月,全部科室(汇总对比),字段不一致-总价,剖宫包□,1613004,总价,1534.5,,204,23,
6月,全部科室(汇总对比),字段不一致-包数,麻杯1换药碗2弯盘1/W6050,1613004,包数,9.0,,205,24,
6月,全部科室(汇总对比),字段不一致-总价,麻杯1换药碗2弯盘1/W6050,1613004,总价,198.0,,205,24,
6月,全部科室(汇总对比),字段不一致-包数,剖宫包□,1614073,包数,10.0,,245,31,
6月,全部科室(汇总对比),字段不一致-总价,剖宫包□,1614073,总价,1705.0,,245,31,
6月,全部科室(汇总对比),字段不一致-包数,麻杯1换药碗2弯盘1/W6050,1614073,包数,10.0,,246,32,
6月,全部科室(汇总对比),字段不一致-总价,麻杯1换药碗2弯盘1/W6050,1614073,总价,220.0,,246,32,
6月,全部科室(汇总对比),字段不一致-包数,刮宫包（10件）,1614138,包数,4.0,,256,39,
6月,全部科室(汇总对比),字段不一致-总价,刮宫包（10件）,1614138,总价,220.0,,256,39,
6月,全部科室(汇总对比),字段不一致-包数,剖宫包□,1614138,包数,8.0,,257,40,
6月,全部科室(汇总对比),字段不一致-总价,剖宫包□,1614138,总价,1364.0,,257,40,
6月,全部科室(汇总对比),字段不一致-包数,麻杯1换药碗2弯盘1/W6050,1614138,包数,8.0,,259,41,
6月,全部科室(汇总对比),字段不一致-总价,麻杯1换药碗2弯盘1/W6050,1614138,总价,176.0,,259,41,
6月,全部科室(汇总对比),字段不一致-包数,剖宫包□,1614354,包数,9.0,,263,48,
6月,全部科室(汇总对比),字段不一致-总价,剖宫包□,1614354,总价,1534.5,,263,48,
6月,全部科室(汇总对比),字段不一致-包数,麻杯1换药碗2弯盘1/W6050,1614354,包数,9.0,,264,49,
6月,全部科室(汇总对比),字段不一致-总价,麻杯1换药碗2弯盘1/W6050,1614354,总价,198.0,,264,49,
6月,全部科室(汇总对比),字段不一致-包数,剖宫包□,1615452,包数,9.0,,299,56,
6月,全部科室(汇总对比),字段不一致-总价,剖宫包□,1615452,总价,1534.5,,299,56,
6月,全部科室(汇总对比),字段不一致-包数,麻杯1换药碗2弯盘1/W6050,1615452,包数,9.0,,300,57,
6月,全部科室(汇总对比),字段不一致-总价,麻杯1换药碗2弯盘1/W6050,1615452,总价,198.0,,300,57,
6月,全部科室(汇总对比),多余行,邹家学-右内外踝切开复位固定术  1/6,1609460,整行,,None/304.5/None,,11,
6月,全部科室(汇总对比),多余行,邹家学-右内外踝切开复位固定术  2/6,1609460,整行,,None/138.0/None,,12,
6月,全部科室(汇总对比),多余行,邹家学-右内外踝切开复位固定术  3/6,1609460,整行,,None/149.0/None,,13,
6月,全部科室(汇总对比),多余行,邹家学-右内外踝切开复位固定术  4/6,1609460,整行,,None/170.5/None,,14,
6月,全部科室(汇总对比),多余行,邹家学-右内外踝切开复位固定术  5/6,1609460,整行,,None/50.0/None,,15,
6月,全部科室(汇总对比),多余行,邹家学-右内外踝切开复位固定术  6/6,1609460,整行,,None/104.5/None,,16,
6月,全部科室(汇总对比),多余行,刘滨利-全髋关节置换  1/7,1610864,整行,,None/93.5/None,,17,
6月,全部科室(汇总对比),多余行,刘滨利-全髋关节置换  2/7,1610864,整行,,None/16.5/None,,18,
6月,全部科室(汇总对比),多余行,刘滨利-全髋关节置换  3/7,1610864,整行,,None/82.5/None,,19,
6月,全部科室(汇总对比),多余行,刘滨利-全髋关节置换  4/7,1610864,整行,,None/176.0/None,,20,
6月,全部科室(汇总对比),多余行,刘滨利-全髋关节置换  5/7,1610864,整行,,None/82.5/None,,21,
6月,全部科室(汇总对比),多余行,刘滨利-全髋关节置换  6/7,1610864,整行,,None/192.5/None,,22,
6月,全部科室(汇总对比),多余行,刘滨利-全髋关节置换  7/7,1610864,整行,,None/93.5/None,,23,
6月,全部科室(汇总对比),多余行,郭秀芬-取出内固定  1/1,1614577,整行,,None/16.5/None,,27,
6月,全部科室(汇总对比),多余行,许瑞萍-股骨头无菌性坏死3/3,1608698,整行,,None/225.5/None,,31,
6月,全部科室(汇总对比),多余行,许瑞萍-股骨头无菌性坏死2/3,1608698,整行,,None/170.5/None,,32,
6月,全部科室(汇总对比),多余行,许瑞萍-股骨头无菌性坏死1/3,1608698,整行,,None/225.5/None,,33,
6月,全部科室(汇总对比),多余行,高淑琴-右髋关节置换术  1/3,1610447,整行,,None/93.5/None,,34,
6月,全部科室(汇总对比),多余行,高淑琴-右髋关节置换术  2/3,1610447,整行,,None/511.5/None,,35,
6月,全部科室(汇总对比),多余行,高淑琴-右髋关节置换术  3/3,1610447,整行,,None/16.5/None,,36,
6月,全部科室(汇总对比),多余行,王淑英-股骨头无菌性坏死  1/3,1616168,整行,,None/115.5/None,,40,
