sheet	row	orderNo	packName	packCount	unitPrice	ruleUnit	status	pricingRule
外科	9	1608159	外科缝合包	4	33.0	33.0	warning	special_only 未命中特色规则
外科	10	1608159	持针器-1/z1029	1	8.0	8.0	warning	special_only 未命中特色规则
外科	11	1608159	大镊子-1/z7534	3	8.0	8.0	warning	special_only 未命中特色规则
外科	12	1608159	止血钳-1/z1029	1	8.0	8.0	warning	special_only 未命中特色规则
外科	13	1608159	消毒缸-3/W7050	1	16.5	16.5	warning	special_only 未命中特色规则
外科	14	1610683	外科缝合包	6	33.0	33.0	warning	special_only 未命中特色规则
外科	15	1610683	持针器-1/z1029	1	8.0	8.0	warning	special_only 未命中特色规则
外科	16	1610683	大镊子-1/z7534	1	8.0	8.0	warning	special_only 未命中特色规则
外科	17	1610683	剪刀(高温）-1/z1029	1	8.0	8.0	warning	special_only 未命中特色规则
外科	18	1610683	开口器-1/Z1026	1	8.0	8.0	warning	special_only 未命中特色规则
外科	19	1610683	蚊式-1/z1026	8	8.0	8.0	warning	special_only 未命中特色规则
外科	20	1610683	消毒缸-1/Z2530	3	16.0	16.0	warning	special_only 未命中特色规则
外科	21	1610683	消毒缸-3/W7050	1	16.5	16.5	warning	special_only 未命中特色规则
外科	22	1614020	外科缝合包	12	33.0	33.0	warning	special_only 未命中特色规则
外科	23	1614122	大镊子-1/z7534	3	8.0	8.0	warning	special_only 未命中特色规则
外科	24	1614122	刮勺-1/z7534	2	8.0	8.0	warning	special_only 未命中特色规则
外科	25	1614122	剪刀(高温）-1/z1029	2	8.0	8.0	warning	special_only 未命中特色规则
外科	26	1614122	止血钳-1/z1029	7	8.0	8.0	warning	special_only 未命中特色规则
外科	27	1614122	消毒缸-3/W7050	2	16.5	16.5	warning	special_only 未命中特色规则
外科	28	1616007	外科缝合包	12	33.0	33.0	warning	special_only 未命中特色规则
外科	29	1616007	止血钳-1/z1029	10	8.0	8.0	warning	special_only 未命中特色规则
外科	30	1616007	消毒缸-3/W7050	2	16.5	16.5	warning	special_only 未命中特色规则
外科	31	1616007	棉球/z1526	10	2.5	2.5	warning	敷料包(纸塑袋)+棉球——未识别规格
妇科病房	9	1608155	止血钳-1/z1029	1	8.0	8.0	warning	special_only 未命中特色规则
妇科病房	10	1608155	消毒缸-3/W7050	1	16.5	16.5	warning	special_only 未命中特色规则
妇科病房	11	1608366	病理剪-1/z1560	1	25.0	25.0	warning	special_only 未命中特色规则
妇科病房	12	1608366	病理钳-1/z1560	1	25.0	25.0	warning	special_only 未命中特色规则
妇科病房	13	1608366	宫腔镜镜头-1/双z1550	1	35.0	35.0	warning	special_only 未命中特色规则
妇科病房	14	1608587	妇科缝合包	1	38.5	38.5	warning	special_only 未命中特色规则
妇科病房	15	1609658	病理剪-1/z1560	2	25.0	25.0	warning	special_only 未命中特色规则
妇科病房	16	1609658	病理钳（低温）-1/z1560	2	25.0	25.0	warning	special_only 未命中特色规则
妇科病房	17	1609658	宫腔镜镜头-1/双z1550	2	35.0	35.0	warning	special_only 未命中特色规则
妇科病房	18	1609664	刮勺-1/z7534	1	8.0	8.0	warning	special_only 未命中特色规则
妇科病房	19	1609664	消毒缸-3/W7050	1	16.5	16.5	warning	special_only 未命中特色规则
妇科病房	20	1610252	消毒缸-3/W7050	1	16.5	16.5	warning	special_only 未命中特色规则
妇科病房	21	1610457	组件-1（低温）-1/Z7520	1	22.0	22.0	warning	special_only 未命中特色规则
妇科病房	22	1611038	止血钳-1/z1029	1	8.0	8.0	warning	special_only 未命中特色规则
妇科病房	23	1611202	病理剪-1/z1560	1	25.0	25.0	warning	special_only 未命中特色规则
妇科病房	24	1611202	病理钳（低温）-1/z1560	1	25.0	25.0	warning	special_only 未命中特色规则
妇科病房	25	1611202	宫腔镜，镜鞘-2件/（组合）双Z1555	1	44.0	44.0	warning	special_only 未命中特色规则
妇科病房	26	1611415	辅料缸-3/w6050	1	16.5	16.5	warning	special_only 未命中特色规则
妇科病房	27	1613087	消毒缸-3/W7050	1	16.5	16.5	warning	special_only 未命中特色规则
妇科病房	28	1613442	消毒缸-3/W7050	1	16.5	16.5	warning	special_only 未命中特色规则
妇科病房	29	1614016	刮勺-1/z7534	1	8.0	8.0	warning	special_only 未命中特色规则
妇科病房	30	1614016	活检钳-1/Z2032	1	13.0	13.0	warning	special_only 未命中特色规则
妇科病房	31	1614016	消毒缸-3/W7050	1	16.5	16.5	warning	special_only 未命中特色规则
妇科病房	32	1614216	病理剪-1/z1560	1	25.0	25.0	warning	special_only 未命中特色规则
妇科病房	33	1614216	病理钳（低温）-1/z1560	1	25.0	25.0	warning	special_only 未命中特色规则
妇科病房	34	1614216	宫腔镜，镜鞘-2件/（组合）双Z1555	1	44.0	44.0	warning	special_only 未命中特色规则
妇科病房	35	1614432	引产包-2件/Z2044	1	16.5	16.5	warning	special_only 未命中特色规则
妇科病房	36	1614435	抢救器械-3/z1526	1	16.5	16.5	warning	special_only 未命中特色规则
妇科病房	37	1614782	刮勺-1/z7534	1	8.0	8.0	warning	special_only 未命中特色规则
妇科病房	38	1614782	中弯-1/z1026	1	8.0	8.0	warning	special_only 未命中特色规则
妇科病房	39	1614964	病理钳（低温）-1/z1560	1	25.0	25.0	warning	special_only 未命中特色规则
妇科病房	40	1614964	宫腔镜镜头-1/双z1550	1	35.0	35.0	warning	special_only 未命中特色规则
妇科病房	41	1615149	刮宫包	1	115.5	115.5	warning	special_only 未命中特色规则
妇科病房	42	1615149	消毒缸-3/W7050	1	16.5	16.5	warning	special_only 未命中特色规则
妇科病房	43	1615477	刮勺-1/z7534	1	8.0	8.0	warning	special_only 未命中特色规则
妇科病房	44	1615626	病理剪-1/z1560	1	25.0	25.0	warning	special_only 未命中特色规则
妇科病房	45	1615626	病理钳（低温）-1/z1560	1	25.0	25.0	warning	special_only 未命中特色规则
妇科病房	46	1615626	宫腔镜，镜鞘-2件/（组合）双Z1555	1	44.0	44.0	warning	special_only 未命中特色规则
妇科病房	47	1616003	剖包-3/w6050	1	16.5	16.5	warning	special_only 未命中特色规则
妇科病房	48	1616003	消毒缸-3/W7050	1	16.5	16.5	warning	special_only 未命中特色规则
妇科病房	49	1616383	中弯-1/z1026	1	8.0	8.0	warning	special_only 未命中特色规则
妇科门诊	9	1608156	取环包	1	49.5	49.5	warning	special_only 未命中特色规则
妇科门诊	10	1608588	病理钳-1/z1535	1	11.0	11.0	warning	special_only 未命中特色规则
妇科门诊	11	1608588	宫颈钳-1/Z1535	1	11.0	11.0	warning	special_only 未命中特色规则
妇科门诊	12	1608588	取环包	1	49.5	49.5	warning	special_only 未命中特色规则
妇科门诊	13	1609665	取环包	2	49.5	49.5	warning	special_only 未命中特色规则
妇科门诊	14	1610680	人流包	1	60.5	60.5	warning	special_only 未命中特色规则
妇科门诊	15	1610680	病理钳（高温）-1/z1535	1	11.0	11.0	warning	special_only 未命中特色规则
妇科门诊	16	1610680	宫颈钳-1/Z1535	1	11.0	11.0	warning	special_only 未命中特色规则
妇科门诊	17	1610680	中弯-1/z1026	1	8.0	8.0	warning	special_only 未命中特色规则
妇科门诊	18	1610680	取环包	2	49.5	49.5	warning	special_only 未命中特色规则
妇科门诊	19	1610693	宫颈刮勺-1/z7537	1	8.0	8.0	warning	special_only 未命中特色规则
妇科门诊	20	1611039	取环包	1	49.5	49.5	warning	special_only 未命中特色规则
妇科门诊	21	1611784	取环器-1/z1535	1	11.0	11.0	warning	special_only 未命中特色规则
妇科门诊	22	1611784	止血钳-1/z1029	1	8.0	8.0	warning	special_only 未命中特色规则
妇科门诊	23	1611784	取环包	2	49.5	49.5	warning	special_only 未命中特色规则
妇科门诊	24	1613088	取环包	1	49.5	49.5	warning	special_only 未命中特色规则
妇科门诊	25	1613443	刮匙-1/z7530	2	8.0	8.0	warning	special_only 未命中特色规则
妇科门诊	26	1613443	取环器-1/z1535	1	11.0	11.0	warning	special_only 未命中特色规则
妇科门诊	27	1613443	吸头5号-1/Z7530	1	8.0	8.0	warning	special_only 未命中特色规则
妇科门诊	28	1613443	取环包	2	49.5	49.5	warning	special_only 未命中特色规则
妇科门诊	29	1613443	清宫包-4/w6050	1	22.0	22.0	warning	special_only 未命中特色规则
妇科门诊	30	1614017	病理钳（高温）-1/z1535	1	11.0	11.0	warning	special_only 未命中特色规则
妇科门诊	31	1614017	宫颈刮勺-1/z7537	1	8.0	8.0	warning	special_only 未命中特色规则
妇科门诊	32	1614017	取环包	1	49.5	49.5	warning	special_only 未命中特色规则
妇科门诊	33	1614118	取环包	1	49.5	49.5	warning	special_only 未命中特色规则
妇科门诊	34	1614433	人流包	1	60.5	60.5	warning	special_only 未命中特色规则
妇科门诊	35	1614433	取环器-1/z1535	1	11.0	11.0	warning	special_only 未命中特色规则
妇科门诊	36	1614433	止血钳-1/z1029	1	8.0	8.0	warning	special_only 未命中特色规则
妇科门诊	37	1614433	取环包	2	49.5	49.5	warning	special_only 未命中特色规则
妇科门诊	38	1614783	取环包	1	49.5	49.5	warning	special_only 未命中特色规则
妇科门诊	39	1615478	取环包	1	49.5	49.5	warning	special_only 未命中特色规则
妇科门诊	40	1616384	人流包	1	60.5	60.5	warning	special_only 未命中特色规则
妇科门诊	41	1616384	取环包	2	49.5	49.5	warning	special_only 未命中特色规则
妇科门诊	42	1616384	上环包	1	44.0	44.0	warning	special_only 未命中特色规则
导管室	12	1608918	缝合包。	2	38.5	38.5	warning	special_only 未命中特色规则
导管室	13	1609315	缝合包。	1	38.5	38.5	warning	special_only 未命中特色规则
