月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
1月,妇科病房,缺失行,止血钳-1/z1029,1574303,整行,1.0/8.0/8.0,,50,,
1月,妇科病房,缺失行,消毒缸-3/W7050,1574303,整行,1.0/16.5/16.5,,51,,
1月,妇科病房,缺失行,病理钳-1/z1560,1574629,整行,1.0/25.0/25.0,,52,,
1月,妇科病房,缺失行,宫腔镜，镜鞘-2件/（组合）双Z1555,1574629,整行,1.0/44.0/44.0,,53,,
1月,妇科病房,缺失行,刮勺-1/z7534,1574645,整行,1.0/8.0/8.0,,54,,
1月,妇科病房,缺失行,卵圆钳-1/Z1535,1574645,整行,1.0/11.0/11.0,,55,,
1月,妇科病房,缺失行,消毒缸-3/W7050,1574645,整行,1.0/16.5/16.5,,56,,
1月,妇科病房,缺失行,产钳-1件（单侧）/w7050,1575026,整行,1.0/16.5/16.5,,57,,
1月,妇科病房,缺失行,钢丝-1/z1526,1575048,整行,1.0/11.0/11.0,,58,,
1月,妇科病房,缺失行,成人面罩-1/Z2030,1575189,整行,1.0/28.0/28.0,,59,,
1月,妇科病房,缺失行,胎头吸引器-1/Z2060,1575189,整行,1.0/28.0/28.0,,60,,
1月,妇科病房,汇总不一致-总价,妇科病房,,总价,1296.5,1084.0,8,8,
1月,妇科门诊,缺失行,止血钳-1/z1029,1574304,整行,2.0/8.0/16.0,,37,,
1月,妇科门诊,缺失行,取环包,1574304,整行,3.0/49.5/148.5,,38,,
1月,妇科门诊,缺失行,取环包,1574646,整行,1.0/49.5/49.5,,39,,
1月,妇科门诊,汇总不一致-总价,妇科门诊,,总价,1713.5,1499.5,8,8,
1月,导管室,缺失行,缝合包。,1574644,整行,1.0/38.5/38.5,,16,,
1月,导管室,汇总不一致-总价,导管室,,总价,269.5,231.0,11,10,
1月,康复科,缺失行,内热针-10/z7526,1573984,整行,3.0/13.5/40.5,,36,,
1月,康复科,缺失行,内热针-15/z7526,1573984,整行,5.0/16.5/82.5,,37,,
1月,康复科,缺失行,止血钳-1/z1029,1573984,整行,3.0/8.0/24.0,,38,,
1月,康复科,缺失行,射频电极-1（盒1）/z2542,1574026,整行,1.0/30.0/30.0,,39,,
1月,康复科,缺失行,内热针-10/z7526,1575027,整行,5.0/13.5/67.5,,40,,
1月,康复科,缺失行,内热针-15/z7526,1575027,整行,4.0/16.5/66.0,,41,,
1月,康复科,缺失行,射频电极-1（盒1）/z2542,1575190,整行,1.0/30.0/30.0,,42,,
1月,康复科,汇总不一致-总价,康复科,,总价,1621.0,1280.5,8,8,
