月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
1月,妇科,缺失行,取环包/(90布),1573595,整行,12.0/49.5/594.0,,14,,
1月,妇科,汇总不一致-总价,妇科,,总价,1100.0,506.0,11,10,
1月,胃肠镜室,缺失行,中单/W9050,1575033,整行,5.0/30.0/150.0,,12,,
1月,胃肠镜室,汇总不一致-总价,胃肠镜室,,总价,510.0,360.0,8,8,
2月,妇科,多余行,取环包/(90布),1573595,整行,,12.0/49.5/594.0,,11,
2月,妇科,汇总不一致-总价,妇科,,总价,495.0,1089.0,11,10,
2月,胃肠镜室,多余行,中单/W9050,1575033,整行,,5.0/30.0/150.0,,9,
2月,胃肠镜室,汇总不一致-总价,胃肠镜室,,总价,300.0,450.0,8,8,
3月,胃肠镜室,缺失行,中单/W9050,1589847,整行,5.0/30.0/150.0,,12,,
3月,胃肠镜室,汇总不一致-总价,胃肠镜室,,总价,540.0,390.0,8,8,
4月,胃肠镜室,多余行,中单/W9050,1589847,整行,,5.0/30.0/150.0,,9,
4月,胃肠镜室,汇总不一致-总价,胃肠镜室,,总价,570.0,720.0,8,8,
5月,外科,缺失行,刀柄-1/Z7526,1607614,整行,4.0/8.0/32.0,,21,,
5月,外科,缺失行,剪刀1持针器1弯钳1/Z1535,1607614,整行,13.0/16.5/214.5,,22,,
5月,外科,缺失行,内热针（长）-15/Z7526,1607614,整行,1.0/16.5/16.5,,23,,
5月,外科,缺失行,内热针(长)-20/Z7534,1607614,整行,2.0/22.0/44.0,,24,,
5月,外科,缺失行,内热针(中)-15/Z7526,1607614,整行,1.0/16.5/16.5,,25,,
5月,外科,缺失行,止血钳-1/Z1029,1607614,整行,6.0/8.0/48.0,,26,,
5月,外科,汇总不一致-总价,外科,,总价,1065.0,693.5,8,8,
5月,胃肠镜室,缺失行,中单/W9050,1607615,整行,3.0/30.0/90.0,,12,,
5月,胃肠镜室,汇总不一致-总价,胃肠镜室,,总价,570.0,480.0,8,8,
6月,外科,缺失行,刀柄-1/Z7526,1615481,整行,4.0/8.0/32.0,,11,,
6月,外科,缺失行,剪刀1持针器1弯钳1/Z1535,1615481,整行,14.0/16.5/231.0,,12,,
6月,外科,缺失行,内热针（长）-15/Z7526,1615481,整行,1.0/16.5/16.5,,13,,
6月,外科,缺失行,内热针(长)-20/Z7534,1615481,整行,1.0/22.0/22.0,,14,,
6月,外科,缺失行,止血钳-1/Z1029,1615481,整行,1.0/8.0/8.0,,15,,
6月,外科,多余行,刀柄-1/Z7526,1607614,整行,,4.0/8.0/32.0,,9,
6月,外科,多余行,剪刀1持针器1弯钳1/Z1535,1607614,整行,,13.0/16.5/214.5,,10,
6月,外科,多余行,内热针（长）-15/Z7526,1607614,整行,,1.0/16.5/16.5,,11,
6月,外科,多余行,内热针(长)-20/Z7534,1607614,整行,,2.0/22.0/44.0,,12,
6月,外科,多余行,内热针(中)-15/Z7526,1607614,整行,,1.0/16.5/16.5,,13,
6月,外科,多余行,止血钳-1/Z1029,1607614,整行,,6.0/8.0/48.0,,14,
6月,外科,汇总不一致-总价,外科,,总价,565.0,627.0,8,8,
6月,胃肠镜室,缺失行,中单/W9050,1615482,整行,5.0/30.0/150.0,,10,,
6月,胃肠镜室,多余行,中单/W9050,1607615,整行,,3.0/30.0/90.0,,9,
6月,胃肠镜室,汇总不一致-总价,胃肠镜室,,总价,300.0,240.0,8,8,
