月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
1月,外科,缺失行,缝合包,1573594,整行,2.0/38.5/77.0,,25,,
1月,外科,缺失行,止血钳-1剪刀-1/Z1526,1574309,整行,1.0/16.5/16.5,,26,,
1月,外科,缺失行,缝合包,1574309,整行,3.0/38.5/115.5,,27,,
1月,外科,缺失行,无菌缸-3/W7050,1574309,整行,1.0/16.5/16.5,,28,,
1月,外科,缺失行,棉球（棉布）,1575032,整行,1.0/2.5/2.5,,29,,
1月,外科,缺失行,纱条（棉布）,1575032,整行,1.0/2.5/2.5,,30,,
1月,外科,缺失行,缝合包,1575032,整行,1.0/38.5/38.5,,31,,
1月,外科,汇总不一致-总价,外科,,总价,1244.0,975.0,8,8,
1月,妇产科,缺失行,病理包-2/Z1530,1574307,整行,1.0/16.5/16.5,,18,,
1月,妇产科,缺失行,止血钳-1/Z1029,1574307,整行,1.0/8.0/8.0,,19,,
1月,妇产科,缺失行,取环包-6/W6050,1574307,整行,2.0/33.0/66.0,,20,,
1月,妇产科,汇总不一致-总价,妇产科,,总价,312.0,221.5,11,10,
1月,手术室,缺失行,肛门包,1574308,整行,1.0/104.5/104.5,,53,,
1月,手术室,缺失行,门诊包,1574308,整行,1.0/137.5/137.5,,54,,
1月,手术室,缺失行,克氏钳-1/z1029,1574308,整行,1.0/8.0/8.0,,55,,
1月,手术室,缺失行,持物钳罐-2/W6050,1574308,整行,2.0/16.5/33.0,,56,,
1月,手术室,缺失行,手科-11/W6050,1574308,整行,1.0/60.5/60.5,,57,,
1月,手术室,汇总不一致-总价,手术室,,总价,3230.5,2887.0,8,8,
2月,外科,缺失行,缝合包,1580739,整行,3.0/38.5/115.5,,29,,
2月,外科,多余行,缝合包,1573594,整行,,2.0/38.5/77.0,,9,
2月,外科,多余行,止血钳-1剪刀-1/Z1526,1574309,整行,,1.0/16.5/16.5,,10,
2月,外科,多余行,缝合包,1574309,整行,,3.0/38.5/115.5,,11,
2月,外科,多余行,无菌缸-3/W7050,1574309,整行,,1.0/16.5/16.5,,12,
2月,外科,多余行,棉球（棉布）,1575032,整行,,1.0/2.5/2.5,,13,
2月,外科,多余行,纱条（棉布）,1575032,整行,,1.0/2.5/2.5,,14,
2月,外科,多余行,缝合包,1575032,整行,,1.0/38.5/38.5,,15,
2月,外科,汇总不一致-总价,外科,,总价,834.0,987.5,8,8,
