科室,原始行,发货单号,包名,包数,原单价,处理后单价,原总价,处理后总价,说明
妇科门诊,13,1602772,剪刀1窥器1宫颈钳1/z2044,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,15,1602772,取环器-1/z1535,2.0,8.25,8.3,16.5,16.6,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
妇科门诊,16,1602772,探针1窥器1宫颈钳1/z2044,5.0,12.375,8.91,61.875,44.55,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,18,1603543,活检钳1宫颈钳1镊子1/z2032,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,20,1603543,剪刀1窥器1宫颈钳1/z2044,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,21,1603543,卵圆钳-1/z1535,1.0,8.25,8.3,8.25,8.3,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
妇科门诊,23,1603543,取环器-1/z1535,1.0,8.25,8.3,8.25,8.3,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
妇科门诊,24,1603543,探针1窥器1宫颈钳1/z2044,8.0,12.375,8.91,99.0,71.28,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,25,1603543,吸头5号.6号.7号-3件/z7534,2.0,12.375,8.91,24.75,17.82,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,26,1603543,吸头6号.7号.8号-3件/z7534,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,29,1603713,取环钳（低温）-1件/z1560,1.0,18.75,18.8,18.75,18.8,原始按器械数×基础单价(18.75)计费；处理后按标准价(18.8)计费
妇科门诊,30,1603713,水管-1/Z3040,1.0,26.25,26.3,26.25,26.3,原始按器械数×基础单价(26.25)计费；处理后按标准价(26.3)计费
妇科门诊,33,1604078,宫颈钳-1/z1535,1.0,8.25,8.3,8.25,8.3,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
妇科门诊,38,1604078,探针1窥器1宫颈钳1/z2044,6.0,12.375,8.91,74.25,53.46,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,39,1604078,吸头5号.6号.7号-3件/z7534,4.0,12.375,8.91,49.5,35.64,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,41,1604800,活检钳1宫颈钳1镊子1/z2032,2.0,12.375,8.91,24.75,17.82,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,42,1604800,剪刀1持针器1钩镊1/z1530,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,44,1604800,取环器-1/z1535,2.0,8.25,8.3,16.5,16.6,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
妇科门诊,45,1604800,探针1窥器1宫颈钳1/z2044,5.0,12.375,8.91,61.875,44.55,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,47,1604828,探针1窥器1宫颈钳1/z2044,5.0,12.375,8.91,61.875,44.55,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,48,1605626,拆线剪1止血钳1/Z1530,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,49,1605626,剪刀1窥器1宫颈钳1/z2044,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,52,1605626,探针1窥器1宫颈钳1/z2044,5.0,12.375,8.91,61.875,44.55,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
