月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
1月,妇科门诊,字段不一致-单价,取环器-1/z1535,1571178,单价,8.25,8.3,13,12,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
1月,妇科门诊,字段不一致-总价,取环器-1/z1535,1571178,总价,16.5,16.6,13,12,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
1月,妇科门诊,字段不一致-单价,探针1窥器1宫颈钳1/z2044,1571178,单价,12.375,8.91,14,13,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,探针1窥器1宫颈钳1/z2044,1571178,总价,61.875,44.55,14,13,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,吸头5号6号7号-3件/z7534,1571178,单价,12.375,8.91,15,14,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,吸头5号6号7号-3件/z7534,1571178,总价,12.375,8.91,15,14,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,窥器-1/Z1526,1571350,单价,18.75,18.8,17,16,原始按器械数×基础单价(18.75)计费；处理后按标准价(18.8)计费
1月,妇科门诊,字段不一致-总价,窥器-1/Z1526,1571350,总价,18.75,18.8,17,16,原始按器械数×基础单价(18.75)计费；处理后按标准价(18.8)计费
1月,妇科门诊,字段不一致-单价,取环钳（低温）-1件/z1560,1571675,单价,18.75,18.8,18,17,原始按器械数×基础单价(18.75)计费；处理后按标准价(18.8)计费
1月,妇科门诊,字段不一致-总价,取环钳（低温）-1件/z1560,1571675,总价,18.75,18.8,18,17,原始按器械数×基础单价(18.75)计费；处理后按标准价(18.8)计费
1月,妇科门诊,字段不一致-单价,水管-1/Z3040,1571675,单价,26.25,26.3,19,18,原始按器械数×基础单价(26.25)计费；处理后按标准价(26.3)计费
1月,妇科门诊,字段不一致-总价,水管-1/Z3040,1571675,总价,52.5,52.6,19,18,原始按器械数×基础单价(26.25)计费；处理后按标准价(26.3)计费
1月,妇科门诊,字段不一致-单价,拆线剪1止血钳1/Z1530,1571719,单价,12.375,8.91,20,19,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,拆线剪1止血钳1/Z1530,1571719,总价,12.375,8.91,20,19,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,活检钳1宫颈钳1镊子1/z2032,1571719,单价,12.375,8.91,22,21,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,活检钳1宫颈钳1镊子1/z2032,1571719,总价,12.375,8.91,22,21,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,剪刀1窥器1宫颈钳1/z2044,1571719,单价,12.375,8.91,24,23,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,剪刀1窥器1宫颈钳1/z2044,1571719,总价,12.375,8.91,24,23,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,拉钩2宫颈钳1/z2032,1571719,单价,12.375,8.91,25,24,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,拉钩2宫颈钳1/z2032,1571719,总价,12.375,8.91,25,24,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,取环器-1/z1535,1571719,单价,8.25,8.3,26,25,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
1月,妇科门诊,字段不一致-总价,取环器-1/z1535,1571719,总价,16.5,16.6,26,25,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
1月,妇科门诊,字段不一致-单价,探针1窥器1宫颈钳1/z2044,1571719,单价,12.375,8.91,27,26,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,探针1窥器1宫颈钳1/z2044,1571719,总价,74.25,53.46,27,26,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,吸头5号6号7号-3件/z7534,1571719,单价,12.375,8.91,28,27,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,吸头5号6号7号-3件/z7534,1571719,总价,37.125,26.73,28,27,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,吸头6号.7号.8号-3件/z7534,1571719,单价,12.375,8.91,29,28,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,吸头6号.7号.8号-3件/z7534,1571719,总价,12.375,8.91,29,28,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,剪刀1窥器1宫颈钳1/z2044,1572474,单价,12.375,8.91,32,31,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,剪刀1窥器1宫颈钳1/z2044,1572474,总价,12.375,8.91,32,31,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,取环器-1/z1535,1572474,单价,8.25,8.3,34,33,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
1月,妇科门诊,字段不一致-总价,取环器-1/z1535,1572474,总价,8.25,8.3,34,33,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
1月,妇科门诊,字段不一致-单价,探针1窥器1宫颈钳1/z2044,1572474,单价,12.375,8.91,35,34,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,探针1窥器1宫颈钳1/z2044,1572474,总价,49.5,35.64,35,34,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,吸头5号6号7号-3件/z7534,1572474,单价,12.375,8.91,36,35,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,吸头5号6号7号-3件/z7534,1572474,总价,24.75,17.82,36,35,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,止血钳1扩棒1取环勾1/Z1537,1572474,单价,12.375,8.91,37,36,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,止血钳1扩棒1取环勾1/Z1537,1572474,总价,12.375,8.91,37,36,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,活检钳1宫颈钳1镊子1/z2032,1573149,单价,12.375,8.91,38,37,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,活检钳1宫颈钳1镊子1/z2032,1573149,总价,12.375,8.91,38,37,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,窥器-1/Z1526,1573149,单价,8.25,8.3,39,38,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
1月,妇科门诊,字段不一致-总价,窥器-1/Z1526,1573149,总价,8.25,8.3,39,38,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
1月,妇科门诊,字段不一致-单价,取环器-1/z1535,1573149,单价,8.25,8.3,41,40,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
1月,妇科门诊,字段不一致-总价,取环器-1/z1535,1573149,总价,24.75,24.9,41,40,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
1月,妇科门诊,字段不一致-单价,舌钳1开口器1/z1526,1573149,单价,12.375,8.91,42,41,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,舌钳1开口器1/z1526,1573149,总价,12.375,8.91,42,41,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,探针1窥器1宫颈钳1/z2044,1573149,单价,12.375,8.91,43,42,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,探针1窥器1宫颈钳1/z2044,1573149,总价,49.5,35.64,43,42,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,剪刀1窥器1宫颈钳1/z2044,1573600,单价,12.375,8.91,47,46,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,剪刀1窥器1宫颈钳1/z2044,1573600,总价,12.375,8.91,47,46,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,取环器-1/z1535,1573600,单价,8.25,8.3,49,48,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
1月,妇科门诊,字段不一致-总价,取环器-1/z1535,1573600,总价,8.25,8.3,49,48,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
1月,妇科门诊,字段不一致-单价,探针1窥器1宫颈钳1/z2044,1573600,单价,12.375,8.91,50,49,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,探针1窥器1宫颈钳1/z2044,1573600,总价,49.5,35.64,50,49,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,吸头5号.6号.7号-3件/z7534,1573600,单价,12.375,8.91,51,50,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,吸头5号.6号.7号-3件/z7534,1573600,总价,12.375,8.91,51,50,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,吸头6号.7号.8号-3件/z7534,1573600,单价,12.375,8.91,52,51,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,吸头6号.7号.8号-3件/z7534,1573600,总价,12.375,8.91,52,51,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,宫颈钳-1/z1535,1574310,单价,8.25,8.3,54,53,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
1月,妇科门诊,字段不一致-总价,宫颈钳-1/z1535,1574310,总价,16.5,16.6,54,53,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
1月,妇科门诊,字段不一致-单价,扩棒6.5  7.5  8.5-3件/Z1026,1574310,单价,12.375,8.91,55,54,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,扩棒6.5  7.5  8.5-3件/Z1026,1574310,总价,12.375,8.91,55,54,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,取环器-1/z1535,1574310,单价,8.25,8.3,57,56,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
1月,妇科门诊,字段不一致-总价,取环器-1/z1535,1574310,总价,16.5,16.6,57,56,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
1月,妇科门诊,字段不一致-单价,探针1窥器1宫颈钳1/z2044,1574310,单价,12.375,8.91,58,57,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,探针1窥器1宫颈钳1/z2044,1574310,总价,86.625,62.37,58,57,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,吸头5号6号7号-3件/z7534,1574310,单价,12.375,8.91,59,58,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,吸头5号6号7号-3件/z7534,1574310,总价,12.375,8.91,59,58,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,窥器-1/Z1526,1574473,单价,18.75,18.8,62,61,原始按器械数×基础单价(18.75)计费；处理后按标准价(18.8)计费
1月,妇科门诊,字段不一致-总价,窥器-1/Z1526,1574473,总价,18.75,18.8,62,61,原始按器械数×基础单价(18.75)计费；处理后按标准价(18.8)计费
1月,妇科门诊,字段不一致-单价,取环钳（低温）-1件/z1560,1574473,单价,18.75,18.8,64,63,原始按器械数×基础单价(18.75)计费；处理后按标准价(18.8)计费
1月,妇科门诊,字段不一致-总价,取环钳（低温）-1件/z1560,1574473,总价,18.75,18.8,64,63,原始按器械数×基础单价(18.75)计费；处理后按标准价(18.8)计费
1月,妇科门诊,字段不一致-单价,水管-1/Z3040,1574473,单价,26.25,26.3,65,64,原始按器械数×基础单价(26.25)计费；处理后按标准价(26.3)计费
1月,妇科门诊,字段不一致-总价,水管-1/Z3040,1574473,总价,26.25,26.3,65,64,原始按器械数×基础单价(26.25)计费；处理后按标准价(26.3)计费
1月,妇科门诊,字段不一致-单价,持针器1剪刀1止血钳1/Z1530,1575526,单价,12.375,8.91,68,67,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,持针器1剪刀1止血钳1/Z1530,1575526,总价,12.375,8.91,68,67,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,剪刀1窥器1宫颈钳1/z2044,1575526,单价,12.375,8.91,69,68,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,剪刀1窥器1宫颈钳1/z2044,1575526,总价,24.75,17.82,69,68,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,扩棒6.5  7.5  8.5-3件/Z1026,1575526,单价,12.375,8.91,70,69,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,扩棒6.5  7.5  8.5-3件/Z1026,1575526,总价,12.375,8.91,70,69,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,拉钩2宫颈钳1/z2032,1575526,单价,12.375,8.91,71,70,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,拉钩2宫颈钳1/z2032,1575526,总价,24.75,17.82,71,70,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,取环器-1/z1535,1575526,单价,8.25,8.3,73,72,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
1月,妇科门诊,字段不一致-总价,取环器-1/z1535,1575526,总价,33.0,33.2,73,72,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
1月,妇科门诊,字段不一致-单价,探针1窥器1宫颈钳1/z2044,1575526,单价,12.375,8.91,74,73,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,探针1窥器1宫颈钳1/z2044,1575526,总价,86.625,62.37,74,73,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,吸头5号.6号.7号-3件/z7534,1575526,单价,12.375,8.91,75,74,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-总价,吸头5号.6号.7号-3件/z7534,1575526,总价,24.75,17.82,75,74,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
1月,妇科门诊,字段不一致-单价,活检钳（低温）-1件/Z1535,1575554,单价,18.75,18.8,77,76,原始按器械数×基础单价(18.75)计费；处理后按标准价(18.8)计费
