sheet	row	orderNo	packName	packCount	unitPrice	ruleUnit	status	pricingRule
口腔	9	1611055	拔牙钳-1/Z1029	7	8.0	8.0	warning	special_only 未命中特色规则
口腔	10	1611055	拔牙铤-1/Z7526	13	8.0	8.0	warning	special_only 未命中特色规则
口腔	11	1611055	洁牙机手柄-1/Z7526	1	8.0	8.0	warning	special_only 未命中特色规则
口腔	12	1611055	手机-1/Z7526	5	8.0	8.0	warning	special_only 未命中特色规则
口腔	13	1614030	拔牙钳-1/Z1029	8	8.0	8.0	warning	special_only 未命中特色规则
口腔	14	1614030	拔牙铤-1/Z7526	3	8.0	8.0	warning	special_only 未命中特色规则
口腔	15	1614127	手机-1/Z7526	4	8.0	8.0	warning	special_only 未命中特色规则
口腔	16	1614793	拔牙钳-1/Z1029	3	8.0	8.0	warning	special_only 未命中特色规则
口腔	17	1614793	拔牙铤-1/Z7526	3	8.0	8.0	warning	special_only 未命中特色规则
口腔	18	1614821	洁牙机手柄-1/Z7526	2	8.0	8.0	warning	special_only 未命中特色规则
口腔	19	1614821	手机-1/Z7526	5	8.0	8.0	warning	special_only 未命中特色规则
外科	9	1608126	外科器械盘	2	44.0	44.0	warning	special_only 未命中特色规则
外科	10	1608126	镊子-3/Z1035	1	16.5	16.5	warning	special_only 未命中特色规则
外科	11	1608181	外科门诊器械包	1	44.0	44.0	warning	special_only 未命中特色规则
外科	12	1608181	外科器械盘	1	44.0	44.0	warning	special_only 未命中特色规则
外科	13	1608181	缝合包-8件	3	44.0	44.0	warning	special_only 未命中特色规则
外科	14	1608251	棉球/Z2032	4	4.0	4.0	warning	敷料包(纸塑袋)+棉球——未识别规格
外科	15	1608926	外科门诊器械包	5	44.0	44.0	warning	special_only 未命中特色规则
外科	16	1608926	外科器械盘	3	44.0	44.0	warning	special_only 未命中特色规则
外科	17	1608926	缝合包-8件	5	44.0	44.0	warning	special_only 未命中特色规则
外科	18	1609691	棉球/Z2032	4	4.0	4.0	warning	敷料包(纸塑袋)+棉球——未识别规格
外科	19	1610715	外科门诊器械包	4	44.0	44.0	warning	special_only 未命中特色规则
外科	20	1610715	外科器械盘	4	44.0	44.0	warning	special_only 未命中特色规则
外科	21	1610715	镊子-1/Z7530	1	8.0	8.0	warning	special_only 未命中特色规则
外科	22	1610715	缝合包-8件	3	44.0	44.0	warning	special_only 未命中特色规则
外科	23	1611428	外科门诊器械包	1	44.0	44.0	warning	special_only 未命中特色规则
外科	24	1611428	外科器械盘	2	44.0	44.0	warning	special_only 未命中特色规则
外科	25	1611428	缝合包-8件	2	44.0	44.0	warning	special_only 未命中特色规则
外科	26	1612303	棉球/Z2032	9	4.0	4.0	warning	敷料包(纸塑袋)+棉球——未识别规格
外科	27	1613113	外科门诊器械包	4	44.0	44.0	warning	special_only 未命中特色规则
外科	28	1613113	外科器械盘	2	44.0	44.0	warning	special_only 未命中特色规则
外科	29	1613113	缝合包-8件	2	44.0	44.0	warning	special_only 未命中特色规则
外科	30	1614031	外科门诊器械包	2	44.0	44.0	warning	special_only 未命中特色规则
外科	31	1614031	外科器械盘	4	44.0	44.0	warning	special_only 未命中特色规则
外科	32	1614031	镊子缸-2/Z2044	1	16.5	16.5	warning	special_only 未命中特色规则
外科	33	1614031	缝合包-8件	4	44.0	44.0	warning	special_only 未命中特色规则
外科	34	1614031	镊子缸（3件）/W6050	1	16.5	16.5	warning	special_only 未命中特色规则
外科	35	1614795	外科门诊器械包	3	44.0	44.0	warning	special_only 未命中特色规则
外科	36	1614795	外科器械盘	2	44.0	44.0	warning	special_only 未命中特色规则
外科	37	1614795	缝合包-8件	3	44.0	44.0	warning	special_only 未命中特色规则
外科	38	1615964	外科门诊器械包	2	44.0	44.0	warning	special_only 未命中特色规则
外科	39	1615964	外科器械盘	3	44.0	44.0	warning	special_only 未命中特色规则
外科	40	1615964	缝合包-8件	3	44.0	44.0	warning	special_only 未命中特色规则
妇产科	12	1608594	宫颈钳-1/Z1535	1	11.0	11.0	warning	special_only 未命中特色规则
妇产科	13	1608594	剪刀（高温）-1/Z1026	1	8.0	8.0	warning	special_only 未命中特色规则
妇产科	14	1608594	平镊-1/Z7534	1	8.0	8.0	warning	special_only 未命中特色规则
妇产科	15	1608594	吸头5号-1/Z734	1	8.0	8.0	warning	special_only 未命中特色规则
妇产科	16	1608594	中弯-1/Z1029	1	8.0	8.0	warning	special_only 未命中特色规则
妇产科	17	1608594	人流包-7件	1	44.0	44.0	warning	special_only 未命中特色规则
妇产科	18	1608594	取环包-4/W6050	1	22.0	22.0	warning	special_only 未命中特色规则
妇产科	19	1609324	5号扩棒-1/Z7526	1	8.0	8.0	warning	special_only 未命中特色规则
妇产科	20	1609324	8号扩棒-1/Z7526	1	8.0	8.0	warning	special_only 未命中特色规则
妇产科	21	1609324	穿刺针-1/Z7520	1	8.0	8.0	warning	special_only 未命中特色规则
妇产科	22	1609324	扩棒（ 4 4.5 5 5.5）-4/Z1026	1	22.0	22.0	warning	special_only 未命中特色规则
妇产科	23	1609324	扩棒（6.5 7.5）-2件/z7526	1	13.5	13.5	warning	special_only 未命中特色规则
妇产科	24	1609324	扩棒6.5-1/Z7526	1	8.0	8.0	warning	special_only 未命中特色规则
妇产科	25	1609324	镊子-1/Z7530	2	8.0	8.0	warning	special_only 未命中特色规则
妇产科	26	1609324	中弯-1/Z1029	1	8.0	8.0	warning	special_only 未命中特色规则
妇产科	27	1609324	人流包-7件	2	44.0	44.0	warning	special_only 未命中特色规则
妇产科	28	1609324	带环包-4/W6050	1	22.0	22.0	warning	special_only 未命中特色规则
妇产科	29	1609324	取环包-5件/W6050	1	27.5	27.5	warning	special_only 未命中特色规则
妇产科	30	1609507	Leep刀头-1/Z7526	3	22.0	22.0	warning	special_only 未命中特色规则
妇产科	31	1610061	带环包-4件/W6050	3	22.0	22.0	warning	special_only 未命中特色规则
妇产科	32	1610061	取环包-5件/W6050	2	27.5	27.5	warning	special_only 未命中特色规则
妇产科	33	1610713	产包-7件	1	38.5	38.5	warning	special_only 未命中特色规则
妇产科	34	1610713	穿刺针-1/Z7520	1	8.0	8.0	warning	special_only 未命中特色规则
妇产科	35	1610713	卵圆钳-1/Z1535	1	11.0	11.0	warning	special_only 未命中特色规则
妇产科	36	1610713	人流包-7件	1	44.0	44.0	warning	special_only 未命中特色规则
妇产科	37	1610713	取环包-5件/W6050	2	27.5	27.5	warning	special_only 未命中特色规则
妇产科	38	1613783	产包-7件	1	38.5	38.5	warning	special_only 未命中特色规则
妇产科	39	1613783	宫颈钳-1/Z1535	2	11.0	11.0	warning	special_only 未命中特色规则
妇产科	40	1613783	剪刀（高温）-1/Z1026	1	8.0	8.0	warning	special_only 未命中特色规则
妇产科	41	1613783	扩棒（3.5 4 4.5 5 5.5 6） -6/Z1026	1	33.0	33.0	warning	special_only 未命中特色规则
妇产科	42	1613783	扩棒-2件/Z7526	1	13.5	13.5	warning	special_only 未命中特色规则
妇产科	43	1613783	扩棒3.5号-1/Z7526	1	8.0	8.0	warning	special_only 未命中特色规则
妇产科	44	1613783	扩棒6.5-1/Z7526	1	8.0	8.0	warning	special_only 未命中特色规则
妇产科	45	1613783	镊子-1/Z7530	3	8.0	8.0	warning	special_only 未命中特色规则
妇产科	46	1613783	取环器-1/Z1035	2	8.0	8.0	warning	special_only 未命中特色规则
妇产科	47	1613783	中弯-1/Z1029	4	8.0	8.0	warning	special_only 未命中特色规则
妇产科	48	1613783	人流包-7件	2	44.0	44.0	warning	special_only 未命中特色规则
妇产科	49	1613783	取环包-5件/W6050	5	27.5	27.5	warning	special_only 未命中特色规则
妇产科	50	1613783	带线棉球/Z1526	5	2.5	2.5	warning	敷料包(纸塑袋)+棉球——未识别规格
妇产科	51	1613783	棉球/Z2032	10	4.0	4.0	warning	敷料包(纸塑袋)+棉球——未识别规格
妇产科	52	1614414	带环包-4件/W6050	4	22.0	22.0	warning	special_only 未命中特色规则
妇产科	53	1614414	取环包-5件/W6050	3	27.5	27.5	warning	special_only 未命中特色规则
妇产科	54	1614461	活检钳1镊子1/Z2032	1	16.5	16.5	warning	special_only 未命中特色规则
妇产科	55	1614461	扩棒（3.5 4 4.5 5）-4Z1026	1	22.0	22.0	warning	special_only 未命中特色规则
妇产科	56	1614461	镊子-1/Z7530	3	8.0	8.0	warning	special_only 未命中特色规则
妇产科	57	1616391	产包-7件	1	38.5	38.5	warning	special_only 未命中特色规则
妇产科	58	1616391	人流包-7件	2	44.0	44.0	warning	special_only 未命中特色规则
妇产科	59	1616391	带环包-4件/W6050	2	22.0	22.0	warning	special_only 未命中特色规则
妇产科	60	1616391	清宫包-6/W6050	1	33.0	33.0	warning	special_only 未命中特色规则
手术室	9	1608180	甲状腺包	1	126.5	126.5	warning	special_only 未命中特色规则
手术室	10	1608180	肛肠包-4/W6050	1	22.0	22.0	warning	special_only 未命中特色规则
手术室	11	1608180	盆2，盘1/W7050	1	16.5	16.5	warning	special_only 未命中特色规则
手术室	12	1608180	外科包-10/W6050	3	55.0	55.0	warning	special_only 未命中特色规则
手术室	13	1608280	电切器械包	1	82.5	82.5	warning	special_only 未命中特色规则
手术室	14	1608364	闭合夹-1/Z2060	1	28.0	28.0	warning	special_only 未命中特色规则
手术室	15	1608364	穿刺器（5MM,10MM）-2/Z1532	1	44.0	44.0	warning	special_only 未命中特色规则
手术室	16	1608364	电切镜器材-4/Z2045	1	88.0	88.0	warning	special_only 未命中特色规则
手术室	17	1608364	电切线-1/Z3040	1	35.0	35.0	warning	special_only 未命中特色规则
手术室	18	1608364	腹腔镜器械-6/Z2060	1	110.0	110.0	warning	special_only 未命中特色规则
