月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
1月,全部科室(汇总对比),字段不一致-单价,30度镜头-1/双/Z1550,1569205,单价,47.5,35.0,93,33,原始按器械数×基础单价(47.5)计费；处理后按标准价(35)计费
1月,全部科室(汇总对比),字段不一致-总价,30度镜头-1/双/Z1550,1569205,总价,47.5,35.0,93,33,原始按器械数×基础单价(47.5)计费；处理后按标准价(35)计费
1月,全部科室(汇总对比),字段不一致-单价,30度镜头-1/双/Z1550,1570639,单价,47.5,35.0,127,40,原始按器械数×基础单价(47.5)计费；处理后按标准价(35)计费
1月,全部科室(汇总对比),字段不一致-总价,30度镜头-1/双/Z1550,1570639,总价,95.0,70.0,127,40,原始按器械数×基础单价(47.5)计费；处理后按标准价(35)计费
1月,全部科室(汇总对比),字段不一致-单价,封帽-3/Z7520,1570808,单价,44.0,25.0,139,52,原始按器械数×基础单价(44)计费；处理后按标准价(25)计费
1月,全部科室(汇总对比),字段不一致-总价,封帽-3/Z7520,1570808,总价,88.0,50.0,139,52,原始按器械数×基础单价(44)计费；处理后按标准价(25)计费
1月,全部科室(汇总对比),缺失行,闭合夹-1/Z2060,1571865,整行,3.0/28.0/84.0,,178,,
1月,全部科室(汇总对比),缺失行,穿刺器（5mm）-1/Z1530,1571865,整行,1.0/25.0/25.0,,179,,
1月,全部科室(汇总对比),缺失行,"穿刺器（5MM,10MM）-2/Z1532",1571865,整行,3.0/44.0/132.0,,180,,
1月,全部科室(汇总对比),缺失行,电切镜器材-4/Z2045,1571865,整行,1.0/88.0/88.0,,181,,
1月,全部科室(汇总对比),缺失行,电切线-1/Z3040,1571865,整行,1.0/35.0/35.0,,182,,
1月,全部科室(汇总对比),缺失行,腹腔镜器械-6/Z2060,1571865,整行,3.0/110.0/330.0,,183,,
1月,全部科室(汇总对比),缺失行,镜头-1/双Z1550,1571865,整行,4.0/28.0/112.0,,184,,
1月,全部科室(汇总对比),缺失行,气腹管-1/W7050,1571865,整行,3.0/35.0/105.0,,185,,
1月,全部科室(汇总对比),缺失行,闭合夹-1/Z2060,1572251,整行,4.0/28.0/112.0,,191,,
1月,全部科室(汇总对比),缺失行,穿刺器（5mm）-1/Z1530,1572251,整行,1.0/25.0/25.0,,192,,
1月,全部科室(汇总对比),缺失行,"穿刺器（5MM,10MM）-2/Z1532",1572251,整行,4.0/44.0/176.0,,193,,
1月,全部科室(汇总对比),缺失行,弹簧抓钳-1/Z2060,1572251,整行,1.0/28.0/28.0,,194,,
1月,全部科室(汇总对比),缺失行,电凝钩1 导线1/Z2060,1572251,整行,3.0/44.0/132.0,,195,,
