科室,原始行,发货单号,包名,包数,原单价,处理后单价,原总价,处理后总价,规则覆盖,匹配规则,说明
供应室,13,1608234,器械包（无纺布）,2.0,0.0,20.0,0.0,40.0,needs_engine_verify,待 PricingEngine 验证默认规则,
供应室,14,1608234,敷料包（纸塑袋）,3.0,0.0,8.0,0.0,24.0,needs_engine_verify,待 PricingEngine 验证默认规则,
供应室,15,1608234,器械包（纸塑袋）,12.0,0.0,8.0,0.0,96.0,needs_engine_verify,待 PricingEngine 验证默认规则,
供应室,16,1608673,器械包（无纺布）,1.0,0.0,20.0,0.0,20.0,needs_engine_verify,待 PricingEngine 验证默认规则,
供应室,17,1608673,敷料包（纸塑袋）,1.0,0.0,8.0,0.0,8.0,needs_engine_verify,待 PricingEngine 验证默认规则,
供应室,18,1608673,器械包（纸塑袋）,1.0,0.0,8.0,0.0,8.0,needs_engine_verify,待 PricingEngine 验证默认规则,
供应室,19,1608763,环氧乙烷（自行打包）-1包,1.0,0.0,35.0,0.0,35.0,needs_engine_verify,待 PricingEngine 验证默认规则,
供应室,22,1609434,器械包（无纺布）,7.0,0.0,20.0,0.0,140.0,needs_engine_verify,待 PricingEngine 验证默认规则,
供应室,23,1609434,敷料包（纸塑袋）,1.0,0.0,8.0,0.0,8.0,needs_engine_verify,待 PricingEngine 验证默认规则,
供应室,24,1609434,器械包（纸塑袋）,8.0,0.0,8.0,0.0,64.0,needs_engine_verify,待 PricingEngine 验证默认规则,
供应室,26,1610375,器械包（无纺布）,2.0,0.0,20.0,0.0,40.0,needs_engine_verify,待 PricingEngine 验证默认规则,
供应室,27,1610375,器械包（纸塑袋）,8.0,0.0,8.0,0.0,64.0,needs_engine_verify,待 PricingEngine 验证默认规则,
供应室,28,1610482,环氧乙烷（自行打包）-1包,1.0,0.0,35.0,0.0,35.0,needs_engine_verify,待 PricingEngine 验证默认规则,
供应室,30,1611512,器械包（无纺布）,2.0,0.0,20.0,0.0,40.0,needs_engine_verify,待 PricingEngine 验证默认规则,
供应室,31,1611512,敷料包（纸塑袋）,7.0,0.0,8.0,0.0,56.0,needs_engine_verify,待 PricingEngine 验证默认规则,
供应室,32,1611512,器械包（纸塑袋）,7.0,0.0,8.0,0.0,56.0,needs_engine_verify,待 PricingEngine 验证默认规则,
供应室,33,1611878,敷料包（无纺布）,2.0,0.0,20.0,0.0,40.0,needs_engine_verify,待 PricingEngine 验证默认规则,
供应室,34,1611878,器械包（纸塑袋）,2.0,0.0,8.0,0.0,16.0,needs_engine_verify,待 PricingEngine 验证默认规则,
供应室,36,1612352,敷料包（无纺布）,5.0,0.0,20.0,0.0,100.0,needs_engine_verify,待 PricingEngine 验证默认规则,
供应室,38,1612352,敷料包（纸塑袋）,1.0,0.0,8.0,0.0,8.0,needs_engine_verify,待 PricingEngine 验证默认规则,
供应室,39,1612773,敷料包（无纺布）,2.0,0.0,20.0,0.0,40.0,needs_engine_verify,待 PricingEngine 验证默认规则,
供应室,40,1612773,敷料包（纸塑袋）,1.0,0.0,8.0,0.0,8.0,needs_engine_verify,待 PricingEngine 验证默认规则,
供应室,42,1613146,敷料包（无纺布）,2.0,0.0,20.0,0.0,40.0,needs_engine_verify,待 PricingEngine 验证默认规则,
