sheet	row	orderNo	packName	packCount	unitPrice	ruleUnit	status	pricingRule
供应室	13	1608234	器械包（无纺布）	2		20.0	warning	校正价20.0
供应室	14	1608234	敷料包（纸塑袋）	3		8.0	warning	校正价8.0
供应室	15	1608234	器械包（纸塑袋）	12		8.0	warning	校正价8.0
供应室	16	1608673	器械包（无纺布）	1		20.0	warning	校正价20.0
供应室	17	1608673	敷料包（纸塑袋）	1		8.0	warning	校正价8.0
供应室	18	1608673	器械包（纸塑袋）	1		8.0	warning	校正价8.0
供应室	19	1608763	环氧乙烷（自行打包）-1包	1		35.0	warning	校正价35.0
供应室	22	1609434	器械包（无纺布）	7		20.0	warning	校正价20.0
供应室	23	1609434	敷料包（纸塑袋）	1		8.0	warning	校正价8.0
供应室	24	1609434	器械包（纸塑袋）	8		8.0	warning	校正价8.0
供应室	26	1610375	器械包（无纺布）	2		20.0	warning	校正价20.0
供应室	27	1610375	器械包（纸塑袋）	8		8.0	warning	校正价8.0
供应室	28	1610482	环氧乙烷（自行打包）-1包	1		35.0	warning	校正价35.0
供应室	30	1611512	器械包（无纺布）	2		20.0	warning	校正价20.0
供应室	31	1611512	敷料包（纸塑袋）	7		8.0	warning	校正价8.0
供应室	32	1611512	器械包（纸塑袋）	7		8.0	warning	校正价8.0
供应室	33	1611878	敷料包（无纺布）	2		20.0	warning	校正价20.0
供应室	34	1611878	器械包（纸塑袋）	2		8.0	warning	校正价8.0
供应室	36	1612352	敷料包（无纺布）	5		20.0	warning	校正价20.0
供应室	38	1612352	敷料包（纸塑袋）	1		8.0	warning	校正价8.0
供应室	39	1612773	敷料包（无纺布）	2		20.0	warning	校正价20.0
供应室	40	1612773	敷料包（纸塑袋）	1		8.0	warning	校正价8.0
供应室	42	1613146	敷料包（无纺布）	2		20.0	warning	校正价20.0
供应室	43	1613146	敷料包（纸塑袋）	4		8.0	warning	校正价8.0
供应室	44	1613579	敷料包（无纺布）	1		20.0	warning	校正价20.0
供应室	45	1613579	敷料包（纸塑袋）	1		8.0	warning	校正价8.0
供应室	47	1614084	器械包（无纺布）	4		20.0	warning	校正价20.0
供应室	48	1614084	敷料包（纸塑袋）	2		8.0	warning	校正价8.0
供应室	49	1614084	器械包（纸塑袋）	5		8.0	warning	校正价8.0
供应室	52	1614509	器械包（纸塑袋）	10		8.0	warning	校正价8.0
供应室	54	1615268	器械包（无纺布）	2		20.0	warning	校正价20.0
供应室	57	1615268	敷料包（纸塑袋）	1		8.0	warning	校正价8.0
供应室	58	1615268	器械包（纸塑袋）	11		8.0	warning	校正价8.0
供应室	59	1615522	器械包（无纺布）	1		20.0	warning	校正价20.0
供应室	60	1615522	器械包（纸塑袋）	1		8.0	warning	校正价8.0
供应室	62	1616081	器械包（无纺布）	2		20.0	warning	校正价20.0
供应室	63	1616081	器械包（纸塑袋）	8		8.0	warning	校正价8.0
供应室	64	1616090	器械包（无纺布）	3		20.0	warning	校正价20.0
手术室	33	1608986	敷料包（无纺布）	14		20.0	warning	校正价20.0
手术室	34	1608986	器械包（纸塑袋）	1		8.0	warning	校正价8.0
手术室	47	1609435	克氏针折弯钳-1/W6050	1	5.5	16.5	warning	校正价16.5
手术室	54	1609748	敷料包（无纺布）	3		20.0	warning	校正价20.0
手术室	72	1609905	环氧乙烷（自行打包）-1包	3		35.0	warning	校正价35.0
手术室	76	1610376	敷料包（无纺布）	3		20.0	warning	校正价20.0
手术室	86	1610753	敷料包（无纺布）	9		20.0	warning	校正价20.0
手术室	117	1612772	刷手包	5		20.0	warning	校正价20.0
手术室	123	1613147	敷料包（无纺布）	8		20.0	warning	校正价20.0
手术室	137	1614510	敷料包（无纺布）	6		20.0	warning	校正价20.0
手术室	146	1614948	敷料包（无纺布）	3		20.0	warning	校正价20.0
手术室	156	1615521	敷料包（无纺布）	10		20.0	warning	校正价20.0
手术室	164	1616082	敷料包（无纺布）	6		20.0	warning	校正价20.0
