月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
1月,供应室,字段不一致-单价,器械包（无纺布）,1567539,单价,0.0,20.0,13,12,
1月,供应室,字段不一致-总价,器械包（无纺布）,1567539,总价,0.0,60.0,13,12,
1月,供应室,字段不一致-单价,器械包（无纺布）,1568945,单价,0.0,20.0,15,14,
1月,供应室,字段不一致-总价,器械包（无纺布）,1568945,总价,0.0,60.0,15,14,
1月,供应室,字段不一致-单价,敷料包（纸塑袋）,1568945,单价,0.0,8.0,16,15,
1月,供应室,字段不一致-总价,敷料包（纸塑袋）,1568945,总价,0.0,16.0,16,15,
1月,供应室,字段不一致-单价,环氧乙烷（自行打包）-1包,1569074,单价,0.0,35.0,17,16,
1月,供应室,字段不一致-总价,环氧乙烷（自行打包）-1包,1569074,总价,0.0,70.0,17,16,
1月,供应室,字段不一致-单价,器械包（无纺布）,1569768,单价,0.0,20.0,19,18,
1月,供应室,字段不一致-总价,器械包（无纺布）,1569768,总价,0.0,60.0,19,18,
1月,供应室,字段不一致-单价,器械包（无纺布）,1570912,单价,0.0,20.0,21,20,
1月,供应室,字段不一致-总价,器械包（无纺布）,1570912,总价,0.0,60.0,21,20,
1月,供应室,字段不一致-单价,环氧乙烷（自行打包）-1包,1571041,单价,0.0,35.0,22,21,
1月,供应室,字段不一致-总价,环氧乙烷（自行打包）-1包,1571041,总价,0.0,70.0,22,21,
1月,供应室,字段不一致-单价,器械包（无纺布）,1571754,单价,0.0,20.0,24,23,
1月,供应室,字段不一致-总价,器械包（无纺布）,1571754,总价,0.0,100.0,24,23,
1月,供应室,字段不一致-单价,敷料包（纸塑袋）,1571754,单价,0.0,8.0,25,24,
1月,供应室,字段不一致-总价,敷料包（纸塑袋）,1571754,总价,0.0,8.0,25,24,
1月,供应室,字段不一致-单价,器械包（无纺布）,1572794,单价,0.0,20.0,27,26,
1月,供应室,字段不一致-总价,器械包（无纺布）,1572794,总价,0.0,120.0,27,26,
1月,供应室,字段不一致-单价,敷料包（纸塑袋）,1572794,单价,0.0,8.0,28,27,
1月,供应室,字段不一致-总价,敷料包（纸塑袋）,1572794,总价,0.0,16.0,28,27,
1月,供应室,字段不一致-单价,器械包（无纺布）,1573696,单价,0.0,20.0,30,29,
1月,供应室,字段不一致-总价,器械包（无纺布）,1573696,总价,0.0,40.0,30,29,
1月,供应室,字段不一致-单价,器械包（无纺布）,1574140,单价,0.0,20.0,32,31,
1月,供应室,字段不一致-总价,器械包（无纺布）,1574140,总价,0.0,20.0,32,31,
1月,供应室,字段不一致-单价,器械包（无纺布）,1574720,单价,0.0,20.0,34,33,
1月,供应室,字段不一致-总价,器械包（无纺布）,1574720,总价,0.0,80.0,34,33,
1月,供应室,汇总不一致-总价,供应室,,总价,268.5,1048.5,11,10,
1月,手术室,字段不一致-单价,敷料包（无纺布）,1567857,单价,0.0,20.0,14,14,
1月,手术室,字段不一致-总价,敷料包（无纺布）,1567857,总价,0.0,120.0,14,14,
1月,手术室,字段不一致-单价,肛肠拉钩窄-2/Z2032,1568221,单价,18.5,16.5,24,24,原始按器械数×基础单价(18.5)计费；处理后按标准价(16.5)计费
1月,手术室,字段不一致-总价,肛肠拉钩窄-2/Z2032,1568221,总价,18.5,16.5,24,24,原始按器械数×基础单价(18.5)计费；处理后按标准价(16.5)计费
1月,手术室,字段不一致-单价,敷料包（无纺布）,1568221,单价,0.0,20.0,28,28,
1月,手术室,字段不一致-总价,敷料包（无纺布）,1568221,总价,0.0,40.0,28,28,
1月,手术室,字段不一致-单价,肛肠拉钩（宽）-2件/W605050,1568221,单价,11.0,16.5,31,31,原始按器械数×基础单价(11)计费；处理后按标准价(16.5)计费
1月,手术室,字段不一致-总价,肛肠拉钩（宽）-2件/W605050,1568221,总价,11.0,16.5,31,31,原始按器械数×基础单价(11)计费；处理后按标准价(16.5)计费
1月,手术室,字段不一致-单价,器械包（纸塑袋）,1568221,单价,0.0,8.0,35,35,
1月,手术室,字段不一致-总价,器械包（纸塑袋）,1568221,总价,0.0,8.0,35,35,
1月,手术室,字段不一致-单价,环氧乙烷（自行打包）-1包,1568329,单价,0.0,35.0,36,36,
1月,手术室,字段不一致-总价,环氧乙烷（自行打包）-1包,1568329,总价,0.0,35.0,36,36,
1月,手术室,字段不一致-单价,敷料包（无纺布）,1568542,单价,0.0,20.0,37,37,
1月,手术室,字段不一致-总价,敷料包（无纺布）,1568542,总价,0.0,100.0,37,37,
1月,手术室,字段不一致-单价,敷料包（无纺布）,1569288,单价,0.0,20.0,50,50,
1月,手术室,字段不一致-总价,敷料包（无纺布）,1569288,总价,0.0,160.0,50,50,
1月,手术室,字段不一致-单价,敷料包（纸塑袋）,1569288,单价,0.0,8.0,51,51,
1月,手术室,字段不一致-总价,敷料包（纸塑袋）,1569288,总价,0.0,8.0,51,51,
1月,手术室,字段不一致-单价,器械包（纸塑袋）,1569288,单价,0.0,8.0,52,52,
1月,手术室,字段不一致-总价,器械包（纸塑袋）,1569288,总价,0.0,8.0,52,52,
1月,手术室,字段不一致-单价,刷手包,1569769,单价,0.0,20.0,57,57,
1月,手术室,字段不一致-总价,刷手包,1569769,总价,0.0,40.0,57,57,
1月,手术室,字段不一致-单价,敷料包（无纺布）,1570193,单价,0.0,20.0,71,71,
1月,手术室,字段不一致-总价,敷料包（无纺布）,1570193,总价,0.0,140.0,71,71,
1月,手术室,字段不一致-单价,器械包（无纺布）,1570193,单价,0.0,20.0,72,72,
1月,手术室,字段不一致-总价,器械包（无纺布）,1570193,总价,0.0,20.0,72,72,
1月,手术室,字段不一致-单价,敷料包（纸塑袋）,1570193,单价,0.0,8.0,76,76,
1月,手术室,字段不一致-总价,敷料包（纸塑袋）,1570193,总价,0.0,8.0,76,76,
1月,手术室,字段不一致-单价,本院骨科六角改锥（2.5）-1/Z1026,1570231,单价,19.0,8.0,77,77,原始按器械数×基础单价(19)计费；处理后按标准价(8)计费
1月,手术室,字段不一致-总价,本院骨科六角改锥（2.5）-1/Z1026,1570231,总价,19.0,8.0,77,77,原始按器械数×基础单价(19)计费；处理后按标准价(8)计费
1月,手术室,字段不一致-单价,刷手包,1570566,单价,0.0,20.0,90,90,
1月,手术室,字段不一致-总价,刷手包,1570566,总价,0.0,20.0,90,90,
1月,手术室,字段不一致-单价,敷料包（纸塑袋）,1570566,单价,0.0,8.0,98,98,
1月,手术室,字段不一致-总价,敷料包（纸塑袋）,1570566,总价,0.0,8.0,98,98,
1月,手术室,字段不一致-单价,敷料包（无纺布）,1570913,单价,0.0,20.0,99,99,
1月,手术室,字段不一致-总价,敷料包（无纺布）,1570913,总价,0.0,80.0,99,99,
1月,手术室,字段不一致-单价,敷料包（纸塑袋）,1570913,单价,0.0,8.0,100,100,
1月,手术室,字段不一致-总价,敷料包（纸塑袋）,1570913,总价,0.0,8.0,100,100,
1月,手术室,字段不一致-单价,敷料包（无纺布）,1571222,单价,0.0,20.0,117,117,
1月,手术室,字段不一致-总价,敷料包（无纺布）,1571222,总价,0.0,160.0,117,117,
1月,手术室,字段不一致-单价,敷料包（无纺布）,1572094,单价,0.0,20.0,136,136,
1月,手术室,字段不一致-总价,敷料包（无纺布）,1572094,总价,0.0,200.0,136,136,
1月,手术室,字段不一致-单价,敷料包（无纺布）,1572101,单价,0.0,20.0,138,138,
1月,手术室,字段不一致-总价,敷料包（无纺布）,1572101,总价,0.0,20.0,138,138,
1月,手术室,字段不一致-单价,敷料包（无纺布）,1572102,单价,0.0,20.0,142,142,
1月,手术室,字段不一致-总价,敷料包（无纺布）,1572102,总价,0.0,40.0,142,142,
1月,手术室,字段不一致-单价,敷料包（无纺布）,1572449,单价,0.0,20.0,151,151,
1月,手术室,字段不一致-总价,敷料包（无纺布）,1572449,总价,0.0,40.0,151,151,
1月,手术室,字段不一致-单价,敷料包（无纺布）,1572795,单价,0.0,20.0,154,154,
1月,手术室,字段不一致-总价,敷料包（无纺布）,1572795,总价,0.0,20.0,154,154,
1月,手术室,字段不一致-单价,敷料包（纸塑袋）,1572795,单价,0.0,8.0,155,155,
1月,手术室,字段不一致-总价,敷料包（纸塑袋）,1572795,总价,0.0,8.0,155,155,
1月,手术室,字段不一致-单价,敷料包（无纺布）,1573192,单价,0.0,20.0,163,163,
1月,手术室,字段不一致-总价,敷料包（无纺布）,1573192,总价,0.0,120.0,163,163,
1月,手术室,字段不一致-单价,敷料包（无纺布）,1574141,单价,0.0,20.0,183,183,
1月,手术室,字段不一致-总价,敷料包（无纺布）,1574141,总价,0.0,100.0,183,183,
1月,手术室,字段不一致-单价,刷手包,1574141,单价,0.0,20.0,184,184,
1月,手术室,字段不一致-总价,刷手包,1574141,总价,0.0,40.0,184,184,
1月,手术室,字段不一致-单价,敷料包（无纺布）,1575112,单价,0.0,20.0,203,203,
1月,手术室,字段不一致-总价,敷料包（无纺布）,1575112,总价,0.0,100.0,203,203,
1月,手术室,字段不一致-单价,刷手包,1575112,单价,0.0,20.0,204,204,
1月,手术室,字段不一致-总价,刷手包,1575112,总价,0.0,40.0,204,204,
1月,手术室,汇总不一致-总价,手术室,,总价,10493.0,12176.5,8,8,
2月,供应室,字段不一致-单价,器械包（无纺布）,1575663,单价,0.0,20.0,13,12,
2月,供应室,字段不一致-总价,器械包（无纺布）,1575663,总价,0.0,60.0,13,12,
2月,供应室,字段不一致-单价,器械包（无纺布）,1576642,单价,0.0,20.0,15,14,
2月,供应室,字段不一致-总价,器械包（无纺布）,1576642,总价,0.0,40.0,15,14,
2月,供应室,字段不一致-单价,敷料包（无纺布）,1577424,单价,0.0,20.0,17,16,
2月,供应室,字段不一致-总价,敷料包（无纺布）,1577424,总价,0.0,40.0,17,16,
2月,供应室,字段不一致-单价,敷料包（纸塑袋）,1577424,单价,0.0,8.0,18,17,
2月,供应室,字段不一致-总价,敷料包（纸塑袋）,1577424,总价,0.0,8.0,18,17,
2月,供应室,字段不一致-单价,敷料包（无纺布）,1578467,单价,0.0,20.0,20,19,
2月,供应室,字段不一致-总价,敷料包（无纺布）,1578467,总价,0.0,120.0,20,19,
2月,供应室,字段不一致-单价,敷料包（纸塑袋）,1578467,单价,0.0,8.0,21,20,
2月,供应室,字段不一致-总价,敷料包（纸塑袋）,1578467,总价,0.0,16.0,21,20,
2月,供应室,字段不一致-单价,敷料包（无纺布）,1578699,单价,0.0,20.0,23,22,
2月,供应室,字段不一致-总价,敷料包（无纺布）,1578699,总价,0.0,60.0,23,22,
2月,供应室,字段不一致-单价,敷料包（纸塑袋）,1578699,单价,0.0,8.0,24,23,
2月,供应室,字段不一致-总价,敷料包（纸塑袋）,1578699,总价,0.0,24.0,24,23,
2月,供应室,字段不一致-单价,器械包（无纺布）,1578935,单价,0.0,20.0,26,25,
2月,供应室,字段不一致-总价,器械包（无纺布）,1578935,总价,0.0,20.0,26,25,
2月,供应室,字段不一致-单价,器械包（无纺布）,1579259,单价,0.0,20.0,29,28,
2月,供应室,字段不一致-总价,器械包（无纺布）,1579259,总价,0.0,40.0,29,28,
2月,供应室,字段不一致-单价,器械包（纸塑袋）,1580451,单价,0.0,8.0,30,29,
2月,供应室,字段不一致-总价,器械包（纸塑袋）,1580451,总价,0.0,8.0,30,29,
2月,供应室,字段不一致-单价,器械包（无纺布）,1580820,单价,0.0,20.0,33,32,
2月,供应室,字段不一致-总价,器械包（无纺布）,1580820,总价,0.0,60.0,33,32,
2月,供应室,字段不一致-单价,环氧乙烷（自行打包）-1包,1580922,单价,0.0,35.0,35,34,
2月,供应室,字段不一致-总价,环氧乙烷（自行打包）-1包,1580922,总价,0.0,35.0,35,34,
2月,供应室,汇总不一致-总价,供应室,,总价,332.0,863.0,11,10,
2月,手术室,字段不一致-单价,敷料包（无纺布）,1576329,单价,0.0,20.0,32,32,
2月,手术室,字段不一致-总价,敷料包（无纺布）,1576329,总价,0.0,160.0,32,32,
2月,手术室,字段不一致-单价,环氧乙烷（自行打包）-1包,1576365,单价,0.0,35.0,39,39,
2月,手术室,字段不一致-总价,环氧乙烷（自行打包）-1包,1576365,总价,0.0,35.0,39,39,
2月,手术室,字段不一致-单价,敷料包（无纺布）,1576643,单价,0.0,20.0,54,54,
2月,手术室,字段不一致-总价,敷料包（无纺布）,1576643,总价,0.0,20.0,54,54,
2月,手术室,字段不一致-单价,敷料包（纸塑袋）,1576643,单价,0.0,8.0,60,60,
