科室,原始行,发货单号,包名,包数,原单价,处理后单价,原总价,处理后总价,规则覆盖,匹配规则,说明
皮肤门诊（二）,10,1608968,美容科排针包50件盘1/W6050,3.0,280.5,33.0,841.5,99.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(280.5)计费；处理后按标准价(33)计费
皮肤门诊（二）,11,1608968,排针包48件盘1/W6050,1.0,269.5,33.0,269.5,33.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(269.5)计费；处理后按标准价(33)计费
皮肤门诊（二）,12,1608968,排针包51件盘1/W6050,1.0,286.0,38.5,286.0,38.5,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(286)计费；处理后按标准价(38.5)计费
皮肤门诊（二）,14,1614842,器械包-4件/Z1026,1.0,24.5,22.0,24.5,22.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(24.5)计费；处理后按标准价(22)计费
皮肤门诊（二）,15,1614842,美容科排针包50件盘1/W6050,4.0,280.5,33.0,1122.0,132.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(280.5)计费；处理后按标准价(33)计费
门诊肛肠一科,24,1609285,纱布条/W9050,1.0,16.5,30.0,16.5,30.0,needs_engine_verify,待 PricingEngine 验证默认规则,
门诊肛肠一科,64,1615102,纱布条/W9050,4.0,16.5,30.0,66.0,120.0,needs_engine_verify,待 PricingEngine 验证默认规则,
手术室,60,1611839,探针1瘘管1刨刀1/Z1026,1,16.5,13.5,,,system_warning,高温纸塑袋10cm计费,由系统 warning 补录（导入价 vs 规则价，Excel 逐行未 diff）
手术室,67,1612616,探针1瘘管1刨刀1/Z1026,2,16.5,13.5,,,system_warning,高温纸塑袋10cm计费,由系统 warning 补录（导入价 vs 规则价，Excel 逐行未 diff）
手术室,75,1613063,探针1瘘管1刨刀1/Z1026,1,16.5,13.5,,,system_warning,高温纸塑袋10cm计费,由系统 warning 补录（导入价 vs 规则价，Excel 逐行未 diff）
手术室,87,1613386,探针1瘘管1刨刀1/Z1026,1,16.5,13.5,,,system_warning,高温纸塑袋10cm计费,由系统 warning 补录（导入价 vs 规则价，Excel 逐行未 diff）
手术室,95,1614013,探针1瘘管1刨刀1/Z1026,1,16.5,13.5,,,system_warning,高温纸塑袋10cm计费,由系统 warning 补录（导入价 vs 规则价，Excel 逐行未 diff）
手术室,111,1614841,探针1瘘管1刨刀1/Z1026,2,16.5,13.5,,,system_warning,高温纸塑袋10cm计费,由系统 warning 补录（导入价 vs 规则价，Excel 逐行未 diff）
