月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
3月,全部科室(汇总对比),缺失行,处置盘-5件（缸3镊1筐1）/w9050,1586403,整行,1.0/27.5/27.5,,12,,
3月,全部科室(汇总对比),缺失行,镊子-25（筐1）/w9050,1586403,整行,2.0/143.0/286.0,,13,,
3月,全部科室(汇总对比),缺失行,换药碗包-3件/Z1526,1587872,整行,3.0/22.0/66.0,,14,,
3月,全部科室(汇总对比),缺失行,开口器1舌钳子1压舌板1/Z2025,1587872,整行,1.0/24.0/24.0,,15,,
3月,全部科室(汇总对比),缺失行,扩棒包-8件/W6050,1587872,整行,1.0/44.0/44.0,,16,,
3月,全部科室(汇总对比),缺失行,镊子包-30件（筐1）/W9050,1587872,整行,2.0/176.0/352.0,,17,,
3月,全部科室(汇总对比),缺失行,纱布/Z1526,1587872,整行,2.0/5.5/11.0,,18,,
3月,全部科室(汇总对比),缺失行,镊子-28件（筐1）/w9050,1588394,整行,1.0/159.5/159.5,,19,,
3月,全部科室(汇总对比),缺失行,镊子-29件（筐1）/w9050,1588394,整行,1.0/165.0/165.0,,20,,
3月,全部科室(汇总对比),缺失行,处置包-5件/W6050,1589094,整行,1.0/27.5/27.5,,21,,
3月,全部科室(汇总对比),缺失行,镊子包-30件（筐1）/W9050,1589094,整行,1.0/176.0/176.0,,22,,
3月,全部科室(汇总对比),缺失行,处置盘-5件（缸3镊1筐1）/w9050,1590707,整行,1.0/27.5/27.5,,23,,
3月,全部科室(汇总对比),缺失行,弯盘-1/Z2032,1590707,整行,1.0/13.0/13.0,,24,,
3月,全部科室(汇总对比),缺失行,刮宫包,1590707,整行,1.0/137.5/137.5,,25,,
3月,全部科室(汇总对比),缺失行,镊子-28件（筐1）/w9050,1590707,整行,3.0/159.5/478.5,,26,,
3月,全部科室(汇总对比),缺失行,长弯钳-1/z1029,1586404,整行,1.0/8.0/8.0,,9,,
3月,全部科室(汇总对比),缺失行,大镊子-1/z7534,1586404,整行,5.0/8.0/40.0,,10,,
3月,全部科室(汇总对比),缺失行,活检钳-1/z2032,1586404,整行,2.0/13.0/26.0,,11,,
3月,全部科室(汇总对比),缺失行,棉球缸包-5件（4缸1筐）/w9050,1586404,整行,1.0/27.5/27.5,,12,,
3月,全部科室(汇总对比),缺失行,活检钳-1/z2032,1587874,整行,1.0/13.0/13.0,,13,,
3月,全部科室(汇总对比),缺失行,环包,1589889,整行,1.0/110.0/110.0,,14,,
3月,全部科室(汇总对比),缺失行,器械包,1589889,整行,1.0/137.5/137.5,,15,,
3月,全部科室(汇总对比),缺失行,弯盘-1/Z2032,1589889,整行,1.0/13.0/13.0,,16,,
3月,全部科室(汇总对比),缺失行,镊子缸包-6件/W9050,1589889,整行,1.0/33.0/33.0,,17,,
3月,全部科室(汇总对比),缺失行,镊子包,1586405,整行,4.0/225.5/902.0,,9,,
3月,全部科室(汇总对比),缺失行,拆线缝合包,1586405,整行,1.0/27.5/27.5,,10,,
3月,全部科室(汇总对比),缺失行,镊子包-30（筐1）/w9050,1586405,整行,1.0/170.5/170.5,,11,,
3月,全部科室(汇总对比),缺失行,器械包-6件/w6050,1586405,整行,1.0/33.0/33.0,,12,,
3月,全部科室(汇总对比),缺失行,器械包-7件/w6050,1586405,整行,2.0/38.5/77.0,,13,,
3月,全部科室(汇总对比),缺失行,器械包-5件/w6050,1587222,整行,1.0/27.5/27.5,,14,,
3月,全部科室(汇总对比),缺失行,器械包-6件/w6050,1587222,整行,3.0/33.0/99.0,,15,,
3月,全部科室(汇总对比),缺失行,器械包-7件/w6050,1587222,整行,1.0/38.5/38.5,,16,,
3月,全部科室(汇总对比),缺失行,器械包-8件/w6050,1587222,整行,1.0/44.0/44.0,,17,,
3月,全部科室(汇总对比),缺失行,小镊子包40件筐1/W6050,1587222,整行,3.0/225.5/676.5,,18,,
3月,全部科室(汇总对比),缺失行,镊子包,1587875,整行,3.0/225.5/676.5,,19,,
3月,全部科室(汇总对比),缺失行,器械包-7件/w6050,1587875,整行,1.0/38.5/38.5,,20,,
3月,全部科室(汇总对比),缺失行,器械包-8件/w6050,1587875,整行,2.0/44.0/88.0,,21,,
3月,全部科室(汇总对比),缺失行,大纱布/Z2025,1587875,整行,1.0/7.5/7.5,,22,,
3月,全部科室(汇总对比),缺失行,肛肠手术包,1588391,整行,1.0/66.0/66.0,,23,,
3月,全部科室(汇总对比),缺失行,镊子包,1588391,整行,1.0/225.5/225.5,,24,,
3月,全部科室(汇总对比),缺失行,拆线缝合包-5件/Z1526,1588391,整行,1.0/33.0/33.0,,25,,
3月,全部科室(汇总对比),缺失行,肛门镜-2件/Z1530,1588391,整行,1.0/16.5/16.5,,26,,
3月,全部科室(汇总对比),缺失行,换药碗-1/z2032,1588391,整行,1.0/13.0/13.0,,27,,
3月,全部科室(汇总对比),缺失行,弯盘-1/Z2032,1588391,整行,1.0/13.0/13.0,,28,,
3月,全部科室(汇总对比),缺失行,持物钳罐-2件/W6050,1588391,整行,1.0/16.5/16.5,,29,,
3月,全部科室(汇总对比),缺失行,器械包-6件/w6050,1588391,整行,1.0/33.0/33.0,,30,,
3月,全部科室(汇总对比),缺失行,器械包-7件/w6050,1588391,整行,1.0/38.5/38.5,,31,,
3月,全部科室(汇总对比),缺失行,器械包-8件/w6050,1588391,整行,1.0/44.0/44.0,,32,,
3月,全部科室(汇总对比),缺失行,小镊子包40件筐1/W6050,1588391,整行,4.0/225.5/902.0,,33,,
3月,全部科室(汇总对比),缺失行,镊子包,1589096,整行,1.0/280.5/280.5,,34,,
3月,全部科室(汇总对比),缺失行,手术包,1589096,整行,5.0/66.0/330.0,,35,,
3月,全部科室(汇总对比),缺失行,拆线缝合包-5件/W6050,1589096,整行,1.0/27.5/27.5,,36,,
3月,全部科室(汇总对比),缺失行,肛门镜-2件/Z1530,1589096,整行,1.0/16.5/16.5,,37,,
3月,全部科室(汇总对比),缺失行,弯镰包-2件/Z1026,1589096,整行,1.0/13.5/13.5,,38,,
3月,全部科室(汇总对比),缺失行,碗1盘1/z3032,1589096,整行,5.0/16.5/82.5,,39,,
3月,全部科室(汇总对比),缺失行,拆线缝合包,1589096,整行,1.0/27.5/27.5,,40,,
3月,全部科室(汇总对比),缺失行,镊子包-40件（筐1）/W9050,1589096,整行,1.0/225.5/225.5,,41,,
3月,全部科室(汇总对比),缺失行,器械包-7件/w6050,1589096,整行,4.0/38.5/154.0,,42,,
3月,全部科室(汇总对比),缺失行,小镊子包40件筐1/W6050,1589096,整行,1.0/225.5/225.5,,43,,
3月,全部科室(汇总对比),缺失行,镊子包-40件（筐1）/W9050,1589487,整行,3.0/225.5/676.5,,44,,
3月,全部科室(汇总对比),缺失行,肛肠手术包,1589890,整行,1.0/66.0/66.0,,45,,
3月,全部科室(汇总对比),缺失行,持针器-1/Z1026,1589890,整行,1.0/8.0/8.0,,46,,
3月,全部科室(汇总对比),缺失行,肛门镜-2件/Z1530,1589890,整行,1.0/16.5/16.5,,47,,
3月,全部科室(汇总对比),缺失行,剪刀-3件/Z1526,1589890,整行,4.0/16.5/66.0,,48,,
3月,全部科室(汇总对比),缺失行,弯盘-1/Z2032,1589890,整行,6.0/13.0/78.0,,49,,
3月,全部科室(汇总对比),缺失行,弯钳-3件/Z1526,1589890,整行,5.0/16.5/82.5,,50,,
3月,全部科室(汇总对比),缺失行,碗1盘1/z3032,1589890,整行,1.0/16.5/16.5,,51,,
3月,全部科室(汇总对比),缺失行,组织钳-1/Z1026,1589890,整行,1.0/8.0/8.0,,52,,
3月,全部科室(汇总对比),缺失行,持物钳罐-2件/W6050,1589890,整行,1.0/16.5/16.5,,53,,
3月,全部科室(汇总对比),缺失行,镊子包-40件（筐1）/W9050,1589890,整行,2.0/225.5/451.0,,54,,
3月,全部科室(汇总对比),缺失行,大纱布/Z2025,1589890,整行,1.0/7.5/7.5,,55,,
3月,全部科室(汇总对比),缺失行,持针器-1/Z1026,1590425,整行,1.0/8.0/8.0,,56,,
3月,全部科室(汇总对比),缺失行,剪刀-3件/Z1526,1590425,整行,3.0/16.5/49.5,,57,,
3月,全部科室(汇总对比),缺失行,弯盘-1/Z2032,1590425,整行,4.0/13.0/52.0,,58,,
3月,全部科室(汇总对比),缺失行,弯钳-3件/Z1526,1590425,整行,1.0/16.5/16.5,,59,,
3月,全部科室(汇总对比),缺失行,组织钳-1/Z1026,1590425,整行,4.0/8.0/32.0,,60,,
3月,全部科室(汇总对比),缺失行,镊子包-40件（筐1）/W9050,1590425,整行,6.0/225.5/1353.0,,61,,
3月,全部科室(汇总对比),缺失行,器械包-2件/Z1026,1587220,整行,1.0/13.5/13.5,,9,,
3月,全部科室(汇总对比),缺失行,器械包-3件/Z1526,1587220,整行,1.0/16.5/16.5,,10,,
3月,全部科室(汇总对比),缺失行,美容科排针包50件盘1/W6050,1587220,整行,4.0/280.5/1122.0,,11,,
3月,全部科室(汇总对比),缺失行,器械包-3件/Z1526,1589891,整行,1.0/16.5/16.5,,12,,
3月,全部科室(汇总对比),缺失行,美容科排针包50件盘1/W6050,1589891,整行,4.0/280.5/1122.0,,13,,
3月,全部科室(汇总对比),缺失行,弯盘-1/W6050,1589893,整行,1.0/16.5/16.5,,9,,
3月,全部科室(汇总对比),缺失行,孔巾/z2544,1589893,整行,1.0/4.0/4.0,,10,,
3月,全部科室(汇总对比),缺失行,拆线包-3件/Z2032（剪钳盘）,1586406,整行,1.0/16.5/16.5,,9,,
3月,全部科室(汇总对比),缺失行,导丝-1/Z7537,1588392,整行,2.0/8.0/16.0,,10,,
3月,全部科室(汇总对比),缺失行,孔巾/z2544,1588392,整行,1.0/4.0/4.0,,11,,
3月,全部科室(汇总对比),缺失行,小敷布包/Z1530,1588392,整行,1.0/5.5/5.5,,12,,
3月,全部科室(汇总对比),缺失行,孔巾/z2544,1586407,整行,1.0/4.0/4.0,,9,,
3月,全部科室(汇总对比),缺失行,弯盘-1/Z2032,1586407,整行,1.0/13.0/13.0,,10,,
3月,全部科室(汇总对比),缺失行,弯盘-1/Z2032,1587382,整行,1.0/13.0/13.0,,11,,
3月,全部科室(汇总对比),缺失行,孔巾/z2544,1587382,整行,1.0/4.0/4.0,,12,,
3月,全部科室(汇总对比),缺失行,弯盘-1/W6050,1589092,整行,1.0/16.5/16.5,,13,,
3月,全部科室(汇总对比),缺失行,孔巾/z2544,1589092,整行,2.0/4.0/8.0,,14,,
3月,全部科室(汇总对比),缺失行,弯盘-1/W6050,1589894,整行,1.0/16.5/16.5,,15,,
3月,全部科室(汇总对比),缺失行,孔巾/z2544,1589894,整行,1.0/4.0/4.0,,16,,
