sheet	row	orderNo	packName	packCount	unitPrice	ruleUnit	status	pricingRule
外科	9	1611180	小缝合包	1	55.0	55.0	warning	special_only 未命中特色规则
外科	10	1611873	小缝合包	1	55.0	55.0	warning	special_only 未命中特色规则
妇科	12	1608288	扩宫棒-1/Z7526	1	8.0	8.0	warning	special_only 未命中特色规则
妇科	13	1608288	弯盘-1/Z2032	2	13.0	13.0	warning	special_only 未命中特色规则
妇科	14	1608288	刮宫包	2	110.0	110.0	warning	special_only 未命中特色规则
妇科	15	1608288	切开包	1	66.0	66.0	warning	special_only 未命中特色规则
妇科	16	1608288	镊子-10件/W6050	2	55.0	55.0	warning	special_only 未命中特色规则
妇科	17	1609060	止血钳-1/z1029	1	8.0	8.0	warning	special_only 未命中特色规则
妇科	18	1609060	镊子-15件/W6050	2	82.5	82.5	warning	special_only 未命中特色规则
妇科	19	1609805	镊子-10件/W6050	1	55.0	55.0	warning	special_only 未命中特色规则
妇科	20	1610394	镊子-10件/W6050	2	55.0	55.0	warning	special_only 未命中特色规则
妇科	21	1611176	镊子-15件/W6050	2	82.5	82.5	warning	special_only 未命中特色规则
妇科	22	1611876	弯盘-1/Z2032	2	13.0	13.0	warning	special_only 未命中特色规则
妇科	23	1611876	刮宫包	2	110.0	110.0	warning	special_only 未命中特色规则
妇科	24	1611876	镊子-10件/W6050	1	55.0	55.0	warning	special_only 未命中特色规则
妇科	25	1612424	镊子-20件/w6050	1	110.0	110.0	warning	special_only 未命中特色规则
妇科	26	1612424	镊子-15件/W6050	1	82.5	82.5	warning	special_only 未命中特色规则
妇科	27	1613151	刮宫包	1	110.0	110.0	warning	special_only 未命中特色规则
妇科	28	1613151	镊子-15件/W6050	2	82.5	82.5	warning	special_only 未命中特色规则
妇科	29	1613181	弯盘-1/Z2032	1	13.0	13.0	warning	special_only 未命中特色规则
妇科	30	1614153	弯盘-1/Z2032	2	13.0	13.0	warning	special_only 未命中特色规则
妇科	31	1614153	止血钳-1/z1029	1	8.0	8.0	warning	special_only 未命中特色规则
妇科	32	1614153	刮宫包	2	104.5	104.5	warning	special_only 未命中特色规则
妇科	33	1614153	棉球缸1镊子缸2/W6050	3	16.5	16.5	warning	special_only 未命中特色规则
妇科	34	1614153	镊子-10件/W6050	2	55.0	55.0	warning	special_only 未命中特色规则
妇科	35	1614153	镊子-15件/W6050	1	82.5	82.5	warning	special_only 未命中特色规则
妇科	36	1614898	弯盘-1/Z2032	2	13.0	13.0	warning	special_only 未命中特色规则
妇科	37	1614898	刮宫包	2	104.5	104.5	warning	special_only 未命中特色规则
妇科	38	1614898	镊子-10件/W6050	1	55.0	55.0	warning	special_only 未命中特色规则
妇科	39	1614898	镊子-15件/W6050	1	82.5	82.5	warning	special_only 未命中特色规则
妇科	40	1615565	换药盘包	1	16.5	16.5	warning	special_only 未命中特色规则
妇科	41	1615565	镊子-10件/W6050	1	55.0	55.0	warning	special_only 未命中特色规则
妇科	42	1615565	镊子-15件/W6050	1	82.5	82.5	warning	special_only 未命中特色规则
妇科	43	1616098	镊子-15件/W6050	2	82.5	82.5	warning	special_only 未命中特色规则
手术室	9	1608290	肛肠包	1	60.5	60.5	warning	special_only 未命中特色规则
手术室	10	1608290	换药碗-1/Z2530	1	16.0	16.0	warning	special_only 未命中特色规则
手术室	11	1608290	瘘刀包-3件/z1026	1	16.5	16.5	warning	special_only 未命中特色规则
手术室	12	1608290	弯盘-1/Z2032	1	13.0	13.0	warning	special_only 未命中特色规则
手术室	13	1608290	持物钳罐-2件/W6050	1	16.5	16.5	warning	special_only 未命中特色规则
手术室	14	1609791	门诊大包	2	396.0	396.0	warning	special_only 未命中特色规则
手术室	15	1609791	门诊小包	1	93.5	93.5	warning	special_only 未命中特色规则
手术室	16	1609791	换药碗-1/Z2530	2	16.0	16.0	warning	special_only 未命中特色规则
手术室	17	1609791	弯盘-1/Z2032	1	13.0	13.0	warning	special_only 未命中特色规则
手术室	18	1609791	弯盘-1/Z2032	1	13.0	13.0	warning	special_only 未命中特色规则
手术室	19	1609791	咬骨钳-1/Z1530	1	11.0	11.0	warning	special_only 未命中特色规则
手术室	20	1609791	持物钳罐-2件/W6050	2	16.5	16.5	warning	special_only 未命中特色规则
手术室	21	1611181	门诊小包	1	93.5	93.5	warning	special_only 未命中特色规则
手术室	22	1611181	透析器械包	1	115.5	115.5	warning	special_only 未命中特色规则
手术室	23	1611181	换药碗-1/Z2530	1	16.0	16.0	warning	special_only 未命中特色规则
手术室	24	1611181	弯盘-1/Z2032	2	13.0	13.0	warning	special_only 未命中特色规则
手术室	25	1611181	持物钳罐-2件/W6050	1	16.5	16.5	warning	special_only 未命中特色规则
手术室	26	1613152	门诊小包	1	93.5	93.5	warning	special_only 未命中特色规则
手术室	27	1613152	透析器械包	1	115.5	115.5	warning	special_only 未命中特色规则
手术室	28	1613152	持物钳罐-2件/W6050	1	16.5	16.5	warning	special_only 未命中特色规则
手术室	29	1613183	换药碗-1/Z2530	1	16.0	16.0	warning	special_only 未命中特色规则
手术室	30	1613183	弯盘-1/Z2032	2	13.0	13.0	warning	special_only 未命中特色规则
推拿科	9	1610396	开口器1舌钳子1压舌板1/Z1526	1	16.5	16.5	warning	special_only 未命中特色规则
美容科	9	1608289	排针-11/Z7526	1	60.5	13.5	warning	校正价13.5
美容科	9	1608289	排针-11/Z7526	1	60.5	13.5	warning	校正价13.5
美容科	10	1608289	排针20/Z1026	3	110.0	13.5	warning	校正价13.5
美容科	10	1608289	排针20/Z1026	3	110.0	13.5	warning	校正价13.5
美容科	11	1608289	器械包-5件（筐1）/w9050	1	33.0	33.0	warning	special_only 未命中特色规则
美容科	12	1609061	排针-15/Z1026	3	82.5	13.5	warning	校正价13.5
美容科	12	1609061	排针-15/Z1026	3	82.5	13.5	warning	校正价13.5
美容科	13	1609061	排针20/Z1026	1	110.0	13.5	warning	校正价13.5
美容科	13	1609061	排针20/Z1026	1	110.0	13.5	warning	校正价13.5
美容科	14	1609061	器械包-15件（筐1）件/w9050	1	88.0	88.0	warning	special_only 未命中特色规则
美容科	15	1609796	排针20/Z1026	2	110.0	13.5	warning	校正价13.5
美容科	15	1609796	排针20/Z1026	2	110.0	13.5	warning	校正价13.5
美容科	16	1609796	排针-23/Z1026	1	126.5	16.5	warning	校正价16.5
美容科	16	1609796	排针-23/Z1026	1	126.5	16.5	warning	校正价16.5
美容科	18	1609796	器械包-10件（筐1）件/w9050	1	60.5	60.5	warning	special_only 未命中特色规则
美容科	19	1610395	排针-14/Z1026	1	77.0	13.5	warning	校正价13.5
美容科	19	1610395	排针-14/Z1026	1	77.0	13.5	warning	校正价13.5
美容科	20	1610395	排针20/Z1026	5	110.0	13.5	warning	校正价13.5
美容科	20	1610395	排针20/Z1026	5	110.0	13.5	warning	校正价13.5
美容科	21	1610395	器械包-7件（筐1）/w9050	1	44.0	44.0	warning	special_only 未命中特色规则
美容科	22	1611177	排针20/Z1026	4	110.0	13.5	warning	校正价13.5
美容科	22	1611177	排针20/Z1026	4	110.0	13.5	warning	校正价13.5
美容科	23	1611177	排针21件/Z1026	1	115.5	16.5	warning	校正价16.5
美容科	23	1611177	排针21件/Z1026	1	115.5	16.5	warning	校正价16.5
美容科	24	1611177	器械包-8件（筐1）件/w9050	1	49.5	49.5	warning	special_only 未命中特色规则
美容科	25	1611875	排针-12/Z7526	1	66.0	13.5	warning	校正价13.5
美容科	26	1611875	排针20/Z1026	7	110.0	13.5	warning	校正价13.5
美容科	26	1611875	排针20/Z1026	7	110.0	13.5	warning	校正价13.5
美容科	27	1611875	器械包-15件（筐1）件/w9050	1	93.5	93.5	warning	special_only 未命中特色规则
美容科	28	1612425	剪刀-1/Z1026	2	8.0	8.0	warning	special_only 未命中特色规则
美容科	29	1612425	镊子-1/z7526	1	8.0	8.0	warning	special_only 未命中特色规则
美容科	30	1612425	排针20/Z1026	3	110.0	13.5	warning	校正价13.5
美容科	30	1612425	排针20/Z1026	3	110.0	13.5	warning	校正价13.5
美容科	31	1612425	排针22件/Z1026	1	121.0	16.5	warning	校正价16.5
美容科	31	1612425	排针22件/Z1026	1	121.0	16.5	warning	校正价16.5
美容科	32	1612425	器械包-3件（筐1）/w9050	1	22.0	22.0	warning	special_only 未命中特色规则
美容科	33	1613182	排针34件/Z1026	2	187.0	22.0	warning	校正价22.0
美容科	33	1613182	排针34件/Z1026	2	187.0	22.0	warning	校正价22.0
美容科	34	1613182	器械包-6件/w9050	1	33.0	33.0	warning	special_only 未命中特色规则
美容科	35	1614154	剪刀-1/Z1026	4	8.0	8.0	warning	special_only 未命中特色规则
美容科	36	1614154	镊子-1/z7526	5	8.0	8.0	warning	special_only 未命中特色规则
美容科	37	1614154	排针30件/Z1026	1	167.5	16.5	warning	校正价16.5
美容科	38	1614154	排针35件/Z1026	1	192.5	22.0	warning	校正价22.0
美容科	38	1614154	排针35件/Z1026	1	192.5	22.0	warning	校正价22.0
美容科	39	1614154	止血钳-1/z1029	1	8.0	8.0	warning	special_only 未命中特色规则
美容科	40	1614899	剪刀-3/z1530	1	22.0	22.0	warning	special_only 未命中特色规则
美容科	41	1614899	镊子1止血钳2/z1526	1	22.0	22.0	warning	special_only 未命中特色规则
美容科	42	1614899	排针-28/Z1026	1	154.0	16.5	warning	校正价16.5
美容科	42	1614899	排针-28/Z1026	1	154.0	16.5	warning	校正价16.5
美容科	43	1614899	排针30件/Z1026	2	167.5	16.5	warning	校正价16.5
美容科	44	1615589	排针21/Z1026	1	115.5	16.5	warning	校正价16.5
美容科	44	1615589	排针21/Z1026	1	115.5	16.5	warning	校正价16.5
美容科	45	1615589	排针30件/Z1026	2	167.5	16.5	warning	校正价16.5
美容科	46	1616099	排针-28/Z1026	1	154.0	16.5	warning	校正价16.5
美容科	46	1616099	排针-28/Z1026	1	154.0	16.5	warning	校正价16.5
美容科	47	1616099	排针30件/Z1026	2	167.5	16.5	warning	校正价16.5
肛肠科	9	1611179	镊子-37件/w6050	1	203.5	203.5	warning	special_only 未命中特色规则
肛肠科	10	1615566	镊子-33件/w6050	1	181.5	181.5	warning	special_only 未命中特色规则
肾五科	9	1611178	镊子缸-2/W6050	2	16.5	16.5	warning	special_only 未命中特色规则
透析科	9	1611874	持针器-1/Z1026	1	8.0	8.0	warning	special_only 未命中特色规则
针三科	9	1609062	松筋针-1/Z1035	2	8.0	8.0	warning	special_only 未命中特色规则
针三科	10	1611182	棉球/Z3040	39	4.0	4.0	warning	敷料包(纸塑袋)+棉球——未识别规格
