月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
3月,外二肛肠二科,多余行,镊子-22件/w6050,1587154,整行,,1.0/121.0/121.0,,9,
3月,外二肛肠二科,多余行,镊子-21件/w6050,1589233,整行,,1.0/115.5/115.5,,10,
3月,妇科,字段不一致-单价,弯盘-1/Z2032,1587151,单价,0.0,13.0,14,13,
3月,妇科,字段不一致-总价,弯盘-1/Z2032,1587151,总价,0.0,13.0,14,13,
3月,妇科,字段不一致-单价,弯盘-1/Z2032,1589229,单价,0.0,13.0,20,19,
3月,妇科,字段不一致-总价,弯盘-1/Z2032,1589229,总价,0.0,26.0,20,19,
3月,妇科,汇总不一致-总价,妇科,,总价,1174.0,1213.0,11,10,
3月,手术室,字段不一致-单价,弯盘-1/Z2032,1587153,单价,0.0,13.0,12,12,
3月,手术室,字段不一致-总价,弯盘-1/Z2032,1587153,总价,0.0,26.0,12,12,
3月,手术室,字段不一致-单价,弯盘-1/Z2032,1588462,单价,0.0,13.0,17,17,
3月,手术室,字段不一致-总价,弯盘-1/Z2032,1588462,总价,0.0,39.0,17,17,
3月,手术室,字段不一致-单价,弯盘-1/Z2032,1589232,单价,0.0,13.0,22,22,
3月,手术室,字段不一致-总价,弯盘-1/Z2032,1589232,总价,0.0,13.0,22,22,
3月,手术室,汇总不一致-总价,手术室,,总价,647.5,725.5,8,8,
3月,美容科,字段不一致-单价,排针20/W6050,1586504,单价,110.0,16.5,9,9,原始按器械数×基础单价(110)计费；处理后按标准价(16.5)计费
3月,美容科,字段不一致-总价,排针20/W6050,1586504,总价,110.0,16.5,9,9,原始按器械数×基础单价(110)计费；处理后按标准价(16.5)计费
3月,美容科,字段不一致-单价,器械包-115件（筐1）/W9050,1586504,单价,638.0,143.0,10,10,原始按器械数×基础单价(638)计费；处理后按标准价(143)计费
3月,美容科,字段不一致-总价,器械包-115件（筐1）/W9050,1586504,总价,638.0,143.0,10,10,原始按器械数×基础单价(638)计费；处理后按标准价(143)计费
3月,美容科,字段不一致-单价,排针-30/w6050,1587152,单价,165.0,16.5,12,12,原始按器械数×基础单价(165)计费；处理后按标准价(16.5)计费
