科室,原始行,发货单号,包名,包数,原单价,处理后单价,原总价,处理后总价,规则覆盖,匹配规则,说明
外科,9,1609431,持针器-1/z1029,4.0,8.0,3.0,32.0,12.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
外科,10,1609431,剪刀-1/Z1029,7.0,8.0,3.0,56.0,21.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
外科,11,1609431,止血钳-1/Z1026,13.0,8.0,3.0,104.0,39.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
外科,12,1609431,敷料,1.0,15.0,6.5,15.0,6.5,needs_engine_verify,待 PricingEngine 验证默认规则,
外科,13,1613196,持针器-1/z1029,2.0,8.0,3.0,16.0,6.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
外科,14,1613196,剪刀-1/Z1029,6.0,8.0,3.0,48.0,18.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
外科,15,1613196,镊子-1/Z7530,3.0,8.0,3.0,24.0,9.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
外科,16,1613196,止血钳-1/Z1026,7.0,8.0,3.0,56.0,21.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
外科,17,1613203,止血钳-1/Z1026,1.0,8.0,3.0,8.0,3.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
妇科门诊,12,1609430,剪刀-1/Z1029,1.0,8.0,3.0,8.0,3.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
妇科门诊,13,1609430,取环包-10件/W6050,1.0,55.0,30.0,55.0,30.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(55)计费；处理后按标准价(30)计费
妇科门诊,14,1609430,取环包-11件/W6050,1.0,60.5,33.0,60.5,33.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(60.5)计费；处理后按标准价(33)计费
妇科门诊,15,1610360,取环包-11件/W6050,1.0,60.5,33.0,60.5,33.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(60.5)计费；处理后按标准价(33)计费
妇科门诊,16,1612761,取环包-10件/W6050,1.0,55.0,30.0,55.0,30.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(55)计费；处理后按标准价(30)计费
妇科门诊,17,1612761,棉球/z1526,16.0,2.5,2.0,40.0,32.0,needs_engine_verify,待 PricingEngine 验证默认规则,
妇科门诊,18,1615725,长弯-1/z1029,1.0,8.0,3.0,8.0,3.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
妇科门诊,19,1615725,卵圆钳-1/Z1029,1.0,8.0,3.0,8.0,3.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
妇科门诊,20,1615725,取环包-10件/W6050,1.0,55.0,30.0,55.0,30.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(55)计费；处理后按标准价(30)计费
妇科门诊,21,1615725,取环包-11件/W6050,3.0,60.5,33.0,181.5,99.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(60.5)计费；处理后按标准价(33)计费
手术室,9,1610361,弯盘-1/z2032,4.0,13.0,3.0,52.0,12.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(13)计费；处理后按标准价(3)计费
手术室,10,1610361,敷料包,1.0,15.0,6.5,15.0,6.5,needs_engine_verify,待 PricingEngine 验证默认规则,
手术室,11,1610361,持物钳罐-2/持物钳放外面W6050,1.0,16.5,6.0,16.5,6.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(16.5)计费；处理后按标准价(6)计费
手术室,12,1610361,阑尾器械-41件（筐1）/W12050,1.0,231.0,126.0,231.0,126.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(231)计费；处理后按标准价(126)计费
手术室,13,1610361,盆-1 /W6050,2.0,16.5,3.0,33.0,6.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(16.5)计费；处理后按标准价(3)计费
手术室,14,1610361,外伤包-10件/W7050,1.0,55.0,30.0,55.0,30.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(55)计费；处理后按标准价(30)计费
美容科,9,1608668,持针器-1/z1029,8.0,8.0,3.0,64.0,24.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
美容科,10,1608668,剪刀小-1/Z1026,9.0,8.0,3.0,72.0,27.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
美容科,11,1608668,美容包-3件/Z1526,3.0,16.5,9.0,49.5,27.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(16.5)计费；处理后按标准价(9)计费
美容科,12,1608668,止血钳-1/Z1026,3.0,8.0,3.0,24.0,9.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
美容科,13,1608668,美容包-6件/W6050,1.0,33.0,18.0,33.0,18.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(33)计费；处理后按标准价(18)计费
美容科,14,1608711,美容包-3件/Z1526,4.0,16.5,9.0,66.0,36.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(16.5)计费；处理后按标准价(9)计费
美容科,15,1612760,美容小包-3件/Z1526,4.0,16.5,9.0,66.0,36.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(16.5)计费；处理后按标准价(9)计费
美容科,16,1612760,止血钳-4件/Z1526,1.0,22.0,12.0,22.0,12.0,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(22)计费；处理后按标准价(12)计费
美容科,17,1612760,棉球/z1526,7.0,2.5,2.0,17.5,14.0,needs_engine_verify,待 PricingEngine 验证默认规则,
