sheet	row	orderNo	packName	packCount	unitPrice	ruleUnit	status	pricingRule
外科	9	1609431	持针器-1/z1029	4	8.0	3.0	warning	校正价3.0
外科	10	1609431	剪刀-1/Z1029	7	8.0	3.0	warning	校正价3.0
外科	11	1609431	止血钳-1/Z1026	13	8.0	3.0	warning	校正价3.0
外科	12	1609431	敷料	1	15.0	6.5	warning	校正价6.5
外科	13	1613196	持针器-1/z1029	2	8.0	3.0	warning	校正价3.0
外科	14	1613196	剪刀-1/Z1029	6	8.0	3.0	warning	校正价3.0
外科	15	1613196	镊子-1/Z7530	3	8.0	3.0	warning	校正价3.0
外科	16	1613196	止血钳-1/Z1026	7	8.0	3.0	warning	校正价3.0
外科	17	1613203	止血钳-1/Z1026	1	8.0	3.0	warning	校正价3.0
妇科门诊	12	1609430	剪刀-1/Z1029	1	8.0	3.0	warning	校正价3.0
妇科门诊	13	1609430	取环包-10件/W6050	1	55.0	30.0	warning	校正价30.0
妇科门诊	14	1609430	取环包-11件/W6050	1	60.5	33.0	warning	校正价33.0
妇科门诊	15	1610360	取环包-11件/W6050	1	60.5	33.0	warning	校正价33.0
妇科门诊	16	1612761	取环包-10件/W6050	1	55.0	30.0	warning	校正价30.0
妇科门诊	17	1612761	棉球/z1526	16	2.5	2.0	warning	校正价2.0
妇科门诊	18	1615725	长弯-1/z1029	1	8.0	3.0	warning	校正价3.0
妇科门诊	19	1615725	卵圆钳-1/Z1029	1	8.0	3.0	warning	校正价3.0
妇科门诊	20	1615725	取环包-10件/W6050	1	55.0	30.0	warning	校正价30.0
妇科门诊	21	1615725	取环包-11件/W6050	3	60.5	33.0	warning	校正价33.0
手术室	9	1610361	弯盘-1/z2032	4	13.0	3.0	warning	校正价3.0
手术室	10	1610361	敷料包	1	15.0	6.5	warning	校正价6.5
手术室	11	1610361	持物钳罐-2/持物钳放外面W6050	1	16.5	6.0	warning	校正价6.0
手术室	12	1610361	阑尾器械-41件（筐1）/W12050	1	231.0	126.0	warning	校正价126.0
手术室	13	1610361	盆-1 /W6050	2	16.5	3.0	warning	校正价3.0
手术室	14	1610361	外伤包-10件/W7050	1	55.0	30.0	warning	校正价30.0
美容科	9	1608668	持针器-1/z1029	8	8.0	3.0	warning	校正价3.0
美容科	10	1608668	剪刀小-1/Z1026	9	8.0	3.0	warning	校正价3.0
美容科	11	1608668	美容包-3件/Z1526	3	16.5	9.0	warning	校正价9.0
美容科	12	1608668	止血钳-1/Z1026	3	8.0	3.0	warning	校正价3.0
美容科	13	1608668	美容包-6件/W6050	1	33.0	18.0	warning	校正价18.0
美容科	14	1608711	美容包-3件/Z1526	4	16.5	9.0	warning	校正价9.0
美容科	15	1612760	美容小包-3件/Z1526	4	16.5	9.0	warning	校正价9.0
美容科	16	1612760	止血钳-4件/Z1526	1	22.0	12.0	warning	校正价12.0
美容科	17	1612760	棉球/z1526	7	2.5	2.0	warning	校正价2.0
