月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
4月,外科,字段不一致-单价,剪刀-1/Z1029,1593865,单价,8.0,3.0,9,9,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
4月,外科,字段不一致-总价,剪刀-1/Z1029,1593865,总价,24.0,9.0,9,9,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
4月,外科,字段不一致-单价,止血钳-1/Z1026,1593865,单价,8.0,3.0,10,10,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
4月,外科,字段不一致-总价,止血钳-1/Z1026,1593865,总价,64.0,24.0,10,10,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
4月,外科,字段不一致-单价,持针器-1/z1029,1597645,单价,8.0,3.0,11,11,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
4月,外科,字段不一致-总价,持针器-1/z1029,1597645,总价,88.0,33.0,11,11,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
4月,外科,字段不一致-单价,止血钳-1/Z1026,1597645,单价,8.0,3.0,12,12,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
4月,外科,字段不一致-总价,止血钳-1/Z1026,1597645,总价,56.0,21.0,12,12,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
4月,外科,字段不一致-单价,敷料,1597645,单价,15.0,6.5,13,13,
4月,外科,字段不一致-总价,敷料,1597645,总价,15.0,6.5,13,13,
4月,外科,汇总不一致-总价,外科,,总价,247.0,93.5,8,8,
4月,妇科门诊,字段不一致-单价,4.5号扩棒-1/Z7526,1594417,单价,8.0,3.0,12,11,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
4月,妇科门诊,字段不一致-总价,4.5号扩棒-1/Z7526,1594417,总价,16.0,6.0,12,11,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
4月,妇科门诊,字段不一致-单价,4号扩棒-1/Z7526,1594417,单价,8.0,3.0,13,12,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
4月,妇科门诊,字段不一致-总价,4号扩棒-1/Z7526,1594417,总价,8.0,3.0,13,12,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
4月,妇科门诊,字段不一致-单价,5.5号扩棒-1/Z7526,1594417,单价,8.0,3.0,14,13,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
4月,妇科门诊,字段不一致-总价,5.5号扩棒-1/Z7526,1594417,总价,8.0,3.0,14,13,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
4月,妇科门诊,字段不一致-单价,宫颈钳-1/z1535,1594417,单价,11.0,3.0,15,14,原始按器械数×基础单价(11)计费；处理后按标准价(3)计费
4月,妇科门诊,字段不一致-总价,宫颈钳-1/z1535,1594417,总价,11.0,3.0,15,14,原始按器械数×基础单价(11)计费；处理后按标准价(3)计费
4月,妇科门诊,字段不一致-单价,活检钳-1/Z1535,1594417,单价,16.5,3.0,16,15,原始按器械数×基础单价(16.5)计费；处理后按标准价(3)计费
4月,妇科门诊,字段不一致-总价,活检钳-1/Z1535,1594417,总价,16.5,3.0,16,15,原始按器械数×基础单价(16.5)计费；处理后按标准价(3)计费
4月,妇科门诊,字段不一致-单价,剪刀-1/Z1029,1594417,单价,8.0,3.0,17,16,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
4月,妇科门诊,字段不一致-总价,剪刀-1/Z1029,1594417,总价,16.0,6.0,17,16,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
4月,妇科门诊,字段不一致-单价,扩棒8.5-1/Z7526,1594417,单价,8.0,3.0,18,17,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
4月,妇科门诊,字段不一致-总价,扩棒8.5-1/Z7526,1594417,总价,8.0,3.0,18,17,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
4月,妇科门诊,字段不一致-单价,扩棒8号-1/Z7526,1594417,单价,8.0,3.0,19,18,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
4月,妇科门诊,字段不一致-总价,扩棒8号-1/Z7526,1594417,总价,16.0,6.0,19,18,原始按器械数×基础单价(8)计费；处理后按标准价(3)计费
