科室,行号,发货单号,包名,包数,原单价,系统规则单价,差额,规则,类型
手术室(一区),21,1608708,腹腔镜包,1.0,154.0,28.0,-126.0,腔镜包整包价,器械包
手术室(一区),48,1608762,王树人特器-1件/z2060,1.0,22.4,328.0,305.6,王树人特器w12050,额外包(ETO)
手术室(一区),52,1609081,腹腔镜包,2.0,154.0,28.0,-252.0,腔镜包整包价,器械包
手术室(一区),89,1609422,腹腔镜包,1.0,154.0,28.0,-126.0,腔镜包整包价,器械包
手术室(一区),120,1609801,腹腔镜包,3.0,154.0,28.0,-378.0,腔镜包整包价,器械包
手术室(一区),147,1610029,腹腔镜包,1.0,154.0,28.0,-126.0,腔镜包整包价,器械包
手术室(一区),149,1610032,保温杯-1件/z2045,1.0,22.4,17.58,-4.82,低温袋10cm,额外包(低温等离子)
手术室(一区),160,1610416,腹腔镜包,3.0,154.0,28.0,-378.0,腔镜包整包价,器械包
手术室(一区),178,1610470,王树人特器-1/z7520,1.0,17.6,328.0,310.4,王树人特器w12050,额外包(低温等离子)
手术室(一区),190,1610849,腹腔镜包,2.0,154.0,28.0,-252.0,腔镜包整包价,器械包
手术室(一区),216,1610881,王树人特器-1件/z2060,1.0,22.4,328.0,305.6,王树人特器w12050,额外包(ETO)
手术室(一区),221,1611153,腹腔镜包,1.0,154.0,28.0,-126.0,腔镜包整包价,器械包
手术室(一区),274,1611894,腹腔镜包,4.0,154.0,28.0,-504.0,腔镜包整包价,器械包
手术室(一区),310,1612351,腹腔镜包,1.0,154.0,28.0,-126.0,腔镜包整包价,器械包
手术室(一区),316,1612420,腹腔镜包,1.0,154.0,28.0,-126.0,腔镜包整包价,器械包
手术室(一区),338,1612471,王树人特器-1件/z2060,1.0,22.4,328.0,305.6,王树人特器w12050,额外包(ETO)
手术室(一区),343,1612802,腹腔镜包,1.0,154.0,28.0,-126.0,腔镜包整包价,器械包
手术室(一区),366,1613222,腹腔镜包,1.0,154.0,28.0,-126.0,腔镜包整包价,器械包
手术室(一区),386,1613594,腹腔镜包,2.0,154.0,28.0,-252.0,腔镜包整包价,器械包
手术室(一区),409,1614522,腹腔镜包,4.0,154.0,28.0,-504.0,腔镜包整包价,器械包
手术室(一区),415,1614566,腹腔镜包,1.0,154.0,28.0,-126.0,腔镜包整包价,器械包
手术室(一区),460,1615301,腹腔镜包,2.0,154.0,28.0,-252.0,腔镜包整包价,器械包
手术室(一区),495,1615431,保温杯-1件/z2045,1.0,22.4,17.58,-4.82,低温袋10cm,额外包(低温等离子)
手术室(一区),510,1615606,腹腔镜包,3.0,154.0,28.0,-378.0,腔镜包整包价,器械包
手术室(一区),535,1616093,腹腔镜包,1.0,154.0,28.0,-126.0,腔镜包整包价,器械包
手术室(二区),23,1612018,腹腔镜包,1.0,154.0,28.0,-126.0,腔镜包整包价,器械包
手术室(二区),24,1612018,保温杯(高温)-1Z2044,1.0,10.4,17.58,7.18,低温袋10cm,额外包(纸塑袋)
手术室(二区),52,1613593,腹腔镜包,1.0,154.0,28.0,-126.0,腔镜包整包价,器械包
手术室(二区),54,1613593,保温杯(高温)-1Z2044,1.0,10.4,17.58,7.18,低温袋10cm,额外包(纸塑袋)
手术室(二区),69,1613752,保温杯(高温)-1Z2044,1.0,10.4,17.58,7.18,低温袋10cm,额外包(纸塑袋)
手术室(二区),78,1613754,腹腔镜包,1.0,154.0,28.0,-126.0,腔镜包整包价,器械包
