科室,行号,发货单号,包名,包数,原单价,系统规则单价,处理后单价,原总价,系统校正总价,处理后总价,匹配规则
外二,11,1608317,换药包(120布),3.0,22.6,21.99,22.0,67.8,65.97,66.0,换药包120布组合价
外二,15,1609424,换药包(120布),1.0,22.6,21.99,22.0,22.6,21.99,22.0,换药包120布组合价
外二,21,1610417,换药包(120布),3.0,22.6,21.99,22.0,67.8,65.97,66.0,换药包120布组合价
外二,24,1610851,换药包(120布),1.0,22.6,21.99,22.0,22.6,21.99,22.0,换药包120布组合价
外二,27,1611151,换药包(120布),1.0,22.6,21.99,22.0,22.6,21.99,22.0,换药包120布组合价
外二,30,1611895,换药包(120布),1.0,22.6,21.99,22.0,22.6,21.99,22.0,换药包120布组合价
外二,36,1612794,换药包(120布),1.0,22.6,21.99,22.0,22.6,21.99,22.0,换药包120布组合价
外二,43,1614190,换药包(120布),3.0,22.6,21.99,22.0,67.8,65.97,66.0,换药包120布组合价
外二,46,1614548,换药包(120布),1.0,22.6,21.99,22.0,22.6,21.99,22.0,换药包120布组合价
外二,50,1616127,换药包(120布),1.0,22.6,21.99,22.0,22.6,21.99,22.0,换药包120布组合价
手术室(一区),51,1608762,30°腹腔镜-1/z2060,1.0,28.0,30.38,30.4,28.0,30.38,30.4,30°腹腔镜组合价
手术室(一区),77,1609129,王树人特器-26（筐1）/w12050,1.0,292.8,118.8,328.0,292.8,118.8,328.0,无纺布按把4.4
手术室(一区),81,1609129,30°腹腔镜-1/z2060,2.0,28.0,30.38,30.4,56.0,60.76,60.8,30°腹腔镜组合价
手术室(一区),116,1609519,30°腹腔镜-1/z2060,1.0,28.0,30.38,30.4,28.0,30.38,30.4,30°腹腔镜组合价
手术室(一区),146,1609899,30°腹腔镜-1/z2060,1.0,28.0,30.38,30.4,28.0,30.38,30.4,30°腹腔镜组合价
手术室(一区),189,1610480,30°腹腔镜-1/z2060,1.0,28.0,30.38,30.4,28.0,30.38,30.4,30°腹腔镜组合价
手术室(一区),219,1610881,30°腹腔镜-1/z2060,1.0,28.0,30.38,30.4,28.0,30.38,30.4,30°腹腔镜组合价
手术室(一区),290,1611940,张景欣特器-10盒1/w12050,1.0,44.0,39.6,132.0,44.0,39.6,132.0,无纺布按把4.4
手术室(一区),309,1611980,30°腹腔镜-1/z2060,1.0,28.0,30.38,30.4,28.0,30.38,30.4,30°腹腔镜组合价
手术室(一区),404,1613636,30°腹腔镜-1/z2060,1.0,28.0,30.38,30.4,28.0,30.38,30.4,30°腹腔镜组合价
手术室(一区),442,1614612,30°腹腔镜-1/z2060,2.0,28.0,30.38,30.4,56.0,60.76,60.8,30°腹腔镜组合价
手术室(一区),494,1615360,30°腹腔镜-1/z2060,2.0,28.0,30.38,30.4,56.0,60.76,60.8,30°腹腔镜组合价
手术室(二区),95,1615711,辅料包,2.0,0.0,4.4,28.0,0.0,8.8,56.0,无纺布按把4.4
手术室(二区),96,1615711,孔巾包,10.0,0.0,4.4,28.0,0.0,44.0,280.0,无纺布按把4.4
手术室(二区),97,1615711,腔镜包,8.0,0.0,4.4,28.0,0.0,35.2,224.0,无纺布按把4.4
