科室,行号,发货单号,包名,包数,原单价,处理后单价,原总价,处理后总价
手术室(一区),383,1613270,膀胱取石钳-1/z1560,1.0,8.8,20.0,8.8,20.0
手术室(一区),393,1613636,保温杯-1Z2044,2.0,10.4,17.6,20.8,35.2
手术室(一区),427,1614612,保温杯-1Z2044,4.0,10.4,17.6,41.6,70.4
手术室(一区),480,1615360,保温杯-1Z2044,2.0,10.4,17.6,20.8,35.2
手术室(一区),518,1615681,膀胱取石钳-1/z1560,1.0,8.8,20.0,8.8,20.0
手术室(一区),519,1615681,保温杯-1Z2044,2.0,10.4,17.6,20.8,35.2
手术室(一区),546,1616194,保温杯-1Z2044,1.0,10.4,17.6,10.4,17.6
眼科门诊手术室（一）,9,1610421,球内注药-3件/Z1526,8.0,17.6,13.2,140.8,105.6
眼科门诊手术室（一）,11,1612795,球内注药-3件/Z1526,9.0,17.6,13.2,158.4,118.8
眼科门诊手术室（一）,12,1615608,球内注药-3件/Z1020,15.0,15.2,13.2,228.0,198.0
眼科门诊手术室（二）,9,1609084,球内注药-3件/Z1526,4.0,17.6,13.2,70.4,52.8
眼科门诊手术室（二）,10,1610420,球内注药-3件/Z1526,3.0,17.6,13.2,52.8,39.6
眼科门诊手术室（二）,14,1611544,球内注药-3件/Z1526,1.0,17.6,13.2,17.6,13.2
眼科门诊手术室（二）,18,1612415,球内注药-3件/Z1526,4.0,17.6,13.2,70.4,52.8
眼科门诊手术室（二）,22,1614547,球内注药-3件/Z1020,5.0,15.2,13.2,76.0,66.0
眼科门诊手术室（二）,27,1615303,球内注药-3件/Z1020,5.0,15.2,13.2,76.0,66.0
耳鼻喉病房,24,1609825,冲洗头-120/z2030,1.0,328.0,310.4,328.0,310.4
耳鼻喉病房,48,1611938,冲洗头-79/z2030,1.0,202.4,220.0,202.4,220.0
耳鼻喉病房,74,1614226,冲洗头-82/Z2030,1.0,202.4,237.6,202.4,237.6
耳鼻喉病房,98,1616170,橄榄头-102/z2030,1.0,275.2,257.6,275.2,257.6
