科室,行号,发货单号,包名,包数,原单价,系统规则单价,原总价,系统校正总价,差额,匹配规则,类型
介入科,11,1610412,静脉包,1.0,105.6,101.2,105.6,101.2,-4.4,无纺布按把4.4,器械包(ZSD)
介入科,12,1610412,持物钳罐-2/w6050,1.0,13.2,8.8,13.2,8.8,-4.4,无纺布按把4.4,额外包(无纺布)
妇二,17,1608704,持物钳罐-2/w6050,1.0,13.2,8.8,13.2,8.8,-4.4,无纺布按把4.4,额外包(无纺布)
妇二,21,1609409,持物钳罐-2/w6050,1.0,13.2,8.8,13.2,8.8,-4.4,无纺布按把4.4,额外包(无纺布)
妇二,30,1610405,持物钳罐-2/w6050,1.0,13.2,8.8,13.2,8.8,-4.4,无纺布按把4.4,额外包(无纺布)
妇二,36,1610841,持物钳罐-2/w6050,1.0,13.2,8.8,13.2,8.8,-4.4,无纺布按把4.4,额外包(无纺布)
妇二,46,1611888,持物钳罐-2/w6050,1.0,13.2,8.8,13.2,8.8,-4.4,无纺布按把4.4,额外包(无纺布)
妇二,56,1612800,持物钳罐-2/w6050,1.0,13.2,8.8,13.2,8.8,-4.4,无纺布按把4.4,额外包(无纺布)
妇二,65,1613591,持物钳罐-2/w6050,1.0,13.2,8.8,13.2,8.8,-4.4,无纺布按把4.4,额外包(无纺布)
妇二,78,1614544,持物钳罐-2/w6050,1.0,13.2,8.8,13.2,8.8,-4.4,无纺布按把4.4,额外包(无纺布)
妇科门诊,10,1609411,镊子缸-2/w6050,1.0,13.2,8.8,13.2,8.8,-4.4,无纺布按把4.4,额外包(无纺布)
手术室(一区),31,1608708,咬钉器-1/w9050,1.0,13.2,4.4,13.2,4.4,-8.8,无纺布按把4.4,额外包(无纺布)
手术室(一区),65,1609081,咬骨钳1 咬骨剪1/w6050,1.0,13.2,8.8,13.2,8.8,-4.4,无纺布按把4.4,额外包(无纺布)
手术室(一区),69,1609129,间盘镜镜头-1件（盒1）/w12050,2.0,28.0,4.4,56.0,8.8,-47.2,无纺布按把4.4,额外包(ETO)
手术室(一区),70,1609129,间盘镜特器-18件（筐1）/w12050,1.0,240.0,79.2,240.0,79.2,-160.8,无纺布按把4.4,额外包(ETO)
手术室(一区),82,1609129,间盘镜镜头-1/w12050,1.0,28.0,4.4,28.0,4.4,-23.6,无纺布按把4.4,单包装包(EO)
手术室(一区),88,1609359,眼科包敷料/W15050,2.0,28.0,4.4,56.0,8.8,-47.2,无纺布按把4.4,敷料包(无纺布包)
手术室(一区),108,1609519,间盘镜镜头-1件（盒1）/w12050,2.0,28.0,4.4,56.0,8.8,-47.2,无纺布按把4.4,额外包(ETO)
手术室(一区),117,1609754,敷料/W15050,1.0,28.0,4.4,28.0,4.4,-23.6,无纺布按把4.4,敷料包(无纺布包)
手术室(一区),118,1609754,手术衣/W15050,1.0,28.0,4.4,28.0,4.4,-23.6,无纺布按把4.4,敷料包(无纺布包)
手术室(一区),119,1609754,眼科包敷料/W15050,3.0,28.0,4.4,84.0,13.2,-70.8,无纺布按把4.4,敷料包(无纺布包)
手术室(一区),136,1609899,胆道镜-6(筐1)/w12050,1.0,240.0,26.4,240.0,26.4,-213.6,无纺布按把4.4,额外包(ETO)
