科室,原始行,发货单号,包名,包数,原单价,处理后单价,原总价,处理后总价,规则覆盖,匹配规则,说明
外二,11,1608317,换药包(120布),3.0,22.6,22.0,67.8,66.0,special_rule,换药包120布组合价,原始按器械数×基础单价(22.6)计费；处理后按标准价(22)计费
外二,15,1609424,换药包(120布),1.0,22.6,22.0,22.6,22.0,special_rule,换药包120布组合价,原始按器械数×基础单价(22.6)计费；处理后按标准价(22)计费
外二,21,1610417,换药包(120布),3.0,22.6,22.0,67.8,66.0,special_rule,换药包120布组合价,原始按器械数×基础单价(22.6)计费；处理后按标准价(22)计费
外二,24,1610851,换药包(120布),1.0,22.6,22.0,22.6,22.0,special_rule,换药包120布组合价,原始按器械数×基础单价(22.6)计费；处理后按标准价(22)计费
外二,27,1611151,换药包(120布),1.0,22.6,22.0,22.6,22.0,special_rule,换药包120布组合价,原始按器械数×基础单价(22.6)计费；处理后按标准价(22)计费
外二,30,1611895,换药包(120布),1.0,22.6,22.0,22.6,22.0,special_rule,换药包120布组合价,原始按器械数×基础单价(22.6)计费；处理后按标准价(22)计费
外二,36,1612794,换药包(120布),1.0,22.6,22.0,22.6,22.0,special_rule,换药包120布组合价,原始按器械数×基础单价(22.6)计费；处理后按标准价(22)计费
外二,43,1614190,换药包(120布),3.0,22.6,22.0,67.8,66.0,special_rule,换药包120布组合价,原始按器械数×基础单价(22.6)计费；处理后按标准价(22)计费
外二,46,1614548,换药包(120布),1.0,22.6,22.0,22.6,22.0,special_rule,换药包120布组合价,原始按器械数×基础单价(22.6)计费；处理后按标准价(22)计费
外二,50,1616127,换药包(120布),1.0,22.6,22.0,22.6,22.0,special_rule,换药包120布组合价,原始按器械数×基础单价(22.6)计费；处理后按标准价(22)计费
手术室(一区),51,1608762,30°腹腔镜-1/z2060,1.0,28.0,30.4,28.0,30.4,special_rule,30°腹腔镜组合价,原始按器械数×基础单价(28)计费；处理后按标准价(30.4)计费
手术室(一区),77,1609129,王树人特器-26（筐1）/w12050,1.0,292.8,328.0,292.8,328.0,special_rule,王树人特器w12050,原始按器械数×基础单价(292.8)计费；处理后按标准价(328)计费
手术室(一区),81,1609129,30°腹腔镜-1/z2060,2.0,28.0,30.4,56.0,60.8,special_rule,30°腹腔镜组合价,原始按器械数×基础单价(28)计费；处理后按标准价(30.4)计费
手术室(一区),116,1609519,30°腹腔镜-1/z2060,1.0,28.0,30.4,28.0,30.4,special_rule,30°腹腔镜组合价,原始按器械数×基础单价(28)计费；处理后按标准价(30.4)计费
手术室(一区),146,1609899,30°腹腔镜-1/z2060,1.0,28.0,30.4,28.0,30.4,special_rule,30°腹腔镜组合价,原始按器械数×基础单价(28)计费；处理后按标准价(30.4)计费
手术室(一区),189,1610480,30°腹腔镜-1/z2060,1.0,28.0,30.4,28.0,30.4,special_rule,30°腹腔镜组合价,原始按器械数×基础单价(28)计费；处理后按标准价(30.4)计费
手术室(一区),219,1610881,30°腹腔镜-1/z2060,1.0,28.0,30.4,28.0,30.4,special_rule,30°腹腔镜组合价,原始按器械数×基础单价(28)计费；处理后按标准价(30.4)计费
手术室(一区),290,1611940,张景欣特器-10盒1/w12050,1.0,44.0,132.0,44.0,132.0,special_rule,张景欣特器w12050,原始按器械数×基础单价(44)计费；处理后按标准价(132)计费
手术室(一区),309,1611980,30°腹腔镜-1/z2060,1.0,28.0,30.4,28.0,30.4,special_rule,30°腹腔镜组合价,原始按器械数×基础单价(28)计费；处理后按标准价(30.4)计费
手术室(一区),383,1613270,膀胱取石钳-1/z1560,1.0,8.8,20.0,8.8,20.0,special_rule,低温袋15cm,原始按器械数×基础单价(8.8)计费；处理后按标准价(20)计费
手术室(一区),393,1613636,保温杯-1Z2044,2.0,10.4,17.6,20.8,35.2,special_rule,保温杯-1Z2044,原始按器械数×基础单价(10.4)计费；处理后按标准价(17.6)计费
手术室(一区),404,1613636,30°腹腔镜-1/z2060,1.0,28.0,30.4,28.0,30.4,special_rule,30°腹腔镜组合价,原始按器械数×基础单价(28)计费；处理后按标准价(30.4)计费
手术室(一区),427,1614612,保温杯-1Z2044,4.0,10.4,17.6,41.6,70.4,special_rule,保温杯-1Z2044,原始按器械数×基础单价(10.4)计费；处理后按标准价(17.6)计费
手术室(一区),442,1614612,30°腹腔镜-1/z2060,2.0,28.0,30.4,56.0,60.8,special_rule,30°腹腔镜组合价,原始按器械数×基础单价(28)计费；处理后按标准价(30.4)计费
手术室(一区),480,1615360,保温杯-1Z2044,2.0,10.4,17.6,20.8,35.2,special_rule,保温杯-1Z2044,原始按器械数×基础单价(10.4)计费；处理后按标准价(17.6)计费
手术室(一区),494,1615360,30°腹腔镜-1/z2060,2.0,28.0,30.4,56.0,60.8,special_rule,30°腹腔镜组合价,原始按器械数×基础单价(28)计费；处理后按标准价(30.4)计费
手术室(一区),518,1615681,膀胱取石钳-1/z1560,1.0,8.8,20.0,8.8,20.0,special_rule,低温袋15cm,原始按器械数×基础单价(8.8)计费；处理后按标准价(20)计费
手术室(一区),519,1615681,保温杯-1Z2044,2.0,10.4,17.6,20.8,35.2,special_rule,保温杯-1Z2044,原始按器械数×基础单价(10.4)计费；处理后按标准价(17.6)计费
手术室(一区),546,1616194,保温杯-1Z2044,1.0,10.4,17.6,10.4,17.6,special_rule,保温杯-1Z2044,原始按器械数×基础单价(10.4)计费；处理后按标准价(17.6)计费
手术室(二区),95,1615711,辅料包,2.0,0.0,28.0,0.0,56.0,special_rule,辅料包整包价,
手术室(二区),96,1615711,孔巾包,10.0,0.0,28.0,0.0,280.0,special_rule,孔巾包整包价,
手术室(二区),97,1615711,腔镜包,8.0,0.0,28.0,0.0,224.0,special_rule,腔镜包整包价,
眼科门诊手术室（一）,9,1610421,球内注药-3件/Z1526,8.0,17.6,13.2,140.8,105.6,special_rule,球内注药3件最低把价,原始按器械数×基础单价(17.6)计费；处理后按标准价(13.2)计费
眼科门诊手术室（一）,11,1612795,球内注药-3件/Z1526,9.0,17.6,13.2,158.4,118.8,special_rule,球内注药3件最低把价,原始按器械数×基础单价(17.6)计费；处理后按标准价(13.2)计费
眼科门诊手术室（一）,12,1615608,球内注药-3件/Z1020,15.0,15.2,13.2,228.0,198.0,special_rule,球内注药3件最低把价,原始按器械数×基础单价(15.2)计费；处理后按标准价(13.2)计费
眼科门诊手术室（二）,9,1609084,球内注药-3件/Z1526,4.0,17.6,13.2,70.4,52.8,special_rule,球内注药3件最低把价,原始按器械数×基础单价(17.6)计费；处理后按标准价(13.2)计费
眼科门诊手术室（二）,10,1610420,球内注药-3件/Z1526,3.0,17.6,13.2,52.8,39.6,special_rule,球内注药3件最低把价,原始按器械数×基础单价(17.6)计费；处理后按标准价(13.2)计费
眼科门诊手术室（二）,14,1611544,球内注药-3件/Z1526,1.0,17.6,13.2,17.6,13.2,special_rule,球内注药3件最低把价,原始按器械数×基础单价(17.6)计费；处理后按标准价(13.2)计费
眼科门诊手术室（二）,18,1612415,球内注药-3件/Z1526,4.0,17.6,13.2,70.4,52.8,special_rule,球内注药3件最低把价,原始按器械数×基础单价(17.6)计费；处理后按标准价(13.2)计费
眼科门诊手术室（二）,22,1614547,球内注药-3件/Z1020,5.0,15.2,13.2,76.0,66.0,special_rule,球内注药3件最低把价,原始按器械数×基础单价(15.2)计费；处理后按标准价(13.2)计费
眼科门诊手术室（二）,27,1615303,球内注药-3件/Z1020,5.0,15.2,13.2,76.0,66.0,special_rule,球内注药3件最低把价,原始按器械数×基础单价(15.2)计费；处理后按标准价(13.2)计费
耳鼻喉病房,24,1609825,冲洗头-120/z2030,1.0,328.0,310.4,328.0,310.4,special_rule,冲洗头-120固定价,原始按器械数×基础单价(328)计费；处理后按标准价(310.4)计费
耳鼻喉病房,48,1611938,冲洗头-79/z2030,1.0,202.4,220.0,202.4,220.0,special_rule,冲洗头-79固定价,原始按器械数×基础单价(202.4)计费；处理后按标准价(220)计费
耳鼻喉病房,74,1614226,冲洗头-82/Z2030,1.0,202.4,237.6,202.4,237.6,special_rule,冲洗头-82固定价,原始按器械数×基础单价(202.4)计费；处理后按标准价(237.6)计费
耳鼻喉病房,98,1616170,橄榄头-102/z2030,1.0,275.2,257.6,275.2,257.6,special_rule,橄榄头-102固定价,原始按器械数×基础单价(275.2)计费；处理后按标准价(257.6)计费
