sheet	row	orderNo	packName	packCount	unitPrice	ruleUnit	status	pricingRule
外二	11	1608317	换药包(120布)	3	22.6	21.99	warning	换药包120布组合价
外二	15	1609424	换药包(120布)	1	22.6	21.99	warning	换药包120布组合价
外二	21	1610417	换药包(120布)	3	22.6	21.99	warning	换药包120布组合价
外二	24	1610851	换药包(120布)	1	22.6	21.99	warning	换药包120布组合价
外二	27	1611151	换药包(120布)	1	22.6	21.99	warning	换药包120布组合价
外二	30	1611895	换药包(120布)	1	22.6	21.99	warning	换药包120布组合价
外二	36	1612794	换药包(120布)	1	22.6	21.99	warning	换药包120布组合价
外二	43	1614190	换药包(120布)	3	22.6	21.99	warning	换药包120布组合价
外二	46	1614548	换药包(120布)	1	22.6	21.99	warning	换药包120布组合价
外二	50	1616127	换药包(120布)	1	22.6	21.99	warning	换药包120布组合价
手术室(一区)	51	1608762	30°腹腔镜-1/z2060	1	28.0	30.38	warning	30°腹腔镜组合价
手术室(一区)	77	1609129	王树人特器-26（筐1）/w12050	1	292.8	328.0	warning	王树人特器w12050
手术室(一区)	81	1609129	30°腹腔镜-1/z2060	2	28.0	30.38	warning	30°腹腔镜组合价
手术室(一区)	116	1609519	30°腹腔镜-1/z2060	1	28.0	30.38	warning	30°腹腔镜组合价
手术室(一区)	146	1609899	30°腹腔镜-1/z2060	1	28.0	30.38	warning	30°腹腔镜组合价
手术室(一区)	189	1610480	30°腹腔镜-1/z2060	1	28.0	30.38	warning	30°腹腔镜组合价
手术室(一区)	219	1610881	30°腹腔镜-1/z2060	1	28.0	30.38	warning	30°腹腔镜组合价
手术室(一区)	290	1611940	张景欣特器-10盒1/w12050	1	44.0	132.0	warning	张景欣特器w12050
手术室(一区)	309	1611980	30°腹腔镜-1/z2060	1	28.0	30.38	warning	30°腹腔镜组合价
手术室(一区)	383	1613270	膀胱取石钳-1/z1560	1	8.8	19.98	warning	低温袋15cm
手术室(一区)	393	1613636	保温杯-1Z2044	2	10.4	17.58	warning	保温杯-1Z2044
手术室(一区)	404	1613636	30°腹腔镜-1/z2060	1	28.0	30.38	warning	30°腹腔镜组合价
手术室(一区)	427	1614612	保温杯-1Z2044	4	10.4	17.58	warning	保温杯-1Z2044
手术室(一区)	442	1614612	30°腹腔镜-1/z2060	2	28.0	30.38	warning	30°腹腔镜组合价
手术室(一区)	480	1615360	保温杯-1Z2044	2	10.4	17.58	warning	保温杯-1Z2044
手术室(一区)	494	1615360	30°腹腔镜-1/z2060	2	28.0	30.38	warning	30°腹腔镜组合价
手术室(一区)	518	1615681	膀胱取石钳-1/z1560	1	8.8	19.98	warning	低温袋15cm
手术室(一区)	519	1615681	保温杯-1Z2044	2	10.4	17.58	warning	保温杯-1Z2044
手术室(一区)	546	1616194	保温杯-1Z2044	1	10.4	17.58	warning	保温杯-1Z2044
手术室(二区)	95	1615711	辅料包	2		28.0	warning	辅料包整包价
手术室(二区)	96	1615711	孔巾包	10		28.0	warning	孔巾包整包价
手术室(二区)	97	1615711	腔镜包	8		28.0	warning	腔镜包整包价
眼科门诊手术室（一）	9	1610421	球内注药-3件/Z1526	8	17.6	13.2	warning	球内注药3件最低把价
眼科门诊手术室（一）	11	1612795	球内注药-3件/Z1526	9	17.6	13.2	warning	球内注药3件最低把价
眼科门诊手术室（一）	12	1615608	球内注药-3件/Z1020	15	15.2	13.2	warning	球内注药3件最低把价
眼科门诊手术室（二）	9	1609084	球内注药-3件/Z1526	4	17.6	13.2	warning	球内注药3件最低把价
眼科门诊手术室（二）	10	1610420	球内注药-3件/Z1526	3	17.6	13.2	warning	球内注药3件最低把价
眼科门诊手术室（二）	14	1611544	球内注药-3件/Z1526	1	17.6	13.2	warning	球内注药3件最低把价
眼科门诊手术室（二）	18	1612415	球内注药-3件/Z1526	4	17.6	13.2	warning	球内注药3件最低把价
眼科门诊手术室（二）	22	1614547	球内注药-3件/Z1020	5	15.2	13.2	warning	球内注药3件最低把价
眼科门诊手术室（二）	27	1615303	球内注药-3件/Z1020	5	15.2	13.2	warning	球内注药3件最低把价
耳鼻喉病房	24	1609825	冲洗头-120/z2030	1	328.0	310.4	warning	冲洗头-120固定价
耳鼻喉病房	48	1611938	冲洗头-79/z2030	1	202.4	220.0	warning	冲洗头-79固定价
耳鼻喉病房	74	1614226	冲洗头-82/Z2030	1	202.4	237.6	warning	冲洗头-82固定价
耳鼻喉病房	98	1616170	橄榄头-102/z2030	1	275.2	257.6	warning	橄榄头-102固定价
