月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
1月,全部科室(汇总对比),缺失行,刮宫包,1575128,整行,1.0/66.0/66.0,,12,,
1月,全部科室(汇总对比),缺失行,棉球/Z1526,1568246,整行,29.0/2.0/58.0,,9,,
1月,全部科室(汇总对比),缺失行,上取环包,1574118,整行,3.0/48.4/145.2,,10,,
1月,全部科室(汇总对比),缺失行,纱布/Z3032,1574118,整行,2.0/3.2/6.4,,11,,
1月,全部科室(汇总对比),缺失行,穿刺架-1/z1029,1568234,整行,1.0/6.4/6.4,,9,,
1月,全部科室(汇总对比),缺失行,剪刀-1/Z1029,1568234,整行,1.0/6.4/6.4,,10,,
1月,全部科室(汇总对比),缺失行,窥器-1/Z1526,1568234,整行,1.0/8.8/8.8,,11,,
1月,全部科室(汇总对比),缺失行,卵圆钳-1/Z1535,1568234,整行,1.0/8.8/8.8,,12,,
1月,全部科室(汇总对比),缺失行,穿刺架-1/Z1030,1568291,整行,1.0/17.6/17.6,,13,,
1月,全部科室(汇总对比),缺失行,穿刺架-1/z1029,1569340,整行,1.0/6.4/6.4,,14,,
1月,全部科室(汇总对比),缺失行,剪刀-1/Z1029,1569340,整行,1.0/6.4/6.4,,15,,
1月,全部科室(汇总对比),缺失行,窥器-1/Z1526,1569340,整行,2.0/8.8/17.6,,16,,
1月,全部科室(汇总对比),缺失行,卵圆钳-1/Z1535,1569340,整行,2.0/8.8/17.6,,17,,
1月,全部科室(汇总对比),缺失行,剪刀-1/Z1029,1569354,整行,1.0/6.4/6.4,,18,,
1月,全部科室(汇总对比),缺失行,穿刺架-1/z1029,1570252,整行,1.0/6.4/6.4,,19,,
1月,全部科室(汇总对比),缺失行,剪刀-1/Z1029,1570252,整行,1.0/6.4/6.4,,20,,
1月,全部科室(汇总对比),缺失行,窥器-1/Z1526,1570252,整行,1.0/8.8/8.8,,21,,
1月,全部科室(汇总对比),缺失行,卵圆钳-1/Z1535,1570252,整行,1.0/8.8/8.8,,22,,
1月,全部科室(汇总对比),缺失行,剪刀-1/Z1029,1571283,整行,3.0/6.4/19.2,,23,,
1月,全部科室(汇总对比),缺失行,卵圆钳-1/Z1535,1571283,整行,1.0/8.8/8.8,,24,,
1月,全部科室(汇总对比),缺失行,止血钳-1/Z1029,1571283,整行,1.0/6.4/6.4,,25,,
1月,全部科室(汇总对比),缺失行,穿刺架-1/Z1030,1571348,整行,1.0/17.6/17.6,,26,,
1月,全部科室(汇总对比),缺失行,穿刺架-1/z1029,1572175,整行,1.0/6.4/6.4,,27,,
1月,全部科室(汇总对比),缺失行,剪刀-1/Z1029,1572175,整行,1.0/6.4/6.4,,28,,
1月,全部科室(汇总对比),缺失行,窥器-1/Z1526,1572175,整行,1.0/8.8/8.8,,29,,
1月,全部科室(汇总对比),缺失行,卵圆钳-1/Z1535,1572175,整行,1.0/8.8/8.8,,30,,
1月,全部科室(汇总对比),缺失行,穿刺架-1/Z1030,1572944,整行,1.0/17.6/17.6,,31,,
1月,全部科室(汇总对比),缺失行,穿刺架-1/z1029,1574435,整行,1.0/6.4/6.4,,32,,
