sheet	row	orderNo	packName	packCount	unitPrice	ruleUnit	status	pricingRule
口腔二（肖华）	109	1615169	车针-17/z1020	1	16.5	22.0	warning	校正价22.0
口腔二科	44	1610277	机扩针-6盒1/z1020	1	41.0	38.5	warning	校正价38.5
外科	9	1608218	棉球缸-1/z2530	1	16.0	16.0	warning	敷料包(纸塑袋)+棉球——未识别规格
外科	14	1610450	棉球缸-1/z2530	1	16.0	16.0	warning	敷料包(纸塑袋)+棉球——未识别规格
妇科门诊手术室	40	1614799	人流包（22件）	2	126.5	253.0	warning	高温无纺布计费
手术室	12	1608577	V切包（22件）	3	126.5	379.5	warning	高温无纺布计费
手术室	33	1610644	V切包（22件）	3	126.5	379.5	warning	高温无纺布计费
手术室	56	1611064	V切包（22件）	2	126.5	253.0	warning	高温无纺布计费
手术室	67	1611432	V切包（22件）	3	126.5	379.5	warning	高温无纺布计费
手术室	68	1611432	宫腔镜（26件）	2	148.5	297.0	warning	高温无纺布计费
手术室	79	1611803	小单/w1250	2	25.0	35.0	warning	校正价35.0
手术室	81	1611803	V切包（22件）	2	126.5	253.0	warning	高温无纺布计费
手术室	82	1611803	宫腔镜（26件）	2	148.5	297.0	warning	高温无纺布计费
手术室	109	1612676	V切包（22件）	7	126.5	885.5	warning	高温无纺布计费
手术室	137	1614411	V切包（22件）	2	126.5	253.0	warning	高温无纺布计费
手术室	138	1614411	宫腔镜（26件）	2	148.5	297.0	warning	高温无纺布计费
手术室	147	1614801	V切包（22件）	3	126.5	379.5	warning	高温无纺布计费
手术室	152	1615170	V切包（22件）	2	126.5	253.0	warning	高温无纺布计费
手术室	173	1615960	V切包（22件）	2	126.5	253.0	warning	高温无纺布计费
手术室	174	1615960	宫腔镜（26件）	2	148.5	297.0	warning	高温无纺布计费
手术室	186	1616399	V切包（22件）	2	126.5	253.0	warning	高温无纺布计费
肛肠科	9	1608215	剪刀-4/Z1526	1	27.5	22.0	warning	校正价22.0
肛肠科	29	1615488	剪刀-4/Z1526	1	27.5	22.0	warning	校正价22.0
