月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
1月,全部科室(汇总对比),缺失行,镊子-1/z7534,1568903,整行,1.0/8.0/8.0,,12,,
1月,全部科室(汇总对比),缺失行,止血钳-1/z1029,1568903,整行,1.0/8.0/8.0,,13,,
1月,全部科室(汇总对比),缺失行,耵聍钩-1/z7530,1569717,整行,1.0/8.0/8.0,,14,,
1月,全部科室(汇总对比),缺失行,耳镜-1/Z1020,1569717,整行,1.0/8.0/8.0,,15,,
1月,全部科室(汇总对比),缺失行,镊子-1/z7534,1569717,整行,1.0/8.0/8.0,,16,,
1月,全部科室(汇总对比),缺失行,吸引头-1/z7530,1569717,整行,1.0/8.0/8.0,,17,,
1月,全部科室(汇总对比),缺失行,换药缸-1/z2530,1570820,整行,1.0/16.0/16.0,,18,,
1月,全部科室(汇总对比),缺失行,镊子-1/z7534,1571735,整行,2.0/8.0/16.0,,19,,
1月,全部科室(汇总对比),缺失行,吸引头-1/z7530,1571735,整行,1.0/8.0/8.0,,20,,
1月,全部科室(汇总对比),缺失行,止血钳-1/z1029,1571735,整行,1.0/8.0/8.0,,21,,
1月,全部科室(汇总对比),缺失行,方盘盖 -1/W9050,1571735,整行,1.0/16.5/16.5,,22,,
1月,全部科室(汇总对比),缺失行,换药缸-1/z2530,1572776,整行,2.0/16.0/32.0,,23,,
1月,全部科室(汇总对比),缺失行,穿刺针-1/Z7526,1572776,整行,1.0/8.0/8.0,,24,,
1月,全部科室(汇总对比),缺失行,耵聍钳-1/z2032,1572776,整行,1.0/13.0/13.0,,25,,
1月,全部科室(汇总对比),缺失行,镊子-1/z7534,1572776,整行,1.0/8.0/8.0,,26,,
1月,全部科室(汇总对比),缺失行,吸引头-1/z7530,1572776,整行,2.0/8.0/16.0,,27,,
1月,全部科室(汇总对比),缺失行,瓶-1/z1020,1572842,整行,3.0/8.0/24.0,,28,,
1月,全部科室(汇总对比),缺失行,刮勺-1/z7537,1570821,整行,1.0/8.0/8.0,,9,,
1月,全部科室(汇总对比),缺失行,取环器-1/z1535,1570821,整行,2.0/11.0/22.0,,10,,
1月,全部科室(汇总对比),缺失行,探针-1/z7534,1570821,整行,2.0/8.0/16.0,,11,,
1月,全部科室(汇总对比),缺失行,止血钳-1/z1029,1570821,整行,3.0/8.0/24.0,,12,,
1月,全部科室(汇总对比),缺失行,刮宫包,1570821,整行,2.0/88.0/176.0,,13,,
1月,全部科室(汇总对比),缺失行,活检包-4件/w6050,1570821,整行,2.0/22.0/44.0,,14,,
1月,全部科室(汇总对比),缺失行,换药包-5件,1567813,整行,1.0/27.5/27.5,,9,,
1月,全部科室(汇总对比),缺失行,镊子包-23件/W7050,1567813,整行,1.0/126.5/126.5,,10,,
1月,全部科室(汇总对比),缺失行,止血钳3/Z1530,1568904,整行,1.0/22.0/22.0,,11,,
1月,全部科室(汇总对比),缺失行,镊子包-23件/W7050,1568904,整行,1.0/126.5/126.5,,12,,
1月,全部科室(汇总对比),缺失行,持针器-1/z1026,1569718,整行,1.0/8.0/8.0,,13,,
1月,全部科室(汇总对比),缺失行,镊子-1/z7534,1569718,整行,1.0/8.0/8.0,,14,,
1月,全部科室(汇总对比),缺失行,镊子包-23件/W7050,1569718,整行,1.0/126.5/126.5,,15,,
1月,全部科室(汇总对比),缺失行,镊子包-23件/W7050,1570822,整行,1.0/126.5/126.5,,16,,
1月,全部科室(汇总对比),缺失行,持针器-1/z1026,1572777,整行,1.0/8.0/8.0,,17,,
1月,全部科室(汇总对比),缺失行,剪刀-1/z1026,1572777,整行,1.0/8.0/8.0,,18,,
1月,全部科室(汇总对比),缺失行,镊子包-23件/W7050,1572777,整行,2.0/126.5/253.0,,19,,
1月,全部科室(汇总对比),缺失行,镊子包-23件/W7050,1573613,整行,1.0/126.5/126.5,,20,,
1月,全部科室(汇总对比),缺失行,剪刀-2/z1029,1574319,整行,1.0/13.5/13.5,,21,,
1月,全部科室(汇总对比),缺失行,止血钳-1/z1029,1574319,整行,1.0/8.0/8.0,,22,,
1月,全部科室(汇总对比),缺失行,镊子包-23件/W7050,1574319,整行,2.0/126.5/253.0,,23,,
1月,全部科室(汇总对比),缺失行,镊子包-23件/W7050,1574693,整行,1.0/126.5/126.5,,24,,
1月,全部科室(汇总对比),缺失行,拔牙钳-1/z1029,1567814,整行,4.0/8.0/32.0,,9,,
1月,全部科室(汇总对比),缺失行,拔牙挺-1/z7526,1567814,整行,2.0/8.0/16.0,,10,,
1月,全部科室(汇总对比),缺失行,持针器-1/z1026,1567814,整行,1.0/8.0/8.0,,11,,
1月,全部科室(汇总对比),缺失行,刀柄-1/z7526,1567814,整行,1.0/8.0/8.0,,12,,
1月,全部科室(汇总对比),缺失行,去冠器-1/z7534,1567814,整行,4.0/8.0/32.0,,13,,
1月,全部科室(汇总对比),缺失行,手机-1/z7526,1567814,整行,16.0/8.0/128.0,,14,,
1月,全部科室(汇总对比),缺失行,针柄-2/z7526,1567814,整行,1.0/13.5/13.5,,15,,
1月,全部科室(汇总对比),缺失行,止血钳-1/z1029,1567814,整行,1.0/8.0/8.0,,16,,
1月,全部科室(汇总对比),缺失行,拔牙钳-1/z1029,1568905,整行,2.0/8.0/16.0,,17,,
1月,全部科室(汇总对比),缺失行,三德钳子-1/Z1026,1568905,整行,1.0/8.0/8.0,,18,,
1月,全部科室(汇总对比),缺失行,手机-1/z7526,1568905,整行,9.0/8.0/72.0,,19,,
1月,全部科室(汇总对比),缺失行,拔牙挺-1/z7526,1569719,整行,1.0/8.0/8.0,,20,,
1月,全部科室(汇总对比),缺失行,车针盒-1/z1526,1569719,整行,1.0/11.0/11.0,,21,,
1月,全部科室(汇总对比),缺失行,持针器-1/z1026,1569719,整行,1.0/8.0/8.0,,22,,
1月,全部科室(汇总对比),缺失行,刀柄-1/z7526,1569719,整行,1.0/8.0/8.0,,23,,
