sheet	row	orderNo	packName	packCount	unitPrice	ruleUnit	status	pricingRule
手术室	12	1608599	换药碗-2/z2530	2	16.5	8.25	warning	高温纸塑袋25cm计费 + 黑龙江九洲妇科医院 折扣
手术室	13	1608599	利普包-7/w9050	2	38.5	19.25	warning	高温无纺布计费 + 黑龙江九洲妇科医院 折扣
手术室	14	1608599	人流包-22件/w9050	11	121.0	60.5	warning	高温无纺布计费 + 黑龙江九洲妇科医院 折扣
手术室	15	1608599	整形包-26件/w9050	2	143.0	71.5	warning	高温无纺布计费 + 黑龙江九洲妇科医院 折扣
手术室	16	1608681	人流包-22件/w9050	3	121.0	60.5	warning	高温无纺布计费 + 黑龙江九洲妇科医院 折扣
手术室	17	1612309	人流包-22件/w9050	9	121.0	60.5	warning	高温无纺布计费 + 黑龙江九洲妇科医院 折扣
手术室	18	1612364	利普包-7/w9050	2	38.5	19.25	warning	高温无纺布计费 + 黑龙江九洲妇科医院 折扣
手术室	19	1612364	人流包-22件/w9050	6	121.0	60.5	warning	高温无纺布计费 + 黑龙江九洲妇科医院 折扣
手术室	20	1615501	开腹包54件（筐1）	1	302.5	151.25	warning	高温无纺布计费 + 黑龙江九洲妇科医院 折扣
手术室	21	1615501	盆1碗2盘2杯1/W9050	1	33.0	16.5	warning	高温无纺布计费 + 黑龙江九洲妇科医院 折扣
手术室	22	1615501	人流包-22件/w9050	15	121.0	60.5	warning	高温无纺布计费 + 黑龙江九洲妇科医院 折扣
