sheet	row	orderNo	packName	packCount	unitPrice	ruleUnit	status	pricingRule
口腔科	9	1608327	拔牙钳-1/z1029	9	8.0	8.0	warning	special_only 未命中特色规则
口腔科	10	1608327	拔牙挺-1/z7526	3	8.0	8.0	warning	special_only 未命中特色规则
口腔科	11	1608327	持针器-1/z1029	1	8.0	8.0	warning	special_only 未命中特色规则
口腔科	12	1608327	光敏刀-1/Z7530	7	8.0	8.0	warning	special_only 未命中特色规则
口腔科	13	1608327	剪刀-1/z1029	1	8.0	8.0	warning	special_only 未命中特色规则
口腔科	14	1608327	洁牙尖-5/z7520	2	8.0	8.0	warning	special_only 未命中特色规则
口腔科	15	1608327	口腔科开口器-1/z1526	1	11.0	11.0	warning	special_only 未命中特色规则
口腔科	16	1608327	启冠器头-3/z7526	1	16.5	16.5	warning	special_only 未命中特色规则
口腔科	17	1608327	手机-1/z7526	35	8.0	8.0	warning	special_only 未命中特色规则
口腔科	18	1608327	挖匙-1/z7526	13	8.0	8.0	warning	special_only 未命中特色规则
口腔科	19	1608327	止血钳-1/z1029	1	8.0	8.0	warning	special_only 未命中特色规则
口腔科	20	1610397	拔牙钳-1/z1029	7	8.0	8.0	warning	special_only 未命中特色规则
口腔科	21	1610397	拔牙挺-1/z7526	3	8.0	8.0	warning	special_only 未命中特色规则
口腔科	22	1610397	成型夹-3/z1526	1	16.5	16.5	warning	special_only 未命中特色规则
口腔科	23	1610397	唇钩-5/z7520	1	27.5	27.5	warning	special_only 未命中特色规则
口腔科	24	1610397	光敏刀-1/Z7530	11	8.0	8.0	warning	special_only 未命中特色规则
口腔科	25	1610397	洁牙机柄-1/z7526	2	8.0	8.0	warning	special_only 未命中特色规则
口腔科	26	1610397	手机-1/z7526	36	8.0	8.0	warning	special_only 未命中特色规则
口腔科	27	1610397	挖匙-1/z7526	14	8.0	8.0	warning	special_only 未命中特色规则
口腔科	28	1610397	小剪刀-1/z7526	1	8.0	8.0	warning	special_only 未命中特色规则
口腔科	29	1610397	止血钳-1/z1029	1	8.0	8.0	warning	special_only 未命中特色规则
口腔科	30	1611605	拔牙钳-1/z1029	2	8.0	8.0	warning	special_only 未命中特色规则
口腔科	31	1611605	拔牙挺-1/z7526	2	8.0	8.0	warning	special_only 未命中特色规则
口腔科	32	1611605	唇钩-4/Z7520	1	22.0	22.0	warning	special_only 未命中特色规则
口腔科	33	1611605	手机-1/z7526	21	8.0	8.0	warning	special_only 未命中特色规则
口腔科	34	1611605	挖匙-1/z7526	14	8.0	8.0	warning	special_only 未命中特色规则
口腔科	35	1611605	针类一包（数量不定）/z7520	5	8.0	8.0	warning	special_only 未命中特色规则
口腔科	36	1611608	拔牙钳-1/z1029	1	8.0	8.0	warning	special_only 未命中特色规则
口腔科	37	1611608	手机-1/z7526	1	8.0	8.0	warning	special_only 未命中特色规则
口腔科	38	1613232	拔牙钳-1/z1029	7	8.0	8.0	warning	special_only 未命中特色规则
口腔科	39	1613232	拔牙挺-1/z7526	3	8.0	8.0	warning	special_only 未命中特色规则
口腔科	40	1613232	成型片-7/Z7520	1	8.0	13.5	warning	校正价13.5
口腔科	41	1613232	充填器-1/Z7526	6	8.0	8.0	warning	special_only 未命中特色规则
口腔科	42	1613232	唇钩-3/Z7520	1	16.5	16.5	warning	special_only 未命中特色规则
口腔科	43	1613232	光敏刀-1/Z7530	14	8.0	8.0	warning	special_only 未命中特色规则
口腔科	44	1613232	洁牙尖-7/z7520	1	8.0	13.5	warning	校正价13.5
口腔科	45	1613232	启冠器头-3/z7526	1	16.5	16.5	warning	special_only 未命中特色规则
口腔科	46	1613232	手机-1/z7526	29	8.0	8.0	warning	special_only 未命中特色规则
口腔科	47	1613232	挖匙-1/z7526	3	8.0	8.0	warning	special_only 未命中特色规则
口腔科	48	1613232	针类一包（数量不定）/z7520	7	8.0	8.0	warning	special_only 未命中特色规则
口腔科	49	1614950	拔牙钳-1/z1029	9	8.0	8.0	warning	special_only 未命中特色规则
口腔科	50	1614950	拔牙挺-1/z7526	3	8.0	8.0	warning	special_only 未命中特色规则
口腔科	51	1614950	剥离子-1/z7526	1	8.0	8.0	warning	special_only 未命中特色规则
口腔科	52	1614950	持针器-1/z1029	1	8.0	8.0	warning	special_only 未命中特色规则
口腔科	53	1614950	唇钩-7/z1026	1	38.5	38.5	warning	special_only 未命中特色规则
口腔科	54	1614950	洁牙尖-5件/z7520	1	27.5	8.0	warning	校正价8.0
