科室,原始行,发货单号,包名,包数,原单价,处理后单价,原总价,处理后总价,规则覆盖,匹配规则,说明
消化内镜,13,1606328,乐奥2件/Z2035,1.0,11.1,26.4,11.1,26.4,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(11.1)计费；处理后按标准价(26.4)计费
消化内镜,26,1609512,乐奥2件/Z2035,1.0,11.1,26.4,11.1,26.4,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(11.1)计费；处理后按标准价(26.4)计费
消化内镜,41,1612861,乐奥2件/Z2035,1.0,11.1,26.4,11.1,26.4,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(11.1)计费；处理后按标准价(26.4)计费
皮肤门诊,10,1605141,门皮 手术包-6件（双信封包装！！！）,1.0,21.828,22.01,21.828,22.01,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
皮肤门诊,14,1605536,门皮 手术包-6件（双信封包装！！！）,3.0,21.828,22.01,65.484,66.03,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
皮肤门诊,18,1606447,门皮 手术包-6件（双信封包装！！！）,2.0,21.828,22.01,43.656,44.02,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
皮肤门诊,20,1606845,门皮 手术包-6件（双信封包装！！！）,2.0,21.828,22.01,43.656,44.02,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
皮肤门诊,23,1607206,门皮 手术包-6件（双信封包装！！！）,6.0,21.828,22.01,130.968,132.06,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
皮肤门诊,38,1609631,门皮 手术包-6件（双信封包装！！！）,7.0,21.828,22.01,152.796,154.07,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
皮肤门诊,41,1610183,门皮 手术包-6件（双信封包装！！！）,6.0,21.828,22.01,130.968,132.06,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
皮肤门诊,44,1610969,门皮 手术包-6件（双信封包装！！！）,3.0,21.828,22.01,65.484,66.03,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
皮肤门诊,45,1611370,门皮 手术包-6件（双信封包装！！！）,2.0,21.828,22.01,43.656,44.02,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
皮肤门诊,47,1611751,门皮 手术包-6件（双信封包装！！！）,4.0,21.828,22.01,87.312,88.04,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
皮肤门诊,51,1612618,门皮 手术包-6件（双信封包装！！！）,3.0,21.828,22.01,65.484,66.03,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
皮肤门诊,54,1612997,门皮 手术包-6件（双信封包装！！！）,1.0,21.828,22.01,21.828,22.01,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
皮肤门诊,56,1613412,门皮 手术包-6件（双信封包装！！！）,1.0,21.828,22.01,21.828,22.01,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
美容整形外科,14,1605286,手术包-6件（双信封包装 ！）,4.0,21.828,22.01,87.312,88.04,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
美容整形外科,16,1605678,手术包-6件（双信封包装 ！）,4.0,21.828,22.01,87.312,88.04,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
美容整形外科,23,1606179,手术包-6件（双信封包装 ！）,4.0,21.828,22.01,87.312,88.04,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
美容整形外科,25,1606441,手术包-6件（双信封包装 ！）,2.0,21.828,22.01,43.656,44.02,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
美容整形外科,26,1606849,手术包-6件（双信封包装 ！）,1.0,21.828,22.01,21.828,22.01,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
美容整形外科,33,1607204,手术包-6件（双信封包装 ！）,5.0,21.828,22.01,109.14,110.05,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
美容整形外科,37,1607576,手术包-6件（双信封包装 ！）,1.0,21.828,22.01,21.828,22.01,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
美容整形外科,41,1608044,手术包-6件（双信封包装 ！）,2.0,21.828,22.01,43.656,44.02,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
美容整形外科,45,1608838,手术包-6件（双信封包装 ！）,4.0,21.828,22.01,87.312,88.04,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
美容整形外科,50,1609287,小圆针-10/Z7520,14.0,13.2,8.1,184.8,113.4,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(13.2)计费；处理后按标准价(8.1)计费
美容整形外科,65,1609605,手术包-6件（双信封包装 ！）,2.0,21.828,22.01,43.656,44.02,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
美容整形外科,71,1610107,手术包-6件（双信封包装 ！）,2.0,21.828,22.01,43.656,44.02,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
美容整形外科,77,1610616,手术包-6件（双信封包装 ！）,3.0,21.828,22.01,65.484,66.03,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
美容整形外科,81,1611363,手术包-6件（双信封包装 ！）,2.0,21.828,22.01,43.656,44.02,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
美容整形外科,83,1611778,手术包-6件（双信封包装 ！）,1.0,21.828,22.01,21.828,22.01,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
美容整形外科,86,1612060,手术包-6件（双信封包装 ！）,4.0,21.828,22.01,87.312,88.04,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
美容整形外科,92,1612998,手术包-6件（双信封包装 ！）,3.0,21.828,22.01,65.484,66.03,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
口腔外科,25,1605537,手术包-6件（双信封包装 ！）,1.0,21.828,22.01,21.828,22.01,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
口腔外科,53,1606851,手术包-6件（双信封包装 ！）,1.0,21.828,22.01,21.828,22.01,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
口腔外科,74,1608051,手术包-6件（双信封包装 ！）,1.0,21.828,22.01,21.828,22.01,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
口腔外科,104,1610623,手术包-6件（双信封包装 ！）,1.0,21.828,22.01,21.828,22.01,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
口腔外科,125,1611369,手术包-6件（双信封包装 ！）,1.0,21.828,22.01,21.828,22.01,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
口腔外科,138,1612062,手术包-6件（双信封包装 ！）,1.0,21.828,22.01,21.828,22.01,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
口腔外科,149,1612686,手术包-6件（双信封包装 ！）,1.0,21.828,22.01,21.828,22.01,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(21.828)计费；处理后按标准价(22.01)计费
