sheet	row	orderNo	packName	packCount	unitPrice	ruleUnit	status	pricingRule
ICU	12	1610966	导丝钳-1/z1526	1	6.6	6.6	warning	special_only 未命中特色规则
ICU	13	1610966	钩镊-1/Z7526	1	4.8	4.8	warning	special_only 未命中特色规则
ICU	14	1610966	舌钳子-1/1526	1	6.6	6.6	warning	special_only 未命中特色规则
ICU	15	1612684	持针器-1/Z1029	1	4.8	4.8	warning	special_only 未命中特色规则
介入科	9	1605270	敷料包/W12050	1	21.0	35.0	warning	敷料包(无纺布包)——1.2
介入科	10	1605288	剪刀-1/Z1029	1	4.8	4.8	warning	special_only 未命中特色规则
介入科	11	1605977	刷手服/W12050	1	21.0	35.0	warning	敷料包(无纺布包)——1.2
介入科	12	1606605	敷料包/W12050	1	21.0	35.0	warning	敷料包(无纺布包)——1.2
介入科	13	1607320	敷料包/W12050	1	21.0	35.0	warning	敷料包(无纺布包)——1.2
介入科	14	1607991	敷料包/W12050	2	21.0	35.0	warning	敷料包(无纺布包)——1.2
介入科	15	1608623	敷料包/W12050	1	21.0	35.0	warning	敷料包(无纺布包)——1.2
介入科	16	1609269	循环起搏器切开包-13件	1	42.9	42.9	warning	special_only 未命中特色规则
介入科	17	1609604	喉镜片（低温）-1/Z1530	3	15.0	15.0	warning	special_only 未命中特色规则
介入科	18	1610056	敷料包/W12050	1	21.0	35.0	warning	敷料包(无纺布包)——1.2
介入科	19	1610762	敷料包/W12050	1	21.0	35.0	warning	敷料包(无纺布包)——1.2
介入科	20	1611501	敷料包/W12050	1	21.0	35.0	warning	敷料包(无纺布包)——1.2
介入科	21	1611754	切开包-22件	1	72.6	72.6	warning	special_only 未命中特色规则
介入科	22	1611754	显微包	1	52.8	52.8	warning	special_only 未命中特色规则
介入科	23	1611754	碗盘-3件/w6050	1	9.9	9.9	warning	special_only 未命中特色规则
介入科	24	1612101	刷手服/W12050	1	21.0	35.0	warning	敷料包(无纺布包)——1.2
介入科	25	1612728	敷料包/W12050	1	21.0	35.0	warning	敷料包(无纺布包)——1.2
介入科	26	1613517	敷料包/W12050	1	21.0	35.0	warning	敷料包(无纺布包)——1.2
伤口造口门诊	9	1605007	换药包（弯盘1蚊式1）-2件/w6050	1	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	10	1606058	换药包（弯盘1小弯1）/w6050	1	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	11	1606058	换药包（蚊式1碗1）-2件/w6050	2	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	12	1606058	蚊式-1/Z1026	3	4.8	4.8	warning	special_only 未命中特色规则
伤口造口门诊	13	1606058	剪刀1持物罐1/w6050	1	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	14	1606443	换药包（弯盘1蚊式1）-2件/w6050	2	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	15	1606844	换药包（弯盘1小弯1）/w6050	1	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	16	1606844	换药包（弯盘1小弯1钩镊1）/w6050	1	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	17	1607586	换药包（蚊式1碗1）-2件/w6050	2	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	18	1608056	换药包（弯盘1小弯1）/w6050	1	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	19	1608056	蚊式-1/Z1026	2	4.8	4.8	warning	special_only 未命中特色规则
伤口造口门诊	20	1608056	剪刀1持物罐1/w6050	1	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	21	1608839	换药包（弯盘1蚊式1）-2件/w6050	2	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	22	1608839	起钉器-1（高温）/z1526	1	6.6	6.6	warning	special_only 未命中特色规则
伤口造口门诊	23	1608839	蚊式-1/Z1026	1	4.8	4.8	warning	special_only 未命中特色规则
伤口造口门诊	24	1610188	换药包（弯盘1蚊式1）-2件/w6050	1	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	25	1610188	换药包（弯盘1小弯1）/w6050	1	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	26	1610188	换药包（蚊式1碗1）-2件/w6050	2	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	27	1610188	蚊式-1/Z1026	3	4.8	4.8	warning	special_only 未命中特色规则
伤口造口门诊	28	1610188	剪刀1持物罐1/w6050	1	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	29	1610620	换药包（弯盘1蚊式1）-2件/w6050	1	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	30	1610620	换药包（弯盘1小弯1钩镊1）/w6050	1	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	31	1610620	蚊式-1/Z1026	1	4.8	4.8	warning	special_only 未命中特色规则
伤口造口门诊	32	1610971	换药包（蚊式1碗1）-2件/w6050	2	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	33	1610971	蚊式-1/Z1026	2	4.8	4.8	warning	special_only 未命中特色规则
伤口造口门诊	34	1610971	剪刀1持物罐1/w6050	1	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	35	1611843	换药包（弯盘1蚊式1）-2件/w6050	2	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	36	1611843	换药包（弯盘1小弯1）/w6050	1	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	37	1611843	换药包（蚊式1碗1）-2件/w6050	2	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	38	1611843	刮勺-1/Z7530	1	4.8	4.8	warning	special_only 未命中特色规则
伤口造口门诊	39	1611843	起钉器-1（高温）/z1526	1	6.6	6.6	warning	special_only 未命中特色规则
伤口造口门诊	40	1611843	蚊式-1/Z1026	3	4.8	4.8	warning	special_only 未命中特色规则
伤口造口门诊	41	1611843	剪刀1持物罐1/w6050	1	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	42	1613000	换药包（弯盘1小弯1）/w6050	1	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	43	1613000	换药包（弯盘1小弯1钩镊1）/w6050	1	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	44	1613000	换药包（蚊式1碗1）-2件/w6050	2	9.9	9.9	warning	special_only 未命中特色规则
伤口造口门诊	45	1613000	蚊式-1/Z1026	4	4.8	4.8	warning	special_only 未命中特色规则
伤口造口门诊	46	1613000	剪刀1持物罐1/w6050	1	9.9	9.9	warning	special_only 未命中特色规则
供应室	9	1608127	器械包-8件/w6050	1	26.4	26.4	warning	special_only 未命中特色规则
内分泌	9	1607458	简易呼吸器-1件/Z3060	1	21.0	21.0	warning	special_only 未命中特色规则
内分泌	10	1612996	开口器-1/Z1026	1	4.8	4.8	warning	special_only 未命中特色规则
口腔外科	9	1605148	拔牙钳-1/Z1029	1	4.8	4.8	warning	special_only 未命中特色规则
口腔外科	10	1605148	大弯-1/z1029	1	4.8	4.8	warning	special_only 未命中特色规则
口腔外科	11	1605148	镊子缸-2（缸底贴日期）/z1535	1	9.9	9.9	warning	special_only 未命中特色规则
口腔外科	12	1605148	双头挖勺-1/Z7526	1	4.8	4.8	warning	special_only 未命中特色规则
口腔外科	13	1605148	牙铤子-1/Z7526	2	4.8	4.8	warning	special_only 未命中特色规则
口腔外科	14	1605148	止血钳-1/Z1029	1	4.8	4.8	warning	special_only 未命中特色规则
口腔外科	15	1605148	注射器-1/Z1026	1	4.8	4.8	warning	special_only 未命中特色规则
