sheetName	orderNo	packName	packCount	unitPrice	ruleUnit	pricingRule	status	difference
口腔科（刘医生）	1623260	车针-7/Z7520	1	13.5	38.5	高温纸塑袋10cm计费	warning	25.0
口腔科（樊医生）	1616858	车针-5/Z7520	4	8.0	27.5	高温纸塑袋10cm计费	warning	78.0
口腔科（樊医生）	1616858	根管锉-4/Z7520	7	8.0	22.0	高温纸塑袋10cm计费	warning	98.0
口腔科（樊医生）	1618066	车针-5/Z7520	5	8.0	27.5	高温纸塑袋10cm计费	warning	97.5
口腔科（樊医生）	1618066	车针-6/z7520	1	13.5	33.0	高温纸塑袋10cm计费	warning	19.5
口腔科（樊医生）	1618066	根管锉-5/Z7520	7	8.0	27.5	高温纸塑袋10cm计费	warning	136.5
口腔科（樊医生）	1618066	抛光棒-1/z7520	5	5.5	8.0	高温纸塑袋10cm计费	warning	12.5
口腔科（樊医生）	1619820	车针-5/Z7520	3	8.0	27.5	高温纸塑袋10cm计费	warning	58.5
口腔科（樊医生）	1619820	根管锉-5/Z7520	8	8.0	27.5	高温纸塑袋10cm计费	warning	156.0
口腔科（樊医生）	1619820	抛光棒-1/z7520	5	5.5	8.0	高温纸塑袋10cm计费	warning	12.5
口腔科（樊医生）	1619820	全冠套装(7个针)/Z1526	1	11.0	44.0	高温纸塑袋15cm计费	warning	33.0
口腔科（樊医生）	1620504	车针-5/Z7520	2	8.0	27.5	高温纸塑袋10cm计费	warning	39.0
口腔科（樊医生）	1620504	车针-7/Z7520	1	13.5	38.5	高温纸塑袋10cm计费	warning	25.0
口腔科（樊医生）	1620504	根管锉-4/Z7520	1	8.0	22.0	高温纸塑袋10cm计费	warning	14.0
口腔科（樊医生）	1620504	根管锉-5/Z7520	2	8.0	27.5	高温纸塑袋10cm计费	warning	39.0
口腔科（樊医生）	1620504	抛光棒-1/z7520	6	5.5	8.0	高温纸塑袋10cm计费	warning	15.0
口腔科（樊医生）	1623258	车针-6/z7520	1	13.5	33.0	高温纸塑袋10cm计费	warning	19.5
口腔科（樊医生）	1623258	根管锉-5/Z7520	6	8.0	27.5	高温纸塑袋10cm计费	warning	117.0
口腔科（樊医生）	1623258	根管锉-7/Z7520	1	13.5	8.0	高温纸塑袋10cm计费	warning	-5.5
口腔科（樊医生）	1623258	抛光棒-1/z7520	1	5.5	8.0	高温纸塑袋10cm计费	warning	2.5
门诊手术室	1616541	宫腔镜-2件盒1/W12050	1	44.0	35.0	低温无纺布阶梯计费	warning	-9.0
门诊手术室	1618174	宫腔镜-2件盒1/W12050	1	44.0	35.0	低温无纺布阶梯计费	warning	-9.0
门诊手术室	1622220	宫腔镜-2件盒1/W12050	1	44.0	35.0	低温无纺布阶梯计费	warning	-9.0
门诊手术室	1622932	英姿双开弯钳-1/Z2060	1	28.0	35.0	低温纸塑袋(双)20cm阶梯计费	warning	7.0
门诊手术室	1623340	刨削刀头-2件/Z1026	1	27.5	44.0	低温纸塑袋10cm阶梯计费	warning	16.5
门诊手术室	1623340	宫腔镜-2件盒1/W12050	1	44.0	35.0	低温无纺布阶梯计费	warning	-9.0
