月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
4月,成康,字段不一致-单价,棉签/Z1535,1595190,单价,4.0,2.5,18,17,
4月,成康,字段不一致-总价,棉签/Z1535,1595190,总价,4.0,2.5,18,17,
4月,成康,汇总不一致-总价,成康,,总价,378.0,376.5,11,10,
5月,全部科室(汇总对比),缺失行,方盘1架子1杯1/w9050,1604153,整行,4.0/16.5/66.0,,12,,
5月,全部科室(汇总对比),缺失行,棉球/Z1020,1604153,整行,80.0/2.5/200.0,,13,,
5月,全部科室(汇总对比),缺失行,拔牙钳-1/Z1029,1602148,整行,2.0/8.0/16.0,,9,,
5月,全部科室(汇总对比),缺失行,拔牙挺-1/Z7526,1602148,整行,1.0/8.0/8.0,,10,,
5月,全部科室(汇总对比),缺失行,必兰注射器-1/Z1026,1602148,整行,1.0/8.0/8.0,,11,,
5月,全部科室(汇总对比),缺失行,充填器-1/Z7526,1602148,整行,3.0/8.0/24.0,,12,,
5月,全部科室(汇总对比),缺失行,唇钩-1/Z7520,1602148,整行,1.0/8.0/8.0,,13,,
5月,全部科室(汇总对比),缺失行,大车针盒-1/Z1526,1602148,整行,1.0/22.0/22.0,,14,,
5月,全部科室(汇总对比),缺失行,剪刀-1/Z1026,1602148,整行,1.0/8.0/8.0,,15,,
5月,全部科室(汇总对比),缺失行,洁牙机柄1钥匙1/Z1026,1602148,整行,1.0/13.5/13.5,,16,,
5月,全部科室(汇总对比),缺失行,三枪头-1/Z7520,1602148,整行,1.0/8.0/8.0,,17,,
5月,全部科室(汇总对比),缺失行,手机-1/Z7526,1602148,整行,5.0/8.0/40.0,,18,,
5月,全部科室(汇总对比),缺失行,弯机-1/Z7526,1602148,整行,3.0/8.0/24.0,,19,,
5月,全部科室(汇总对比),缺失行,棉球小/Z1020,1602148,整行,5.0/2.5/12.5,,20,,
5月,全部科室(汇总对比),缺失行,拔牙钳-1/Z1029,1604558,整行,1.0/8.0/8.0,,21,,
5月,全部科室(汇总对比),缺失行,必兰注射器-1/Z1026,1604558,整行,1.0/8.0/8.0,,22,,
5月,全部科室(汇总对比),缺失行,充填器-1/Z7526,1604558,整行,6.0/8.0/48.0,,23,,
5月,全部科室(汇总对比),缺失行,大车针盒-1/Z1526,1604558,整行,1.0/22.0/22.0,,24,,
5月,全部科室(汇总对比),缺失行,剪刀-1/Z1026,1604558,整行,2.0/8.0/16.0,,25,,
5月,全部科室(汇总对比),缺失行,洁牙机柄1钥匙1/Z1026,1604558,整行,1.0/13.5/13.5,,26,,
5月,全部科室(汇总对比),缺失行,三枪头-1/Z7520,1604558,整行,3.0/8.0/24.0,,27,,
5月,全部科室(汇总对比),缺失行,手机-1/Z7526,1604558,整行,11.0/8.0/88.0,,28,,
5月,全部科室(汇总对比),缺失行,挖勺-1/Z7526,1604558,整行,1.0/8.0/8.0,,29,,
5月,全部科室(汇总对比),缺失行,手机-1/Z7526,1604790,整行,1.0/8.0/8.0,,30,,
5月,全部科室(汇总对比),多余行,腹腔器械包,1603370,整行,,1.0/154.0/154.0,,10,
5月,全部科室(汇总对比),多余行,戳卡10号-1/z1029,1603370,整行,,1.0/22.0/22.0,,11,
5月,全部科室(汇总对比),多余行,戳卡5号-1/z1029,1603370,整行,,1.0/22.0/22.0,,12,
5月,全部科室(汇总对比),多余行,低温组件-1/Z7520,1603370,整行,,1.0/22.0/22.0,,13,
5月,全部科室(汇总对比),多余行,气腹管-1/w7050,1603370,整行,,1.0/35.0/35.0,,14,
5月,全部科室(汇总对比),多余行,气腹针-1/z1029,1603370,整行,,1.0/22.0/22.0,,15,
5月,全部科室(汇总对比),多余行,腹腔器械包,1603753,整行,,1.0/154.0/154.0,,16,
5月,全部科室(汇总对比),多余行,戳卡10号-1/z1029,1603753,整行,,1.0/22.0/22.0,,17,
5月,全部科室(汇总对比),多余行,戳卡5号-1/z1029,1603753,整行,,1.0/22.0/22.0,,18,
5月,全部科室(汇总对比),多余行,气腹管-1/w7050,1603753,整行,,1.0/35.0/35.0,,19,
5月,全部科室(汇总对比),多余行,气腹针-1/z1029,1603753,整行,,1.0/22.0/22.0,,20,
5月,全部科室(汇总对比),多余行,腹腔器械包,1604641,整行,,1.0/154.0/154.0,,21,
5月,全部科室(汇总对比),多余行,戳卡10号-1/z1029,1604641,整行,,1.0/22.0/22.0,,22,
5月,全部科室(汇总对比),多余行,气腹管-1/w7050,1604641,整行,,1.0/35.0/35.0,,23,
5月,全部科室(汇总对比),多余行,微克夹钳-1/双z2060,1604641,整行,,1.0/28.0/28.0,,24,
5月,全部科室(汇总对比),多余行,腹腔器械包,1605790,整行,,1.0/154.0/154.0,,25,
5月,全部科室(汇总对比),多余行,气腹管-1/w7050,1605790,整行,,1.0/35.0/35.0,,26,
5月,全部科室(汇总对比),多余行,双极电凝钳-1/z2060,1605790,整行,,1.0/28.0/28.0,,27,
5月,全部科室(汇总对比),多余行,双极电凝线-1/Z3040,1605790,整行,,1.0/35.0/35.0,,28,
5月,全部科室(汇总对比),多余行,腹腔器械包,1606330,整行,,1.0/154.0/154.0,,29,
5月,全部科室(汇总对比),多余行,戳卡10号-1/z1029,1606330,整行,,1.0/22.0/22.0,,30,
