sheet	row	orderNo	packName	packCount	unitPrice	ruleUnit	status	pricingRule
口腔科	12	1608564	0216-手机/z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	13	1608564	拔牙钳-1/Z1029	2	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	14	1608564	拔牙铤-1/Z7526	5	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	15	1608564	车针盒-1/Z1526	1	7.7	11.0	warning	高温纸塑袋15cm计费
口腔科	16	1608564	洁牙机-1/Z7526	2	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	17	1608564	三枪头-5/Z7520	1	19.25	27.5	warning	高温纸塑袋10cm计费
口腔科	18	1608564	手机-0211/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	19	1608564	手机-0602/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	20	1608564	手机-3630/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	21	1608564	手机-3634/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	22	1608564	手机-3675/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	23	1608564	手机-40211/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	24	1608564	手机40228-1/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	25	1608564	手机40229-1/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	26	1608564	手机-40230/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	27	1608564	手机-5632/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	28	1608564	手机-JJ3674/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	29	1608564	口腔-手术包	1	26.95	38.5	warning	高温无纺布计费
口腔科	30	1608609	手机3638/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	31	1610712	拔牙钳-1/Z1029	2	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	32	1610712	拔牙铤-1/Z7526	5	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	33	1610712	成型夹-1/Z7520	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	34	1610712	充填器2光敏刀1/Z7530	1	11.55	16.5	warning	高温纸塑袋10cm计费
口腔科	35	1610712	洁牙机-1/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	36	1610712	手机07-050/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	37	1610712	手机-3630/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	38	1610712	手机-3631/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	39	1610712	手机-3637/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	40	1610712	手机3638/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	41	1610712	手机3639/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	42	1610712	手机40221/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	43	1610712	手机40228-1/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	44	1610712	手机40229-1/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	45	1610712	手机-5632/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	46	1610712	手机-JJ3674/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	47	1610712	挖勺-3/Z7530	1	11.55	16.5	warning	省二南岗挖勺每件5.5元
口腔科	48	1610712	口腔-手术包	1	26.95	38.5	warning	高温无纺布计费
口腔科	49	1612680	拔牙钳-1/Z1029	3	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	50	1612680	拔牙铤-1/Z7526	3	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	51	1612680	充填器-5/保/z7530	1	19.25	27.5	warning	高温纸塑袋10cm计费
口腔科	52	1612680	三枪头-10/Z7520	1	38.5	55.0	warning	高温纸塑袋10cm计费
口腔科	53	1612680	手机-0211/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	54	1612680	手机-0602/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	55	1612680	手机-3630/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	56	1612680	手机-3634/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	57	1612680	手机3638/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	58	1612680	手机3639/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	59	1612680	手机-3675/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	60	1612680	手机40221/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	61	1612680	手机40229-1/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	62	1612680	手机-40230/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	63	1612680	手机-5632/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	64	1612680	手机-JJ3674/Z7526	1	5.6	8.0	warning	高温纸塑袋10cm计费
口腔科	65	1612680	口腔-手术包	1	26.95	38.5	warning	高温无纺布计费
