sheet	row	orderNo	packName	packCount	unitPrice	ruleUnit	status	pricingRule
ICU	12	1611631	简易呼吸器一套/Z3060	2	24.5	24.5	warning	special_only 未命中特色规则
ICU	13	1615197	持针器-1/Z1029	1	5.6	5.6	warning	special_only 未命中特色规则
ICU	14	1615197	剪刀-1/Z1026	1	5.6	5.6	warning	special_only 未命中特色规则
ICU	15	1615197	止血钳-1/Z1029	1	5.6	5.6	warning	special_only 未命中特色规则
中医科	9	1608571	镊子-1/z7534	7	5.6	5.6	warning	special_only 未命中特色规则
中医科	10	1614400	镊子-1/z7534	10	5.6	5.6	warning	special_only 未命中特色规则
周围血管病	9	1608572	骨刮匙（双头）-1/Z7530	2	5.6	5.6	warning	special_only 未命中特色规则
周围血管病	10	1608572	剪刀-1/Z1026	5	5.6	5.6	warning	special_only 未命中特色规则
周围血管病	11	1608572	探针-1/Z7537	1	5.6	5.6	warning	special_only 未命中特色规则
周围血管病	12	1608572	蚊式-1/Z1026	2	5.6	5.6	warning	special_only 未命中特色规则
周围血管病	13	1608572	蚊式1剪刀1/Z1026	2	9.45	9.45	warning	special_only 未命中特色规则
周围血管病	14	1608572	蚊式1剪刀1镊子1/Z1535	4	11.55	11.55	warning	special_only 未命中特色规则
周围血管病	15	1608572	蚊式骨刮匙-2件/Z1026	1	9.45	9.45	warning	special_only 未命中特色规则
周围血管病	16	1608572	鹰嘴钳-1/Z1026	2	5.6	5.6	warning	special_only 未命中特色规则
周围血管病	17	1610732	剪刀-1/Z1026	5	5.6	5.6	warning	special_only 未命中特色规则
周围血管病	18	1610732	蚊式1剪刀1/Z1026	1	9.45	9.45	warning	special_only 未命中特色规则
周围血管病	19	1610732	蚊式1剪刀1镊子1/Z1535	3	11.55	11.55	warning	special_only 未命中特色规则
周围血管病	20	1613138	剪刀-1/Z1026	3	5.6	5.6	warning	special_only 未命中特色规则
周围血管病	21	1613138	蚊式1剪刀1/Z1026	1	9.45	9.45	warning	special_only 未命中特色规则
周围血管病	22	1613138	蚊式1剪刀1镊子1/Z1535	2	11.55	11.55	warning	special_only 未命中特色规则
周围血管病	23	1613138	鹰嘴钳-1/Z1026	1	5.6	5.6	warning	special_only 未命中特色规则
周围血管病	24	1613273	简易呼吸器一套/Z3060	1	24.5	24.5	warning	special_only 未命中特色规则
周围血管病	25	1614401	剪刀-1/Z1026	3	5.6	5.6	warning	special_only 未命中特色规则
周围血管病	26	1614401	探针-1/Z7537	1	5.6	5.6	warning	special_only 未命中特色规则
周围血管病	27	1614401	蚊式1剪刀1/Z1026	1	9.45	9.45	warning	special_only 未命中特色规则
周围血管病	28	1614401	蚊式1剪刀1镊子1/Z1535	2	11.55	11.55	warning	special_only 未命中特色规则
周围血管病	29	1615200	剪刀-1/Z1026	1	5.6	5.6	warning	special_only 未命中特色规则
周围血管病	30	1615200	探针-1/Z7537	1	5.6	5.6	warning	special_only 未命中特色规则
周围血管病	31	1615200	蚊式1剪刀1/Z1026	1	9.45	9.45	warning	special_only 未命中特色规则
周围血管病	32	1615200	蚊式1剪刀1镊子1/Z1535	2	11.55	11.55	warning	special_only 未命中特色规则
周围血管病	33	1616413	骨刮匙（双头）-1/Z7530	2	5.6	5.6	warning	special_only 未命中特色规则
周围血管病	34	1616413	剪刀-1/Z1026	3	5.6	5.6	warning	special_only 未命中特色规则
周围血管病	35	1616413	蚊式1剪刀1/Z1026	2	9.45	9.45	warning	special_only 未命中特色规则
周围血管病	36	1616413	蚊式1剪刀1镊子1/Z1535	2	11.55	11.55	warning	special_only 未命中特色规则
妇科手术室	10	1608332	扩棒（7-9.5）-6/Z1026	1	23.1	23.1	warning	special_only 未命中特色规则
妇科手术室	11	1608332	宫腔镜包	2	42.35	42.35	warning	special_only 未命中特色规则
妇科手术室	12	1608357	单极配件-6件/Z2060	1	77.0	77.0	warning	special_only 未命中特色规则
妇科手术室	13	1608357	电切线-1/Z3040	1	24.5	24.5	warning	special_only 未命中特色规则
妇科手术室	14	1608357	电切镜-1/Z2060	1	19.6	19.6	warning	special_only 未命中特色规则
妇科手术室	15	1609024	宫腔镜包	2	42.35	42.35	warning	special_only 未命中特色规则
妇科手术室	17	1609108	扩棒（7-9.5）-6/Z1026	1	23.1	23.1	warning	special_only 未命中特色规则
妇科手术室	18	1609120	单极配件-6件/Z2060	1	77.0	77.0	warning	special_only 未命中特色规则
妇科手术室	19	1609120	电切线-1/Z3040	1	24.5	24.5	warning	special_only 未命中特色规则
妇科手术室	20	1609120	电切镜-1/Z2060	1	19.6	19.6	warning	special_only 未命中特色规则
妇科手术室	21	1609441	扩棒（7-9.5）-6/Z1026	1	23.1	23.1	warning	special_only 未命中特色规则
妇科手术室	22	1609441	宫腔镜包	2	42.35	42.35	warning	special_only 未命中特色规则
妇科手术室	23	1609499	单极配件-6件/Z2060	1	77.0	77.0	warning	special_only 未命中特色规则
妇科手术室	24	1609499	电切线-1/Z3040	1	24.5	24.5	warning	special_only 未命中特色规则
妇科手术室	25	1609499	电切镜-1/Z2060	1	19.6	19.6	warning	special_only 未命中特色规则
妇科手术室	26	1609888	扩棒（7-9.5）-6/Z1026	1	23.1	23.1	warning	special_only 未命中特色规则
妇科手术室	27	1609888	宫腔镜包	1	42.35	42.35	warning	special_only 未命中特色规则
妇科手术室	28	1610382	扩棒（4-10）-13件/Z1026	1	50.05	50.05	warning	special_only 未命中特色规则
妇科手术室	29	1610382	扩棒（7-9.5）-6/Z1026	1	23.1	23.1	warning	special_only 未命中特色规则
妇科手术室	30	1610382	宫腔镜包	2	42.35	42.35	warning	special_only 未命中特色规则
妇科手术室	31	1610466	单极配件-6件/Z2060	1	77.0	77.0	warning	special_only 未命中特色规则
妇科手术室	32	1610466	电切线-1/Z3040	1	24.5	24.5	warning	special_only 未命中特色规则
妇科手术室	33	1610466	电切镜-1/Z2060	1	19.6	19.6	warning	special_only 未命中特色规则
妇科手术室	36	1611609	扩棒（7-9.5）-6/Z1026	1	23.1	23.1	warning	special_only 未命中特色规则
妇科手术室	37	1611609	宫腔镜包	2	42.35	42.35	warning	special_only 未命中特色规则
妇科手术室	38	1611623	单极配件-6件/Z2060	1	77.0	77.0	warning	special_only 未命中特色规则
