月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
4月,全部科室(汇总对比),字段不一致-单价,扩棒（8-10号）-5件/z1530,1596811,单价,23.1,19.25,50,50,原始按器械数×基础单价(23.1)计费；处理后按标准价(19.25)计费
4月,全部科室(汇总对比),字段不一致-总价,扩棒（8-10号）-5件/z1530,1596811,总价,23.1,19.25,50,50,原始按器械数×基础单价(23.1)计费；处理后按标准价(19.25)计费
4月,全部科室(汇总对比),缺失行,J扁桃体包-25件,1590898,整行,1.0/100.1/100.1,,9,,
4月,全部科室(汇总对比),缺失行,甲状腺包,1591266,整行,1.0/246.4/246.4,,36,,
4月,全部科室(汇总对比),缺失行,外借成像-1/Z3040,1593033,整行,3.0/24.5/73.5,,239,,
4月,全部科室(汇总对比),字段不一致-包数,外借光导-1/Z3040,1593033,包数,4.0,1.0,240,237,
4月,全部科室(汇总对比),字段不一致-总价,外借光导-1/Z3040,1593033,总价,98.0,24.5,240,237,
4月,全部科室(汇总对比),缺失行,弹道-1/Z3040,1594528,整行,1.0/24.5/24.5,,427,,
4月,全部科室(汇总对比),缺失行,光导纤维（带线盘）-1/Z3040,1594528,整行,1.0/24.5/24.5,,428,,
4月,全部科室(汇总对比),缺失行,经皮肾镜（修）-1/双Z2060,1594528,整行,1.0/24.5/24.5,,429,,
4月,全部科室(汇总对比),缺失行,输尿管镜钳-1/Z1560,1594528,整行,1.0/17.5/17.5,,430,,
4月,全部科室(汇总对比),缺失行,水管-1/Z3040,1594528,整行,1.0/24.5/24.5,,431,,
4月,全部科室(汇总对比),缺失行,探杆-1/Z7560,1594528,整行,2.0/15.4/30.8,,432,,
4月,全部科室(汇总对比),缺失行,输尿管镜-2件/w12050,1594528,整行,1.0/30.8/30.8,,433,,
4月,全部科室(汇总对比),缺失行,开颅包（二）,1596114,整行,1.0/107.8/107.8,,544,,
4月,全部科室(汇总对比),缺失行,开颅包（一）,1596114,整行,1.0/157.85/157.85,,545,,
4月,全部科室(汇总对比),缺失行,动力系统-3件（筐1）/w1205060,1596114,整行,1.0/15.4/15.4,,546,,
4月,全部科室(汇总对比),缺失行,成人头钉-3/双保Z7520,1596114,整行,1.0/13.3/13.3,,547,,
4月,全部科室(汇总对比),缺失行,动脉瘤夹FT740T/双Z7520,1596114,整行,1.0/7.35/7.35,,548,,
4月,全部科室(汇总对比),缺失行,动脉瘤夹FT752T/双Z7520,1596114,整行,1.0/7.35/7.35,,549,,
4月,全部科室(汇总对比),缺失行,螺丝刀-1/保Z1029,1596114,整行,1.0/5.6/5.6,,550,,
4月,全部科室(汇总对比),缺失行,脑吸引管2.5带芯-1/保Z7526,1596114,整行,1.0/5.6/5.6,,551,,
4月,全部科室(汇总对比),缺失行,显微持针器-1/Z1029,1596114,整行,1.0/5.6/5.6,,552,,
4月,全部科室(汇总对比),缺失行,显微剪刀直-1/保Z7526,1596114,整行,1.0/5.6/5.6,,553,,
4月,全部科室(汇总对比),缺失行,粘膜剥离子-1/保Z7534,1596114,整行,1.0/5.6/5.6,,554,,
4月,全部科室(汇总对比),缺失行,直角钩-1/Z7530,1596114,整行,1.0/5.6/5.6,,555,,
4月,全部科室(汇总对比),缺失行,阻断夹-1/双Z7520,1596114,整行,1.0/7.35/7.35,,556,,
4月,全部科室(汇总对比),缺失行,夹子-3/W6050,1596114,整行,1.0/11.55/11.55,,557,,
4月,全部科室(汇总对比),缺失行,盆1碗2盘2/W9050,1596114,整行,1.0/19.25/19.25,,558,,
4月,全部科室(汇总对比),字段不一致-单价,儿童头钉-4/双保Z7520,1596160,单价,19.25,15.4,562,537,原始按器械数×基础单价(19.25)计费；处理后按标准价(15.4)计费
4月,全部科室(汇总对比),字段不一致-总价,儿童头钉-4/双保Z7520,1596160,总价,19.25,15.4,562,537,原始按器械数×基础单价(19.25)计费；处理后按标准价(15.4)计费
4月,全部科室(汇总对比),缺失行,开颅包（二）,1598023,整行,1.0/107.8/107.8,,775,,
4月,全部科室(汇总对比),缺失行,开颅包（一）,1598023,整行,1.0/157.85/157.85,,776,,
4月,全部科室(汇总对比),缺失行,腔包,1598023,整行,1.0/130.9/130.9,,777,,
4月,全部科室(汇总对比),缺失行,钻孔包,1598023,整行,1.0/177.1/177.1,,778,,
4月,全部科室(汇总对比),缺失行,导航球-6/Z7520,1598211,整行,4.0/77.0/308.0,,813,,
4月,全部科室(汇总对比),缺失行,钻孔包,1598214,整行,1.0/177.1/177.1,,814,,
4月,全部科室(汇总对比),缺失行,成人头钉-3/双保Z7520,1598214,整行,1.0/13.3/13.3,,815,,
4月,全部科室(汇总对比),缺失行,夹子-3/W6050,1598214,整行,1.0/11.55/11.55,,816,,
4月,全部科室(汇总对比),缺失行,盆1碗2盘2/W9050,1598214,整行,1.0/19.25/19.25,,817,,
4月,全部科室(汇总对比),缺失行,手摇钻-5/W7050,1598214,整行,1.0/19.25/19.25,,818,,
4月,全部科室(汇总对比),缺失行,成像-1/Z3040,1598998,整行,3.0/24.5/73.5,,930,,
4月,全部科室(汇总对比),缺失行,冷光源-1/保Z3040,1598998,整行,3.0/24.5/73.5,,931,,
4月,全部科室(汇总对比),缺失行,膀胱镜配件-3/Z1545,1599495,整行,1.0/46.2/46.2,,982,,
4月,全部科室(汇总对比),缺失行,关节镜鞘-2/Z1545,1599495,整行,1.0/30.8/30.8,,983,,
4月,全部科室(汇总对比),缺失行,光导纤维（带线盘）-1/Z3040,1599495,整行,1.0/24.5/24.5,,984,,
4月,全部科室(汇总对比),缺失行,泌-异物钳-1/Z2035,1599495,整行,1.0/19.6/19.6,,985,,
4月,全部科室(汇总对比),缺失行,剖刀手柄-1/z3040,1599495,整行,2.0/24.5/49.0,,986,,
4月,全部科室(汇总对比),缺失行,水管-1/Z3040,1599495,整行,1.0/24.5/24.5,,987,,
4月,全部科室(汇总对比),缺失行,膀胱镜-30度/z2060,1599495,整行,1.0/19.6/19.6,,988,,
4月,全部科室(汇总对比),缺失行,关节镜-1/z2060,1599495,整行,1.0/19.6/19.6,,989,,
4月,全部科室(汇总对比),缺失行,潘老师关节镜30度-1/Z2060,1599495,整行,1.0/25.2/25.2,,990,,
4月,全部科室(汇总对比),缺失行,单极配件-5/保Z2060,1599593,整行,1.0/61.6/61.6,,991,,
4月,全部科室(汇总对比),缺失行,电切环（球型）-1/Z1045,1599593,整行,1.0/15.4/15.4,,992,,
4月,全部科室(汇总对比),缺失行,电切环-1/Z1045,1599593,整行,1.0/15.4/15.4,,993,,
4月,全部科室(汇总对比),缺失行,关节镜鞘-3件/Z1545,1599593,整行,1.0/46.2/46.2,,994,,
4月,全部科室(汇总对比),缺失行,电切镜-12度/z2060,1599593,整行,1.0/19.6/19.6,,995,,
4月,全部科室(汇总对比),缺失行,持针器低温-1/Z1560,1599919,整行,1.0/17.5/17.5,,1003,,
4月,全部科室(汇总对比),缺失行,冲洗球-1/Z2035,1599919,整行,1.0/19.6/19.6,,1004,,
4月,全部科室(汇总对比),缺失行,单极配件-5/保Z2060,1599919,整行,1.0/61.6/61.6,,1005,,
4月,全部科室(汇总对比),缺失行,电切环-1/Z1045,1599919,整行,1.0/15.4/15.4,,1006,,
4月,全部科室(汇总对比),缺失行,电切线-1/Z3040,1599919,整行,2.0/24.5/49.0,,1007,,
4月,全部科室(汇总对比),缺失行,光导纤维（带线盘）-1/Z3040,1599919,整行,1.0/24.5/24.5,,1008,,
4月,全部科室(汇总对比),缺失行,泌-异物钳-1/Z2035,1599919,整行,1.0/19.6/19.6,,1009,,
4月,全部科室(汇总对比),缺失行,双极镊1双极线1/Z3040,1599919,整行,1.0/30.8/30.8,,1010,,
4月,全部科室(汇总对比),缺失行,水管-1/Z3040,1599919,整行,1.0/24.5/24.5,,1011,,
4月,全部科室(汇总对比),缺失行,造瘘器-24号-4件/Z2045,1599919,整行,1.0/61.6/61.6,,1012,,
4月,全部科室(汇总对比),缺失行,电切镜-12度/z2060,1599919,整行,1.0/19.6/19.6,,1013,,
4月,全部科室(汇总对比),多余行,秦玉英-左侧陈旧性股骨颈骨折1/4,1597365,整行,,None/157.85/None,,9,
4月,全部科室(汇总对比),多余行,秦玉英-左侧陈旧性股骨颈骨折2/4,1597365,整行,,None/84.7/None,,10,
4月,全部科室(汇总对比),多余行,秦玉英-左侧陈旧性股骨颈骨折3/4,1597365,整行,,None/119.35/None,,11,
